,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
22,PRESERVED_SPECIMEN,Jatropha costaricensis,V0470881F,GBIF,7832,Manuel Vargas,,10.5889,-85.6528,Playa Panamá,1995.0,1,1,1,,WGS84,2019,G. Herrera C.
2823,PRESERVED_SPECIMEN,Jatropha costaricensis,1601717,GBIF,,Manuel Vargas,,10.554167,-85.713889,"Sardinal, Playas del Coco, Cerro La Flor suroeste de El Coco.",1995.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
2824,PRESERVED_SPECIMEN,Jatropha costaricensis,1601726,GBIF,,Manuel Vargas,,10.554167,-85.713889,"Sardinal, Playas del Coco, Cerro La Flor suroeste de El Coco.",1995.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
7584,PRESERVED_SPECIMEN,Jatropha costaricensis,3811938,GBIF,,Manuel Vargas,,10.924800999999999,-85.668009,La Cantera de Marbolita.,2003.0,1,1,1,,WGS84,2019,Evelio Alfaro; Michael H. Grayum ; Jose González
7585,PRESERVED_SPECIMEN,Jatropha costaricensis,3811939,GBIF,,Manuel Vargas,,10.924800999999999,-85.668009,La Cantera de Marbolita.,2003.0,1,1,1,,WGS84,2019,Evelio Alfaro; Michael H. Grayum ; Jose González
7586,PRESERVED_SPECIMEN,Jatropha costaricensis,3811937,GBIF,,Manuel Vargas,,10.924800999999999,-85.668009,La Cantera de Marbolita.,2003.0,1,1,1,,WGS84,2019,Evelio Alfaro; Michael H. Grayum ; Jose González
7587,PRESERVED_SPECIMEN,Jatropha costaricensis,3811940,GBIF,,Manuel Vargas,,10.924800999999999,-85.668009,La Cantera de Marbolita.,2003.0,1,1,1,,WGS84,2019,Evelio Alfaro; Michael H. Grayum ; Jose González
9413,PRESERVED_SPECIMEN,Jatropha costaricensis,4063410,GBIF,,Manuel Vargas,,10.891667,-85.65777800000001,"Península de Santa Elena, siguiendo afluentes del Río Calera, en el sitio conocido como el ""hueco de la draga"", bosques de galería.",2003.0,1,1,1,,WGS84,2019,Jose González; Evelio Alfaro
11131,PRESERVED_SPECIMEN,Jatropha costaricensis,4191359,GBIF,,Manuel Vargas,,10.554722,-85.7125,Sardinal. Cerro La Flor. Entre Playas del Coco y Playita Blanca.,2001.0,1,1,1,,WGS84,2019,Luis Diego Vargas
11132,PRESERVED_SPECIMEN,Jatropha costaricensis,4191360,GBIF,,Manuel Vargas,,10.554722,-85.7125,Sardinal. Cerro La Flor. Entre Playas del Coco y Playita Blanca.,2001.0,1,1,1,,WGS84,2019,Luis Diego Vargas
12677,PRESERVED_SPECIMEN,Jatropha costaricensis,4442997,GBIF,,Manuel Vargas,,10.890833,-85.626111,"Península de Santa Elena. Antiguo camino a Cuajiniquil, lado Oeste del Río Cuajiniquil, alrededores de Mina Marmolito.",2014.0,1,1,1,,WGS84,2019,Roberto Espinoza
12682,PRESERVED_SPECIMEN,Jatropha costaricensis,4442999,GBIF,,Manuel Vargas,,10.890833,-85.626111,"Península de Santa Elena. Antiguo camino a Cuajiniquil, lado Oeste del Río Cuajiniquil, alrededores de Mina Marmolito.",2014.0,1,1,1,,WGS84,2019,Roberto Espinoza
12683,PRESERVED_SPECIMEN,Jatropha costaricensis,4442998,GBIF,,Manuel Vargas,,10.890833,-85.626111,"Península de Santa Elena. Antiguo camino a Cuajiniquil, lado Oeste del Río Cuajiniquil, alrededores de Mina Marmolito.",2014.0,1,1,1,,WGS84,2019,Roberto Espinoza
15813,PRESERVED_SPECIMEN,Jatropha costaricensis,3130758,GBIF,Opler 1760,Manuel Vargas,,10.55555,-85.69360999999999,Playas del Cocos. Dry hillside forest.,1973.0,1,1,1,,WGS84,2019,Paul A. Opler
15814,PRESERVED_SPECIMEN,Jatropha costaricensis,3130759,GBIF,Tonduz 13979,Manuel Vargas,,10.316667,-85.45,Nicoya,1900.0,1,1,1,,WGS84,2019,Adolphe Tonduz
16609,PRESERVED_SPECIMEN,Jatropha costaricensis,3425740,GBIF,Linares 7970,Manuel Vargas,,14.43944,-89.72083,Loc. Km 150 de la carretera Asunción Mita - Ipala. Veg. selva baja caducifolia muy degradada y potreros,2004.0,1,1,1,,WGS84,2019,José Linares|Carlos A. Martínez
18832,PRESERVED_SPECIMEN,Jatropha costaricensis,U  0001967,GBIF,,Manuel Vargas,,10.55,-85.716667,"Playas del Coco, SW side of Bahía El Coco",1977.0,1,1,1,,WGS84,2019,Webster GL; Poveda Alvarez LJ; LJ
20052,PRESERVED_SPECIMEN,Jatropha costaricensis,,GBIF,,Manuel Vargas,,10.82,-85.64,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Playa Naranjo,La Cuesta",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
20866,PRESERVED_SPECIMEN,Jatropha costaricensis,barcode-00048144,GBIF,22160,Manuel Vargas,,10.55,-85.708333,"Playas del Coco, southwest side of Bahia El Coco",1977.0,1,1,1,,WGS84,2019,G. L. Webster & L. J. Poveda
23928,PRESERVED_SPECIMEN,Jatropha costaricensis,94427,GBIF,,Manuel Vargas,,10.55,-85.7,"Playas del Coco, deciduos thorn woodland on slopes of metamorphic rock, SW side of Bahía El Coco.",1977.0,1,1,1,,WGS84,2019,"Webster, Grady L."
23929,PRESERVED_SPECIMEN,Jatropha costaricensis,183942,GBIF,,Manuel Vargas,,10.58,-85.65,"Playa Panamá, aguas arriba Quebrada Panamá.",1995.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
23930,PRESERVED_SPECIMEN,Jatropha costaricensis,219537,GBIF,,Manuel Vargas,,10.55,-85.71,"Sardinal, playas del Coco, cerro la Flor, suroeste de EL Coco. Península de Nicoya.",1995.0,1,1,1,,WGS84,2019,"Zamora, Nelson"
27143,PRESERVED_SPECIMEN,Jatropha costaricensis,K000813239,GBIF,2287,Manuel Vargas,,10.55,-85.71,"Península de Nicoya. Sardinal, Playas del Coco, Cerro La Flor suroeste de El Coco.",,1,1,1,,WGS84,2019,"et al.; Zamora, N."
27144,PRESERVED_SPECIMEN,Jatropha costaricensis,K000813240,GBIF,s.n.,Manuel Vargas,,10.55,-85.71,"Península de Nicoya. Sardinal, Playas del Coco, Cerro La Flor suroeste de El Coco.",,1,1,1,,WGS84,2019,"et al.; Zamora, N."
27145,PRESERVED_SPECIMEN,Jatropha costaricensis,K000813241,GBIF,7832,Manuel Vargas,,10.59,-85.65,Playa Panamá,,1,1,1,,WGS84,2019,"Herrera, G."
33625,PRESERVED_SPECIMEN,Jatropha costaricensis,V0470883F,GBIF,2288,Manuel Vargas,,10.5542,-85.7139,"Sardinal, Península de Nicoya. Playas del Coco; cerro La Floa SW de El Coco",1995.0,1,1,1,,WGS84,2019,N. Zamora V. et al.
34280,PRESERVED_SPECIMEN,Jatropha costaricensis,V0470882F,GBIF,2279,Manuel Vargas,,10.8,-85.65,"Santa Rosa National Park, Rio Poza Salada",1977.0,1,1,1,,WGS84,2019,R. L. Liesner
34321,PRESERVED_SPECIMEN,Jatropha costaricensis,V0056777F,GBIF,22160,Manuel Vargas,,10.5,-85.25,,1977.0,1,1,1,,WGS84,2019,G. L. Webster & L. J. Poveda
34401,PRESERVED_SPECIMEN,Jatropha costaricensis,V0470884F,GBIF,2287,Manuel Vargas,,10.5542,-85.7139,"Sardinal, Península de Nicoya. Playas del Coco; cerro La Floa SW de El Coco",1995.0,1,1,1,,WGS84,2019,N. Zamora V. et al.
35675,PRESERVED_SPECIMEN,Jatropha costaricensis,930544,GBIF,Rueda 1268,Manuel Vargas,,12.88333,-86.25,"Carretera entre Sébaco y Dario, entrada a Aponpoa, La China y La Lajas.",1993.0,1,1,1,,WGS84,2019,R.M. Rueda|R. Dolmus|Alfredo Grijalva P.
35695,PRESERVED_SPECIMEN,Jatropha costaricensis,932960,GBIF,Rueda 2445,Manuel Vargas,,12.83333,-86.08333,"Km 96 Carretera Sébaco-Dario, entrada a La China, Apompua y Las Lajas",1994.0,1,1,1,,WGS84,2019,R.M. Rueda|C. Aker|C. Silva|L. Lezama|M. Garmendia
35696,PRESERVED_SPECIMEN,Jatropha costaricensis,932962,GBIF,Rueda 2447,Manuel Vargas,,12.616660000000001,-86.35,"Km 72 Carretera Managua-Dario, 1 km hacia Sébaco de Puertas Viejas, antes de Las Playas",1994.0,1,1,1,,WGS84,2019,R.M. Rueda|C. Aker|C. Silva|L. Lezama|M. Garmendia
35754,PRESERVED_SPECIMEN,Jatropha costaricensis,947143,GBIF,Rueda 3710,Manuel Vargas,,12.8,-86.08333,"Municipio De Sébaco: entrada a Apompua, comarca Las Lajas.",1995.0,1,1,1,,WGS84,2019,R.M. Rueda|R. Dolmus|C. Silva
37423,PRESERVED_SPECIMEN,Jatropha costaricensis,30924,GBIF,,Manuel Vargas,,10.588889,-85.652778,"Playa Panamá, aguas arriba Quebrada Panamá",1995.0,1,1,1,,WGS84,2019,G. Herrera
39540,PRESERVED_SPECIMEN,Jatropha costaricensis,00371708,GBIF,,Manuel Vargas,,10.558333,-85.708333,"Playas del Coco, SW side of Bahía El Coco",1977.0,1,1,1,,WGS84,2019,G. L. Webster; L. Poveda
40237,PRESERVED_SPECIMEN,Jatropha costaricensis,,GBIF,,Manuel Vargas,,10.86,-85.75,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Elena, Potrero grande",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
40254,PRESERVED_SPECIMEN,Jatropha costaricensis,,GBIF,,Manuel Vargas,,10.86,-85.75,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Elena, Potrero grande",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
40273,PRESERVED_SPECIMEN,Jatropha costaricensis,,GBIF,,Manuel Vargas,,10.82,-85.64,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Playa Naranjo,La Cuesta",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
40277,PRESERVED_SPECIMEN,Jatropha costaricensis,,GBIF,,Manuel Vargas,,10.82,-85.64,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Playa Naranjo,La Cuesta",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
43112,MATERIAL_SAMPLE,Jatropha costaricensis,BioBot02182,GBIF,,Manuel Vargas,,10.864,-85.74700000000001,"Area de Conservacion Guanacaste, Sector Santa Elena, Potrero grande",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
43114,MATERIAL_SAMPLE,Jatropha costaricensis,BioBot02181,GBIF,,Manuel Vargas,,10.864,-85.74700000000001,"Area de Conservacion Guanacaste, Sector Santa Elena, Potrero Grande",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
43120,MATERIAL_SAMPLE,Jatropha costaricensis,BioBot02180,GBIF,,Manuel Vargas,,10.864,-85.74700000000001,"Area de Conservacion Guanacaste, Sector Santa Elena, Potrero grande",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
43132,MATERIAL_SAMPLE,Jatropha costaricensis,BioBot02152,GBIF,,Manuel Vargas,,10.82,-85.64399999999999,"Area de Conservacion Guanacaste, Sector Santa Rosa, Playa Naranjo,La Cuesta",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
43142,MATERIAL_SAMPLE,Jatropha costaricensis,BioBot02154,GBIF,,Manuel Vargas,,10.82,-85.64399999999999,"Area de Conservacion Guanacaste, Sector Santa Rosa, Playa Naranjo,La Cuesta",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
43193,MATERIAL_SAMPLE,Jatropha costaricensis,BioBot02153,GBIF,,Manuel Vargas,,10.82,-85.64399999999999,"Area de Conservacion Guanacaste, Sector Santa Rosa, Playa Naranjo,La Cuesta",2011.0,1,1,1,,WGS84,2019,Roberto Espinoza
43403,PRESERVED_SPECIMEN,Jatropha costaricensis,4461472,GBIF,,Manuel Vargas,,10.792502,-85.658902,"Liberia. Área de Conservación Guanacaste, Sector Parque Nacional Santa Rosa, camino a Playa Naranjo, bosque Ojochal.",2014.0,1,1,1,,WGS84,2019,Roberto Espinoza
43405,PRESERVED_SPECIMEN,Jatropha costaricensis,4461470,GBIF,,Manuel Vargas,,10.792502,-85.658902,"Liberia. Área de Conservación Guanacaste, Sector Parque Nacional Santa Rosa, camino a Playa Naranjo, bosque Ojochal.",2014.0,1,1,1,,WGS84,2019,Roberto Espinoza
43407,PRESERVED_SPECIMEN,Jatropha costaricensis,4461471,GBIF,,Manuel Vargas,,10.792502,-85.658902,"Liberia. Área de Conservación Guanacaste, Sector Parque Nacional Santa Rosa, camino a Playa Naranjo, bosque Ojochal.",2014.0,1,1,1,,WGS84,2019,Roberto Espinoza
43550,PRESERVED_SPECIMEN,Jatropha costaricensis,P05508761,GBIF,,Manuel Vargas,,12.8,-86.08333,,1995.0,1,1,1,,WGS84,2019,"Rueda, R.|Dolmus, R.|Silva, C."
46778,PRESERVED_SPECIMEN,Jatropha costaricensis,842146,GBIF,22160,Manuel Vargas,,10.0,-85.0,Playas del Coco. SW side of Bahía El Coco.,1977.0,1,1,1,,WGS84,2019,G. L. Webster
50339,PRESERVED_SPECIMEN,Jatropha costaricensis,1376583,GBIF,Zamora Villalobos 2287,Manuel Vargas,,10.55,-85.71,"Península de Nicoya. Sardinal, Playas del Coco, Cerro La Flor suroeste de El Coco.",1995.0,1,1,1,,WGS84,2019,Nelson Zamora|Ulises Chavarría|Víctor H. Ramírez|Armando Soto
50340,PRESERVED_SPECIMEN,Jatropha costaricensis,1376598,GBIF,Zamora Villalobos 2288,Manuel Vargas,,10.55,-85.71,"Peninsula de Nicoya. Sardinal, Playas del Coco, Cerro La Flor suroeste de El Coco.",1995.0,1,1,1,,WGS84,2019,Nelson Zamora
50514,PRESERVED_SPECIMEN,Jatropha costaricensis,140059,GBIF,Janzen 12392,Manuel Vargas,,10.83,-85.58,"Santa Rosa National Park, 30 km NW of Liberia, ca 10º50'N, 85º35'W, alt. 0-320 m.",1984.0,1,1,1,,WGS84,2019,Daniel H. Janzen
50521,PRESERVED_SPECIMEN,Jatropha costaricensis,1401185,GBIF,Janzen 10928,Manuel Vargas,,10.83,-85.58,"Santa Rosa National Park, 30 km northwest of Liberia.",1978.0,1,1,1,,WGS84,2019,Daniel H. Janzen
52414,PRESERVED_SPECIMEN,Jatropha costaricensis,1892710,GBIF,Liesner 2279,Manuel Vargas,,10.8,-85.65,"Santa Rosa National Park. Rocky, dry river between Manilkara forest and fork in road to Naranjo beach. Río Poza Salada.",1977.0,1,1,1,,WGS84,2019,Ronald L. Liesner
52418,PRESERVED_SPECIMEN,Jatropha costaricensis,1893203,GBIF,Liesner 2324,Manuel Vargas,,10.833333,-85.616667,Santa Rosa National Park. Nature trail.,1977.0,1,1,1,,WGS84,2019,Ronald L. Liesner
56631,PRESERVED_SPECIMEN,Jatropha costaricensis,V0470886F,GBIF,2324,Manuel Vargas,,10.8,-85.65,"Santa Rosa National Park, Rio Poza Salada",1977.0,1,1,1,,WGS84,2019,R. L. Liesner
