,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
943,PRESERVED_SPECIMEN,Koanophyllon pittieri,1510927,GBIF,,Manuel Vargas,,10.897222,-85.491389,Bosque primario y tacotales en el sendero al Volcan Cacao.,1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
969,PRESERVED_SPECIMEN,Koanophyllon pittieri,1512005,GBIF,,Manuel Vargas,,10.75,-85.291111,Santa Maria.   Gonzalez.,1996.0,1,1,1,,WGS84,2019,Roberto Espinoza
1393,PRESERVED_SPECIMEN,Koanophyllon pittieri,1559103,GBIF,,Manuel Vargas,,10.925,-85.475,"Estacion Mengo. Sendero al potrero, lado sur.",1989.0,1,1,1,,WGS84,2019,II INBio
1395,PRESERVED_SPECIMEN,Koanophyllon pittieri,1559104,GBIF,,Manuel Vargas,,10.925,-85.475,"Estacion Mengo, Volcan Cacao. Bosque primario.",1989.0,1,1,1,,WGS84,2019,I INBio
2132,PRESERVED_SPECIMEN,Koanophyllon pittieri,1577998,GBIF,,Manuel Vargas,,10.3,-84.800007,Chomogo Trail.,1991.0,1,1,1,,WGS84,2019,William Haber
2266,PRESERVED_SPECIMEN,Koanophyllon pittieri,1537794,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1997.0,1,1,1,,WGS84,2019,Francisco Alvarado; Ulises Chavarría ; Jose González
2267,PRESERVED_SPECIMEN,Koanophyllon pittieri,1537796,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1997.0,1,1,1,,WGS84,2019,Francisco Alvarado; Ulises Chavarría ; Jose González
2268,PRESERVED_SPECIMEN,Koanophyllon pittieri,1537795,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1997.0,1,1,1,,WGS84,2019,Francisco Alvarado; Ulises Chavarría ; Jose González
2494,PRESERVED_SPECIMEN,Koanophyllon pittieri,1596051,GBIF,,Manuel Vargas,,10.3,-84.616667,"4 km SW of La Tigra de San Carlos, valley of Rio La Esperanza, finca Araya Ledezma/ B. E. de Los Ninos.",1992.0,1,1,1,,WGS84,2019,William Haber
2538,PRESERVED_SPECIMEN,Koanophyllon pittieri,1596233,GBIF,,Manuel Vargas,,10.96,-85.49333399999999,Estacion Maritza.,1992.0,1,1,1,,WGS84,2019,Roberto Espinoza
