,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
934,PRESERVED_SPECIMEN,Lecythis mesophylla,1510624,GBIF,,Manuel Vargas,,9.684722,-84.395833,"Mastatal de Puriscal. Rio Negro, bosques entre el puente y cacaotal viejo.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1333,PRESERVED_SPECIMEN,Lecythis mesophylla,1557563,GBIF,,Manuel Vargas,,8.758333,-83.375,Los Mogos.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2188,PRESERVED_SPECIMEN,Lecythis mesophylla,1536468,GBIF,,Manuel Vargas,,9.697222,-84.395833,Santa Rosa. Finca Celimo Jimenez orillas de río Negro.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; L. Acosta
2189,PRESERVED_SPECIMEN,Lecythis mesophylla,1536466,GBIF,,Manuel Vargas,,9.697222,-84.395833,Santa Rosa. Finca Celimo Jimenez orillas de río Negro.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; L. Acosta
2190,PRESERVED_SPECIMEN,Lecythis mesophylla,1536467,GBIF,,Manuel Vargas,,9.697222,-84.395833,Santa Rosa. Finca Celimo Jimenez orillas de río Negro.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; L. Acosta
2191,PRESERVED_SPECIMEN,Lecythis mesophylla,1536470,GBIF,,Manuel Vargas,,9.697222,-84.395833,Santa Rosa. Finca Celimo Jimenez orillas de río Negro.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; L. Acosta
2192,PRESERVED_SPECIMEN,Lecythis mesophylla,1536469,GBIF,,Manuel Vargas,,9.697222,-84.395833,Santa Rosa. Finca Celimo Jimenez orillas de río Negro.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; L. Acosta
2387,PRESERVED_SPECIMEN,Lecythis mesophylla,1592345,GBIF,,Manuel Vargas,,8.766667,-83.250001,Estacion Esquinas.,1993.0,1,1,1,,WGS84,2019,Marianella Segura
3411,PRESERVED_SPECIMEN,Lecythis mesophylla,1586672,GBIF,,Manuel Vargas,,8.566667,-83.516667,Alrededor de la Estacion Los Patos.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4058,PRESERVED_SPECIMEN,Lecythis mesophylla,2850260,GBIF,,Manuel Vargas,,9.693056,-84.37083299999999,Mastatal. Ribera Quebrada Grande. Camino a Alto Concepcion.,1998.0,1,1,1,,WGS84,2019,L. Acosta
4059,PRESERVED_SPECIMEN,Lecythis mesophylla,2850262,GBIF,,Manuel Vargas,,9.693056,-84.37083299999999,Mastatal. Ribera Quebrada Grande. Camino a Alto Concepcion.,1998.0,1,1,1,,WGS84,2019,L. Acosta
4064,PRESERVED_SPECIMEN,Lecythis mesophylla,2850261,GBIF,,Manuel Vargas,,9.693056,-84.37083299999999,Mastatal. Ribera Quebrada Grande. Camino a Alto Concepcion.,1998.0,1,1,1,,WGS84,2019,L. Acosta
4069,PRESERVED_SPECIMEN,Lecythis mesophylla,2850263,GBIF,,Manuel Vargas,,9.693056,-84.37083299999999,Mastatal. Ribera Quebrada Grande. Camino a Alto Concepcion.,1998.0,1,1,1,,WGS84,2019,L. Acosta
