,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1544,PRESERVED_SPECIMEN,Lennea viridiflora,1561129,GBIF,,Manuel Vargas,,10.833333,-85.033333,Canalete. Camino a Higueron.,1992.0,1,1,1,,WGS84,2019,Quirico Jiménez
1547,PRESERVED_SPECIMEN,Lennea viridiflora,1561130,GBIF,,Manuel Vargas,,10.75,-84.883333,"Cabana, cerca del rio Buenavista.",1991.0,1,1,1,,WGS84,2019,Quirico Jiménez
2814,PRESERVED_SPECIMEN,Lennea viridiflora,1601681,GBIF,,Manuel Vargas,,10.838889,-84.9625,"Colonia Puntarenas, entrada a Cano Negro.",1995.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
4929,PRESERVED_SPECIMEN,Lennea viridiflora,2920287,GBIF,,Manuel Vargas,,10.866667,-84.966667,"Colonia Puntarenas. Del Salon Comunal al Rio Chimurria, 1 Km aguas arriba siguiendo alternamente su margen.",1987.0,1,1,1,,WGS84,2019,Gerardo Herrera
5456,PRESERVED_SPECIMEN,Lennea viridiflora,2914621,GBIF,,Manuel Vargas,,10.816667,-84.883333,"Along Rio Chimurria in vicinity of Colonia Puntarenas, ca. 11 km (by road) SE of Upala.",1988.0,1,1,1,,WGS84,2019,Michael H. Grayum
6523,PRESERVED_SPECIMEN,Lennea viridiflora,3383885,GBIF,,Manuel Vargas,,10.960733,-85.495237,"La Cruz, Santa Elena, P.N.G., Sector Orosí, Estación Maritza",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
6524,PRESERVED_SPECIMEN,Lennea viridiflora,3383886,GBIF,,Manuel Vargas,,10.960733,-85.495237,"La Cruz, Santa Elena, P.N.G., Sector Orosí, Estación Maritza",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
10740,PRESERVED_SPECIMEN,Lennea viridiflora,4137199,GBIF,,Manuel Vargas,,9.926389,-84.323611,"Turrúcares, San Miguel, río Yurro Negro.",2007.0,1,1,1,,WGS84,2019,Daniel Solano; Ricardo Kriebel
10741,PRESERVED_SPECIMEN,Lennea viridiflora,4137198,GBIF,,Manuel Vargas,,9.926389,-84.323611,"Turrúcares, San Miguel, río Yurro Negro.",2007.0,1,1,1,,WGS84,2019,Daniel Solano; Ricardo Kriebel
10742,PRESERVED_SPECIMEN,Lennea viridiflora,4137197,GBIF,,Manuel Vargas,,9.926389,-84.323611,"Turrúcares, San Miguel, río Yurro Negro.",2007.0,1,1,1,,WGS84,2019,Daniel Solano; Ricardo Kriebel
10743,PRESERVED_SPECIMEN,Lennea viridiflora,4137200,GBIF,,Manuel Vargas,,9.926389,-84.323611,"Turrúcares, San Miguel, río Yurro Negro.",2007.0,1,1,1,,WGS84,2019,Daniel Solano; Ricardo Kriebel
11153,PRESERVED_SPECIMEN,Lennea viridiflora,4193007,GBIF,,Manuel Vargas,,9.797778,-84.59222199999999,P. N. Carara. 700 m antes de llegar al cruce de Río Carara hacia Coopecarara.,2004.0,1,1,1,,WGS84,2019,L. Acosta; Luis Diego Vargas
11155,PRESERVED_SPECIMEN,Lennea viridiflora,4193008,GBIF,,Manuel Vargas,,9.797778,-84.59222199999999,P. N. Carara. 700 m antes de llegar al cruce de Río Carara hacia Coopecarara.,2004.0,1,1,1,,WGS84,2019,L. Acosta; Luis Diego Vargas
13879,PRESERVED_SPECIMEN,Lennea viridiflora,,GBIF,,Manuel Vargas,,19.35,-96.77,"Mexico:Veracruz, 2 km NW Jalcomulco",,1,1,1,,WGS84,2019,
18867,PRESERVED_SPECIMEN,Lennea viridiflora,U.1249339,GBIF,,Manuel Vargas,,10.833333,-85.06666700000001,"Alajuela, nr. Canalete, Upala. Edge of road, bordering pasture.",1992.0,1,1,1,,WGS84,2019,Owen PE
20017,PRESERVED_SPECIMEN,Lennea viridiflora,,GBIF,,Manuel Vargas,,10.89,-85.48,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Cerca de la casa de los gusaneros",2009.0,1,1,1,,WGS84,2019,Adrian Guadamuz
20028,PRESERVED_SPECIMEN,Lennea viridiflora,,GBIF,,Manuel Vargas,,10.89,-85.48,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero al Bananal Gongora",2009.0,1,1,1,,WGS84,2019,Adrian Guadamuz
20034,PRESERVED_SPECIMEN,Lennea viridiflora,,GBIF,,Manuel Vargas,,10.89,-85.48,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Cerca de la casa de los gusaneros",2009.0,1,1,1,,WGS84,2019,Adrian Guadamuz
