,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1436,PRESERVED_SPECIMEN,Licania jefensis,1559805,GBIF,,Manuel Vargas,,9.788333,-83.145833,"El Progreso, siguiendo el sendero de la avioneta, por la fila entre 1000 m y los 1300 m. Fila Matama.",1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
1445,PRESERVED_SPECIMEN,Licania jefensis,1559802,GBIF,,Manuel Vargas,,10.8,-85.31666700000001,"Hacienda Santa Maria; del Mirador, siguiendo la Fila al Noreste, camino al Volcan Santa Maria.",1987.0,1,1,1,,WGS84,2019,Gerardo Herrera
1449,PRESERVED_SPECIMEN,Licania jefensis,1559806,GBIF,,Manuel Vargas,,10.7125,-85.0125,El Pilon. Camino El Pilon-Bijagua (camino de Arguello) subiendo hasta la toma de agua de  AyA  en ladera del Cerro Montezuma. Bijagua,1988.0,1,1,1,,WGS84,2019,Gerardo Herrera
1450,PRESERVED_SPECIMEN,Licania jefensis,1559803,GBIF,,Manuel Vargas,,10.333333,-84.7,"Rio Penas Blancas, Quebrada Agua Gata, Finca Francisco. Bosque primario.",1990.0,1,1,1,,WGS84,2019,Norman Obando
1454,PRESERVED_SPECIMEN,Licania jefensis,1559804,GBIF,,Manuel Vargas,,9.375,-82.940278,Fila de exploracion minera entre Rio Sukut y Rio Carbri siguiendo el sendero entre Cerro Schtomat y Cerro Bribeta.,1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
1460,PRESERVED_SPECIMEN,Licania jefensis,1559807,GBIF,,Manuel Vargas,,10.990556,-85.427779,Estacion Pitilla.,1992.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1900,PRESERVED_SPECIMEN,Licania jefensis,1569105,GBIF,,Manuel Vargas,,10.333333,-84.68333299999999,"Rio Penas Blancas, Laguna y Quebrada Celeste.",1989.0,1,1,1,,WGS84,2019,Erick Bello
1903,PRESERVED_SPECIMEN,Licania jefensis,1569104,GBIF,,Manuel Vargas,,10.35,-84.666667,Rio Penas Blancas. Laguna Poco Sol.,1989.0,1,1,1,,WGS84,2019,Erick Bello
2454,PRESERVED_SPECIMEN,Licania jefensis,1595099,GBIF,,Manuel Vargas,,10.3,-84.616667,"4 km SW of La Tigra de San Carlos, valley of Rio La Esperanza, finca Araya Ledezma/ B. E. de Los Ninos.",1992.0,1,1,1,,WGS84,2019,William Haber
5313,PRESERVED_SPECIMEN,Licania jefensis,2909306,GBIF,,Manuel Vargas,,10.277222,-84.0825,"Sendero del transecto. Immediately to right of trail, one half hour below refugio at 1070 m. Primary Premontane Wet Forest.",1992.0,1,1,1,,WGS84,2019,Brad Boyle
6857,PRESERVED_SPECIMEN,Licania jefensis,3444282,GBIF,,Manuel Vargas,,10.722937,-85.036806,"Albergue Helinonias,sendero Heliconias. Área de Conservación Arenal",2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
