,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
704,PRESERVED_SPECIMEN,Licania kallunkiae,1530370,GBIF,,Manuel Vargas,,9.75,-84.563889,Sector Bijagual. Sitio Quebrada Maquina.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Armando Soto
707,PRESERVED_SPECIMEN,Licania kallunkiae,1530372,GBIF,,Manuel Vargas,,9.75,-84.563889,Sector Bijagual. Sitio Quebrada Maquina.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Armando Soto
708,PRESERVED_SPECIMEN,Licania kallunkiae,1530373,GBIF,,Manuel Vargas,,9.75,-84.563889,Sector Bijagual. Sitio Quebrada Maquina.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Armando Soto
709,PRESERVED_SPECIMEN,Licania kallunkiae,1530371,GBIF,,Manuel Vargas,,9.75,-84.563889,Sector Bijagual. Sitio Quebrada Maquina.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Armando Soto
1053,PRESERVED_SPECIMEN,Licania kallunkiae,1513481,GBIF,,Manuel Vargas,,9.732222,-84.3925,Santa Gertrudis.,1996.0,1,1,1,,WGS84,2019,Barry Hammel
1063,PRESERVED_SPECIMEN,Licania kallunkiae,1513529,GBIF,,Manuel Vargas,,10.686111,-84.18055600000001,"ca. 7 km NE de Boca Tapada, Laguna del Lagarto Lodge.",1996.0,1,1,1,,WGS84,2019,Barry Hammel
1342,PRESERVED_SPECIMEN,Licania kallunkiae,1557840,GBIF,,Manuel Vargas,,9.766667,-84.533333,Mature moist forest Rio Carara near Carara Guard Post. INBio parataxonomy course.,1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry; Nelson A. Zamora Villalobos ; Quirico Jiménez
1438,PRESERVED_SPECIMEN,Licania kallunkiae,1559798,GBIF,,Manuel Vargas,,10.219444000000001,-84.593056,Fila al Volcan Muerto.,1993.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1439,PRESERVED_SPECIMEN,Licania kallunkiae,1559809,GBIF,,Manuel Vargas,,10.35,-84.666667,Rio Penas Blancas. Finca Tono Gonzalez.,1989.0,1,1,1,,WGS84,2019,Erick Bello
1455,PRESERVED_SPECIMEN,Licania kallunkiae,1559790,GBIF,,Manuel Vargas,,9.766667,-84.533333,Mature moist forest Rio Carara near Carara Guard Post. INBio parataxonomy course.,1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
