,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
48,PRESERVED_SPECIMEN,Licania platycalyx,376442,GBIF,3499,Manuel Vargas,,6.571623,-76.270239,"Sector Venados arriba, margen derecha del Río Venados.",1988.0,1,1,1,,WGS84,2019,A. Cogollo
106,PRESERVED_SPECIMEN,Licania platycalyx,461866,GBIF,1,Manuel Vargas,,6.218889,-75.50805600000001,"Antioquia. Mpio. Medellín, Corrg. Santa Elena, Vda. Media Luna. Finca La Aguada.",2000.0,1,1,1,,WGS84,2019,H. Rincón
1430,PRESERVED_SPECIMEN,Licania platycalyx,1559779,GBIF,,Manuel Vargas,,9.397222,-83.086111,"Amubri, Alto Lari, Kivut. Fila mayor entre los Rios Dapari y Lari, desviandose hacia el este por fila secundaria, cuenca del Rio Lari.",1992.0,1,1,1,,WGS84,2019,Gerardo Herrera
1437,PRESERVED_SPECIMEN,Licania platycalyx,1559780,GBIF,,Manuel Vargas,,9.397222,-83.088889,Alto Lari. Kivut.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1920,PRESERVED_SPECIMEN,Licania platycalyx,1569460,GBIF,,Manuel Vargas,,10.283333,-84.033334,"Rara Avis, ca. 15 km al suroeste de Horquetas. Alrededores del Hotel hasta el Rio Atelopus. Bosque Primario y Secundario.",1989.0,1,1,1,,WGS84,2019,Orlando Vargas
3037,PRESERVED_SPECIMEN,Licania platycalyx,1606877,GBIF,,Manuel Vargas,,10.198611,-83.888889,Rio Corintio. Guapiles. Centro Ecologico Morpho.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3304,PRESERVED_SPECIMEN,Licania platycalyx,1583761,GBIF,,Manuel Vargas,,9.397222,-83.088889,Alto Lari. Kivut.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
5342,PRESERVED_SPECIMEN,Licania platycalyx,2909825,GBIF,,Manuel Vargas,,10.297222,-84.073611,Puesto El Ceibo. On ridge crest 250 m E of Transect Trail. Primary premontane wet forest.,1994.0,1,1,1,,WGS84,2019,Brad Boyle
5631,PRESERVED_SPECIMEN,Licania platycalyx,3093974,GBIF,,Manuel Vargas,,10.366667,-84.616667,"Rio Penas Blancas canyon, Nene Castro farm, 4 km NW of La Tigra. lowland wet forest.",1995.0,1,1,1,,WGS84,2019,William Haber
5632,PRESERVED_SPECIMEN,Licania platycalyx,3093975,GBIF,,Manuel Vargas,,10.366667,-84.616667,"Rio Penas Blancas canyon, Nene Castro farm, 4 km NW of La Tigra. lowland wet forest.",1995.0,1,1,1,,WGS84,2019,William Haber
5633,PRESERVED_SPECIMEN,Licania platycalyx,3093977,GBIF,,Manuel Vargas,,10.366667,-84.616667,"Rio Penas Blancas canyon, Nene Castro farm, 4 km NW of La Tigra. lowland wet forest.",1995.0,1,1,1,,WGS84,2019,William Haber
5634,PRESERVED_SPECIMEN,Licania platycalyx,3093976,GBIF,,Manuel Vargas,,10.366667,-84.616667,"Rio Penas Blancas canyon, Nene Castro farm, 4 km NW of La Tigra. lowland wet forest.",1995.0,1,1,1,,WGS84,2019,William Haber
10165,PRESERVED_SPECIMEN,Licania platycalyx,4122688,GBIF,,Manuel Vargas,,9.81703,-83.16669,"Limón, Valle La Estrella Fila Matama. Ca. 11 km SW del Pueblo de Aguas Zarcas.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; A. K. Monro ; Daniel Santamaría ; Daniel Solano ; Billen Gamboa R. ; Eduardo Boza ; Mario Hernández Peña ; Marcos Moraga ; Oscar Chacón Chavarría ; Ruth Delgado Dávila
10166,PRESERVED_SPECIMEN,Licania platycalyx,4122687,GBIF,,Manuel Vargas,,9.81703,-83.16669,"Limón, Valle La Estrella Fila Matama. Ca. 11 km SW del Pueblo de Aguas Zarcas.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; A. K. Monro ; Daniel Santamaría ; Daniel Solano ; Billen Gamboa R. ; Eduardo Boza ; Mario Hernández Peña ; Marcos Moraga ; Oscar Chacón Chavarría ; Ruth Delgado Dávila
13327,PRESERVED_SPECIMEN,Licania platycalyx,3571,GBIF,,Manuel Vargas,,7.150294000000001,-73.01325600000001,,2003.0,1,1,1,,WGS84,2019,B. Quirós
13331,PRESERVED_SPECIMEN,Licania platycalyx,4606,GBIF,,Manuel Vargas,,7.119764,-73.04168299999999,,2002.0,1,1,1,,WGS84,2019,J. Brand
17814,PRESERVED_SPECIMEN,Licania platycalyx,55787,GBIF,Pérez Arbeláez 5336,Manuel Vargas,,6.27,-77.35,Protected due to name conservation status,1939.0,1,1,1,,WGS84,2019,E. Pérez Arbeláez|José Cuatrecasas
18178,PRESERVED_SPECIMEN,Licania platycalyx,71107,GBIF,Gentry 53187,Manuel Vargas,,3.53,-76.58,Protected due to name conservation status,1985.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.|et al.
18636,PRESERVED_SPECIMEN,Licania platycalyx,FMB-61645,GBIF,622,Manuel Vargas,,1.1514719999999998,-77.995778,Ricaurte,2002.0,1,1,1,,WGS84,2019,"Gil-Ch., Iván"
18648,PRESERVED_SPECIMEN,Licania platycalyx,FMB-64887,GBIF,JM2472,Manuel Vargas,,4.741389,-75.602778,"Vereda El Cedral, finca la Carmencita",2003.0,1,1,1,,WGS84,2019,"Mendoza, J. | Leonardo, F."
18649,PRESERVED_SPECIMEN,Licania platycalyx,FMB-64888,GBIF,JM2472,Manuel Vargas,,4.741389,-75.602778,"Vereda El Cedral, finca la Carmencita",2003.0,1,1,1,,WGS84,2019,"Mendoza, J. | Leonardo, F."
