,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
24064,PRESERVED_SPECIMEN,Licaria caribaea,65028,GBIF,,Manuel Vargas,,9.61,-83.58,P. N. Tortuguero Caño Suerte. Límite Norte del parque.,1995.0,1,1,1,,WGS84,2019,"Cascante, Alfredo"
24065,PRESERVED_SPECIMEN,Licaria caribaea,65029,GBIF,,Manuel Vargas,,9.61,-83.58,P. N. Tortuguero Caño Suerte. Límite Norte del parque.,1995.0,1,1,1,,WGS84,2019,"Cascante, Alfredo"
24135,PRESERVED_SPECIMEN,Licaria caribaea,195390,GBIF,,Manuel Vargas,,9.61,-83.58,Tortuguero. Caño Suerte. Límite Norte del Parque Nacional Tortuguero. Junto a canal.,1996.0,1,1,1,,WGS84,2019,"Cascante, Alfredo"
24136,PRESERVED_SPECIMEN,Licaria caribaea,195391,GBIF,,Manuel Vargas,,9.61,-83.58,Tortuguero. Caño Suerte. Límite Norte del Parque Nacional Tortuguero. Junto canal en terreno no anegado.,1996.0,1,1,1,,WGS84,2019,"Cascante, Alfredo"
24137,PRESERVED_SPECIMEN,Licaria caribaea,195392,GBIF,,Manuel Vargas,,9.61,-83.58,P. N. Tortuguero Caño Suerte. Límite Norte del parque.,1995.0,1,1,1,,WGS84,2019,"Cascante, Alfredo"
24156,PRESERVED_SPECIMEN,Licaria caribaea,215706,GBIF,,Manuel Vargas,,9.61,-83.58,Tortuguero. Caño Suerte. Límite Norte del Parque Nacional Tortuguero. Junto canal en terreno no anegado.,1996.0,1,1,1,,WGS84,2019,"Cascante, Alfredo"
24157,PRESERVED_SPECIMEN,Licaria caribaea,215707,GBIF,,Manuel Vargas,,9.61,-83.58,Tortuguero. Caño Suerte. Límite Norte del Parque Nacional Tortuguero. Junto a canal.,1996.0,1,1,1,,WGS84,2019,"Cascante, Alfredo"
24160,PRESERVED_SPECIMEN,Licaria caribaea,223510,GBIF,,Manuel Vargas,,9.61,-83.58,P. N. Tortuguero Caño Suerte. Límite Norte del parque.,1995.0,1,1,1,,WGS84,2019,"Cascante, Alfredo"
24162,PRESERVED_SPECIMEN,Licaria caribaea,224142,GBIF,,Manuel Vargas,,9.68,-82.95,"San Miguel. Cabecar, camino entre Fila Tsipubuta y Cerro Mirador. Reserva Indigena Cabecar.",1999.0,1,1,1,,WGS84,2019,"Valverde, Oscar"
42033,PRESERVED_SPECIMEN,Licaria caribaea,V0061422F,GBIF,705,Manuel Vargas,,10.0114,-83.9519,,1995.0,1,1,1,,WGS84,2019,A. Cascante & A. Ruíz-Boyer
47895,PRESERVED_SPECIMEN,Licaria caribaea,100732483,GBIF,Valverde Barrantes 1239,Manuel Vargas,,9.680556,-82.958333,"San Miguel. Cabecar, camino entre Fila Tsipubuta y Cerro Mirador. Reserva Indigena Cabecar.",1999.0,1,1,1,,WGS84,2019,Óscar Valverde|S. Hernández
47897,PRESERVED_SPECIMEN,Licaria caribaea,100733020,GBIF,Thomsen 1545,Manuel Vargas,,10.5,-83.583333,"Palacios, ca. 13 km W of Tortuguero village. On farm of Marvin Jiménez.",1998.0,1,1,1,,WGS84,2019,Karsten Thomsen
49803,PRESERVED_SPECIMEN,Licaria caribaea,1318932,GBIF,Cascante Marín 705,Manuel Vargas,,10.63,-83.59,"Limité norte del Parque Nacional Tortuguero, Caño Suerte",1995.0,1,1,1,,WGS84,2019,Alfredo Cascante|Armando Ruiz Boyer
