,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
696,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,1530334,GBIF,,Manuel Vargas,,10.202778,-84.536111,"Cercania de Rio Cataratitas, camino a Bajo Rodriguez.",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
702,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,1530332,GBIF,,Manuel Vargas,,10.202778,-84.536111,"Cercania de Rio Cataratitas, camino a Bajo Rodriguez.",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
705,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,1530331,GBIF,,Manuel Vargas,,10.202778,-84.536111,"Cercania de Rio Cataratitas, camino a Bajo Rodriguez.",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
706,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,1530333,GBIF,,Manuel Vargas,,10.202778,-84.536111,"Cercania de Rio Cataratitas, camino a Bajo Rodriguez.",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
902,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,1509256,GBIF,,Manuel Vargas,,10.875,-85.393056,"Sector San Cristobal, 2.5 km noreste, despues de la estacion.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
2057,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,1573988,GBIF,,Manuel Vargas,,10.386111,-84.80833299999999,"San Gerardo Abajo, Rio Cano Negro. Fincas Quesada, Arce y Porras.",1991.0,1,1,1,,WGS84,2019,Erick Bello
2098,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,1575860,GBIF,,Manuel Vargas,,10.316667,-84.7,"Penas Blancas Valley, Quebrada Celeste- Quebrada Azufre.",1988.0,1,1,1,,WGS84,2019,Erick Bello
2105,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,1576225,GBIF,,Manuel Vargas,,10.333333,-84.716667,Rio Penas Blancas. Bosque pluvial premontano.,1987.0,1,1,1,,WGS84,2019,William Haber
2986,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,1604683,GBIF,,Manuel Vargas,,10.875,-85.393056,"Sector San Cristobal, 2.5 Km noreste, despues de la estacion.",1994.0,1,1,1,,WGS84,2019,Roberto Espinoza
3136,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,1580132,GBIF,,Manuel Vargas,,10.316667,-84.716667,"Rio Penas Blancas. Alrededores de los refugios Eladio y Alejandro, Mas Wilson.",1989.0,1,1,1,,WGS84,2019,Erick Bello
3478,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,2823567,GBIF,,Manuel Vargas,,8.903163000000001,-82.765632,"Loma Indio, Fca E. Alfaro, 1.5 km NE. de Mellizas",1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
3479,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,2823569,GBIF,,Manuel Vargas,,8.903163000000001,-82.765632,"Loma Indio, Fca E. Alfaro, 1.5 km NE. de Mellizas",1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
3480,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,2823568,GBIF,,Manuel Vargas,,8.903163000000001,-82.765632,"Loma Indio, Fca E. Alfaro, 1.5 km NE. de Mellizas",1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
4236,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,2828007,GBIF,,Manuel Vargas,,10.241667,-84.7,"Miramar; Arancibia; Fila Cedral, entrando por Corazon de Jesus. Tacotales y bosques. AC Arenal.",1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón
4237,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,2828009,GBIF,,Manuel Vargas,,10.241667,-84.7,"Miramar; Arancibia; Fila Cedral, entrando por Corazon de Jesus. Tacotales y bosques. AC Arenal.",1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón
4239,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,2828008,GBIF,,Manuel Vargas,,10.241667,-84.7,"Miramar; Arancibia; Fila Cedral, entrando por Corazon de Jesus. Tacotales y bosques. AC Arenal.",1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón
4242,PRESERVED_SPECIMEN,Lonchocarpus calcaratus,2828014,GBIF,,Manuel Vargas,,10.241667,-84.7,"Miramar; Arancibia; Fila Cedral, entrando por Corazon de Jesus. Tacotales y bosques. AC Arenal.",1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón
