,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1016,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1513080,GBIF,,Manuel Vargas,,10.3,-84.800001,Monteverde. Pacific slope moist forest. Eston Rockwell farm.,1993.0,1,1,1,,WGS84,2019,William Haber
1021,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1513085,GBIF,,Manuel Vargas,,10.3,-84.800001,"Monteverde, Bajo Tigre Trail, Pacific slope moist forest.",1992.0,1,1,1,,WGS84,2019,William Haber
1024,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1513067,GBIF,,Manuel Vargas,,10.3,-84.800001,"Monteverde, Bajo Tigre Reserve, Pacific slope, ridge between Rio Guacimal and Quebrada Maquina.",1992.0,1,1,1,,WGS84,2019,William Haber
1026,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1513063,GBIF,,Manuel Vargas,,10.3,-84.800001,"Monteverde. Pacific slope, Lower montane moist forest. Eston Rockwell farm.",1993.0,1,1,1,,WGS84,2019,William Haber
1028,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1513062,GBIF,,Manuel Vargas,,10.3,-84.800001,"Monteverde. Pacific slope, Lower montane moist forest. Eston Rockwell farm.",1993.0,1,1,1,,WGS84,2019,William Haber
1029,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1513079,GBIF,,Manuel Vargas,,10.290278,-84.802778,Altos de San Luis. Los Leitones.,1991.0,1,1,1,,WGS84,2019,Erick Bello
1030,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1513084,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Los Llanos, 2 km W of Santa Elena along road to Interamerican Highway.",1992.0,1,1,1,,WGS84,2019,William Haber
1039,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1513073,GBIF,,Manuel Vargas,,10.425278,-84.906389,"Quebrada Grande, La Chiripa, Division del Rio Chiquito y Rio Canas.",1993.0,1,1,1,,WGS84,2019,Erick Bello
1314,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1557065,GBIF,,Manuel Vargas,,10.283333,-84.783333,Rio San Luis. Altos de San Luis. Monteverde.,1989.0,1,1,1,,WGS84,2019,Erick Bello
1549,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1561132,GBIF,,Manuel Vargas,,10.3,-84.800001,"Monteverde, Bajo Tigre Trail, Pacific slope moist forest.",1992.0,1,1,1,,WGS84,2019,William Haber
1787,PRESERVED_SPECIMEN,Lonchocarpus chiangii,1565725,GBIF,,Manuel Vargas,,10.929167,-85.470833,"Estacion Cacao, Bosque primario.",1990.0,1,1,1,,WGS84,2019,Gerardo Varela
