,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
657,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1528515,GBIF,,Manuel Vargas,,10.345833,-84.134722,"La Virgen, 1 km despues de San Ramon camino a La Virgen.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Alvaro Fernandez
658,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1528513,GBIF,,Manuel Vargas,,10.345833,-84.134722,"La Virgen, 1 km despues de San Ramon camino a La Virgen.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Alvaro Fernandez
659,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1528512,GBIF,,Manuel Vargas,,10.345833,-84.134722,"La Virgen, 1 km despues de San Ramon camino a La Virgen.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Alvaro Fernandez
660,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1528514,GBIF,,Manuel Vargas,,10.345833,-84.134722,"La Virgen, 1 km despues de San Ramon camino a La Virgen.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Alvaro Fernandez
697,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1530321,GBIF,,Manuel Vargas,,10.35,-84.227778,Ca. 1 Km O. de Rio Cuarto camino a Venecia de San Carlos. Pinal.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
701,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1530322,GBIF,,Manuel Vargas,,10.35,-84.227778,Ca. 1 Km O. de Rio Cuarto camino a Venecia de San Carlos. Pinal.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
747,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1531307,GBIF,,Manuel Vargas,,10.436389,-84.294444,"Entre Pital y Aguas Zarcas; ca. 2 km de Pital, a la par del camino.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Barry Hammel ; Alexánder Francisco Rodríguez González
749,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1531309,GBIF,,Manuel Vargas,,10.436389,-84.294444,"Entre Pital y Aguas Zarcas; ca. 2 km de Pital, a la par del camino.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Barry Hammel ; Alexánder Francisco Rodríguez González
750,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1531304,GBIF,,Manuel Vargas,,10.436389,-84.294444,"Entre Pital y Aguas Zarcas; ca. 2 km de Pital, a la par del camino.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Barry Hammel ; Alexánder Francisco Rodríguez González
751,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1531306,GBIF,,Manuel Vargas,,10.436389,-84.294444,"Entre Pital y Aguas Zarcas; ca. 2 km de Pital, a la par del camino.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Barry Hammel ; Alexánder Francisco Rodríguez González
754,PRESERVED_SPECIMEN,Lonchocarpus ferrugineus,1531308,GBIF,,Manuel Vargas,,10.436389,-84.294444,"Entre Pital y Aguas Zarcas; ca. 2 km de Pital, a la par del camino.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Barry Hammel ; Alexánder Francisco Rodríguez González
