,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
995,PRESERVED_SPECIMEN,Lophanthera hammelii,1512647,GBIF,,Manuel Vargas,,9.681944,-84.393889,Mastatal de Puriscal. Bosque primario y secundario.,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1659,PRESERVED_SPECIMEN,Lophanthera hammelii,1561920,GBIF,,Manuel Vargas,,9.697222,-84.395833,"Mastatal de Puriscal. Bosque primario y secundario, en parches remanentes.",1992.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2942,PRESERVED_SPECIMEN,Lophanthera hammelii,1604200,GBIF,,Manuel Vargas,,10.466667,-84.0,Puerto Viejo,1990.0,1,1,1,,WGS84,2019,Orlando Vargas
3641,PRESERVED_SPECIMEN,Lophanthera hammelii,2816181,GBIF,,Manuel Vargas,,8.537059,-83.41506600000001,"Est. Agujas. Finca La Torre, Juan Azofeifa",1997.0,1,1,1,,WGS84,2019,Alejandro Azofeifa Zúñiga
3642,PRESERVED_SPECIMEN,Lophanthera hammelii,2816180,GBIF,,Manuel Vargas,,8.537059,-83.41506600000001,"Est. Agujas. Finca La Torre, Juan Azofeifa",1997.0,1,1,1,,WGS84,2019,Alejandro Azofeifa Zúñiga
3643,PRESERVED_SPECIMEN,Lophanthera hammelii,2816183,GBIF,,Manuel Vargas,,8.537059,-83.41506600000001,"Est. Agujas. Finca La Torre, Juan Azofeifa",1997.0,1,1,1,,WGS84,2019,Alejandro Azofeifa Zúñiga
3644,PRESERVED_SPECIMEN,Lophanthera hammelii,2816184,GBIF,,Manuel Vargas,,8.537059,-83.41506600000001,"Est. Agujas. Finca La Torre, Juan Azofeifa",1997.0,1,1,1,,WGS84,2019,Alejandro Azofeifa Zúñiga
3645,PRESERVED_SPECIMEN,Lophanthera hammelii,2816182,GBIF,,Manuel Vargas,,8.537059,-83.41506600000001,"Est. Agujas. Finca La Torre, Juan Azofeifa",1997.0,1,1,1,,WGS84,2019,Alejandro Azofeifa Zúñiga
4101,PRESERVED_SPECIMEN,Lophanthera hammelii,2851612,GBIF,,Manuel Vargas,,8.543382000000001,-83.410972,"Estación Agujas, Sendero Real.",1997.0,1,1,1,,WGS84,2019,Manuel Lobo
4104,PRESERVED_SPECIMEN,Lophanthera hammelii,2851615,GBIF,,Manuel Vargas,,8.543382000000001,-83.410972,"Estación Agujas, Sendero Real.",1997.0,1,1,1,,WGS84,2019,Manuel Lobo
