,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
238,PRESERVED_SPECIMEN,Macrolobium hartshornii,1517832,GBIF,,Manuel Vargas,,10.569444,-84.04722199999999,Lomas Sardinal; bosque intervenido y primario; ca. 15 km linea recta N de Puerto Viejo.,1997.0,1,1,1,,WGS84,2019,Barry Hammel
240,PRESERVED_SPECIMEN,Macrolobium hartshornii,1517833,GBIF,,Manuel Vargas,,10.569444,-84.04722199999999,Lomas Sardinal; bosque intervenido y primario; ca. 15 km linea recta N de Puerto Viejo.,1997.0,1,1,1,,WGS84,2019,Barry Hammel
245,PRESERVED_SPECIMEN,Macrolobium hartshornii,1517834,GBIF,,Manuel Vargas,,10.569444,-84.04722199999999,Lomas Sardinal; bosque intervenido y primario; ca. 15 km linea recta N de Puerto Viejo.,1997.0,1,1,1,,WGS84,2019,Barry Hammel
3081,PRESERVED_SPECIMEN,Macrolobium hartshornii,1578803,GBIF,,Manuel Vargas,,10.65,-84.18333299999999,Pital. Yucatan. Finca de Carlos Loria Murillo.,1994.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
3167,PRESERVED_SPECIMEN,Macrolobium hartshornii,1580872,GBIF,,Manuel Vargas,,8.722222,-83.44166700000001,Los Mogos; Bahia Chal.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4874,PRESERVED_SPECIMEN,Macrolobium hartshornii,2919105,GBIF,,Manuel Vargas,,8.772222,-83.377778,Los Mogos. 25 km O de Chacarita por la carretera entre Rincon y Chacarita.,1990.0,1,1,1,,WGS84,2019,Barry Hammel
4980,PRESERVED_SPECIMEN,Macrolobium hartshornii,2921698,GBIF,,Manuel Vargas,,9.502778,-82.963889,Amubri. Camino entre Amubri y Soki. Siguiendo las filas entre Alto Soki y Rio Uren.,1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
4987,PRESERVED_SPECIMEN,Macrolobium hartshornii,2921877,GBIF,,Manuel Vargas,,9.347222,-82.983333,Bratsi. Camino entre Quebrada Chaho y Crorina.,1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
5068,PRESERVED_SPECIMEN,Macrolobium hartshornii,2925287,GBIF,,Manuel Vargas,,9.519349,-82.956275,"Talamanca, Amubri",1995.0,1,1,1,,WGS84,2019,Angela Mora Maroto
5126,PRESERVED_SPECIMEN,Macrolobium hartshornii,2927853,GBIF,,Manuel Vargas,,10.416667,-83.56666700000001,"Estacion Agua Fria, de la casa-estacion 500 m al Sur, sobre el Sendero Real y 2 Km al Sureste, aproximadamente. Bosque primario.",1987.0,1,1,1,,WGS84,2019,Rafael Robles
5176,PRESERVED_SPECIMEN,Macrolobium hartshornii,2930077,GBIF,,Manuel Vargas,,10.283333,-84.033334,"Rara Avis, ca. 15 km al suroeste de Horquetas. Quebrada El Tigre, cerca de Plastico.",1989.0,1,1,1,,WGS84,2019,Orlando Vargas
6987,PRESERVED_SPECIMEN,Macrolobium hartshornii,3488081,GBIF,,Manuel Vargas,,8.672538000000001,-83.244148,Sendero a San Josecito,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho ; Edgar Mora
6988,PRESERVED_SPECIMEN,Macrolobium hartshornii,3488082,GBIF,,Manuel Vargas,,8.672538000000001,-83.244148,Sendero a San Josecito,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho ; Edgar Mora
8039,PRESERVED_SPECIMEN,Macrolobium hartshornii,3904671,GBIF,,Manuel Vargas,,9.438889,-83.825,"Savegre Abajo, Fila Chiricano.",2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
14430,PRESERVED_SPECIMEN,Macrolobium hartshornii,0029476,GBIF,,Manuel Vargas,,8.68333,-83.21667,"Puntarenas, Golfito: PN. Esquinas, ""Sendero Fila"". 8°41' N, 83°13' W.",1998.0,1,1,1,,WGS84,2019,"Schembera,E."
18252,PRESERVED_SPECIMEN,Macrolobium hartshornii,73108,GBIF,Robles González 1266,Manuel Vargas,,10.41,-83.56,"Parque Tortuguero Estación Agua Fría, de la casa-estación 500 m al Sur, sobre el Sendero Real y 2 Km al Sureste, aproximadamente. Bosque primario.",1987.0,1,1,1,,WGS84,2019,Rafael Robles
19925,PRESERVED_SPECIMEN,Macrolobium hartshornii,3655609,GBIF,3341,Manuel Vargas,,9.3472,-82.9833,"Cantón de Talamanca, Bratsi. Camino entre Quebrada Chaho y Crorina.",1989.0,1,1,1,,WGS84,2019,G. Herrera
24220,PRESERVED_SPECIMEN,Macrolobium hartshornii,121929,GBIF,,Manuel Vargas,,10.4,-84.0,"Along the Río Guácimo, to the SE Estación Biológica La Selva of OTS, ca. 5 km S of Puerto Viejo de Sarapiquí. Tropical wet forest.",1984.0,1,1,1,,WGS84,2019,"Schatz, George E."
24222,PRESERVED_SPECIMEN,Macrolobium hartshornii,133596,GBIF,,Manuel Vargas,,10.3,-84.03,"Forest along new road to the north of Quebrada Tigre, from finca El Plástico to ca. 1.5 km NE therefore (ca. 8 km SW of Las Horquetas.).",1986.0,1,1,1,,WGS84,2019,"Grayum, Michael"
24231,PRESERVED_SPECIMEN,Macrolobium hartshornii,149645,GBIF,,Manuel Vargas,,9.34,-82.98,Camino entre Quebrada Chaho y Croriña.,1989.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
24234,PRESERVED_SPECIMEN,Macrolobium hartshornii,150338,GBIF,,Manuel Vargas,,10.41,-83.56,"P. N. Tortuguero Estación Agua Fría, de la casa estación, 500 m al Sur, sobre el sendero Real y 2 km al Sureste, aprox. Bosque primario.",1987.0,1,1,1,,WGS84,2019,"Robles, Rafael"
24236,PRESERVED_SPECIMEN,Macrolobium hartshornii,150374,GBIF,,Manuel Vargas,,9.5,-82.96,Amubri. Camino entre Amubri y Soki. Siguiendo las filas entre Alto Soki y río Urén.,1989.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
24238,PRESERVED_SPECIMEN,Macrolobium hartshornii,150379,GBIF,,Manuel Vargas,,10.28,-84.03,"Rara Avis, ca. 15 km al suroeste de Horquetas, Quebrada El Tigre, cerca del Plástico.",1989.0,1,1,1,,WGS84,2019,"Vargas, Orlando"
24240,PRESERVED_SPECIMEN,Macrolobium hartshornii,153400,GBIF,,Manuel Vargas,,8.77,-83.37,"R. F. Golfo Dulce Área conocido como Alto Los Mogos, 25 km O de Chacarita, 1 km N de la carretera entre Rincón y Chacarita.",1990.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
24258,PRESERVED_SPECIMEN,Macrolobium hartshornii,186420,GBIF,,Manuel Vargas,,8.68,-83.21,Sección Bosque de los Austriacos. Primary forest. Research plot. La Gamba.,1994.0,1,1,1,,WGS84,2019,"Huber, Werner"
24259,PRESERVED_SPECIMEN,Macrolobium hartshornii,186873,GBIF,,Manuel Vargas,,10.34,-83.98,Near Horquetas. Finca of the Bioforest ecological centrum secundary forest to primary forest.,1994.0,1,1,1,,WGS84,2019,"Bittner, Jens"
24273,PRESERVED_SPECIMEN,Macrolobium hartshornii,205425,GBIF,,Manuel Vargas,,8.72,-83.44,R. F. Golfo Dulce Península de Osa. Los Mogos. Bahía Chal.,1994.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
24281,PRESERVED_SPECIMEN,Macrolobium hartshornii,217012,GBIF,,Manuel Vargas,,8.78,-83.97,R. I. Talamanca Cordillera de Talamanca. Amubri.,1995.0,1,1,1,,WGS84,2019,"Mora, Angela"
24292,PRESERVED_SPECIMEN,Macrolobium hartshornii,239770,GBIF,,Manuel Vargas,,10.35,-84.1,R. E. Bijagual,2004.0,1,1,1,,WGS84,2019,"Vargas, Orlando"
