,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
49,PRESERVED_SPECIMEN,Marila podantha,376329,GBIF,2982,Manuel Vargas,,6.53825,-76.32226999999999,"Parque Nacional Natural Las Orquideas, sector Venados, margen derecha del rio Venados.",1988.0,1,1,1,,WGS84,2019,A. Cogollo
117,UNKNOWN,Marila podantha,100078806,GBIF,,Manuel Vargas,,8.68333,-83.2167,"Bosque de los Austriacos, Fila Gamba, forest of Avilan",1997.0,1,1,1,,WGS84,2019,"Huber Werner, Weissenhofer Anton"
118,UNKNOWN,Marila podantha,100078807,GBIF,,Manuel Vargas,,8.68333,-83.2167,"P.N. Piedras Blancas, near the Biological Station La Gamba, Sendero Fila",1999.0,1,1,1,,WGS84,2019,"Huber Werner, Weissenhofer Anton"
1359,PRESERVED_SPECIMEN,Marila podantha,1558084,GBIF,,Manuel Vargas,,8.7,-83.56666700000001,Camino a la toma de agua. Rancho Quemado Rincon. Bosque primario.,1990.0,1,1,1,,WGS84,2019,Javier Quesada
1463,PRESERVED_SPECIMEN,Marila podantha,1559917,GBIF,,Manuel Vargas,,8.7,-83.6,High forest W of Rancho Quemado on road to Drake and new logging road.,1991.0,1,1,1,,WGS84,2019,Paulus J. M. Maas
1464,PRESERVED_SPECIMEN,Marila podantha,1559914,GBIF,,Manuel Vargas,,8.672222,-83.20277800000001,Quebrada Rancho. - N. Martin & C. Formoso,1992.0,1,1,1,,WGS84,2019,Alberth Moreno
1469,PRESERVED_SPECIMEN,Marila podantha,1559919,GBIF,,Manuel Vargas,,8.575,-83.575,Fila Estero Guerra. Sierpe.,1991.0,1,1,1,,WGS84,2019,Juan Marin
2366,PRESERVED_SPECIMEN,Marila podantha,1590940,GBIF,,Manuel Vargas,,10.643889,-83.736112,Sardinas.,1995.0,1,1,1,,WGS84,2019,F. Araya
2460,PRESERVED_SPECIMEN,Marila podantha,1595128,GBIF,,Manuel Vargas,,10.401111,-84.050833,Estacion Magsasay. Bosque primario.,1990.0,1,1,1,,WGS84,2019,Gerardo Carballo
2461,PRESERVED_SPECIMEN,Marila podantha,1595142,GBIF,,Manuel Vargas,,8.713889,-83.52833299999999,Aguabuena. Cuenca media de Quebrada Aguabuena.,1991.0,1,1,1,,WGS84,2019,Gerardo Herrera
3260,PRESERVED_SPECIMEN,Marila podantha,1582925,GBIF,,Manuel Vargas,,8.7,-83.51666800000001,Aguabuena Oeste.,1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3370,PRESERVED_SPECIMEN,Marila podantha,1585680,GBIF,,Manuel Vargas,,8.766667,-83.250001,"Orilla de Quebrada Arenas, seccion Esquinas.",1994.0,1,1,1,,WGS84,2019,Javier Quesada
4759,PRESERVED_SPECIMEN,Marila podantha,2843163,GBIF,,Manuel Vargas,,10.163889,-83.94166700000001,"Just E of Rio Sucio, W of Hwy; along Sendero Botarranas; in 1  forest.",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas
4761,PRESERVED_SPECIMEN,Marila podantha,2843164,GBIF,,Manuel Vargas,,10.163889,-83.94166700000001,"Just E of Rio Sucio, W of Hwy; along Sendero Botarranas; in 1  forest.",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas
4793,PRESERVED_SPECIMEN,Marila podantha,2917185,GBIF,,Manuel Vargas,,10.316667,-84.716668,Rio Penas Blancas.,1988.0,1,1,1,,WGS84,2019,William Haber
4894,PRESERVED_SPECIMEN,Marila podantha,2919413,GBIF,,Manuel Vargas,,8.7,-83.594445,"Rancho Quemado, en fila directamente al Oeste del Pueblo; tierra del grupo de conservacionistas de Rancho Quemado.",1991.0,1,1,1,,WGS84,2019,Barry Hammel
5063,PRESERVED_SPECIMEN,Marila podantha,2925224,GBIF,,Manuel Vargas,,8.694444,-83.608333,Rancho Quemado. Rincon. Fila al oeste de Rancho Quemado a junta de Quebrada.,1991.0,1,1,1,,WGS84,2019,Juan Marin
5365,PRESERVED_SPECIMEN,Marila podantha,2910705,GBIF,,Manuel Vargas,,9.494444,-82.994444,"Camino entre Amubri y Cachabri, del puente sobre Rio Lari, margen derecha.",1989.0,1,1,1,,WGS84,2019,Abelardo Chacon
5423,PRESERVED_SPECIMEN,Marila podantha,2913155,GBIF,,Manuel Vargas,,8.7,-83.55,"Fila before Rancho Quemado, near Rincon.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
5678,PRESERVED_SPECIMEN,Marila podantha,3099354,GBIF,,Manuel Vargas,,8.708698,-83.236836,"Rio Bonito Sendero, Diviciones de Parques, 2.4 Km al ONO. del Cerro Gamba",1998.0,1,1,1,,WGS84,2019,Eida Fletes
5679,PRESERVED_SPECIMEN,Marila podantha,3099356,GBIF,,Manuel Vargas,,8.708698,-83.236836,"Rio Bonito Sendero, Diviciones de Parques, 2.4 Km al ONO. del Cerro Gamba",1998.0,1,1,1,,WGS84,2019,Eida Fletes
5682,PRESERVED_SPECIMEN,Marila podantha,3099353,GBIF,,Manuel Vargas,,8.708698,-83.236836,"Rio Bonito Sendero, Diviciones de Parques, 2.4 Km al ONO. del Cerro Gamba",1998.0,1,1,1,,WGS84,2019,Eida Fletes
5683,PRESERVED_SPECIMEN,Marila podantha,3099355,GBIF,,Manuel Vargas,,8.708698,-83.236836,"Rio Bonito Sendero, Diviciones de Parques, 2.4 Km al ONO. del Cerro Gamba",1998.0,1,1,1,,WGS84,2019,Eida Fletes
5912,PRESERVED_SPECIMEN,Marila podantha,3110779,GBIF,,Manuel Vargas,,10.154167,-83.9375,"Estacion Quebrada Gonzalez, Sendero La Garrapata. Rio Sucio.",1990.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas
5914,PRESERVED_SPECIMEN,Marila podantha,3110778,GBIF,,Manuel Vargas,,10.154167,-83.9375,"Estacion Quebrada Gonzalez, Sendero La Garrapata. Rio Sucio.",1990.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas
6339,PRESERVED_SPECIMEN,Marila podantha,3394475,GBIF,,Manuel Vargas,,10.2,-83.863889,"Guapiles, Rio Costa Rica.",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; L. Acosta
6340,PRESERVED_SPECIMEN,Marila podantha,3394474,GBIF,,Manuel Vargas,,10.2,-83.863889,"Guapiles, Rio Costa Rica.",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; L. Acosta
7255,PRESERVED_SPECIMEN,Marila podantha,3535219,GBIF,,Manuel Vargas,,8.672538000000001,-83.244148,Sendero a San Josecito,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho ; Edgar Mora
7256,PRESERVED_SPECIMEN,Marila podantha,3535218,GBIF,,Manuel Vargas,,8.672538000000001,-83.244148,Sendero a San Josecito,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho ; Edgar Mora
11121,PRESERVED_SPECIMEN,Marila podantha,4191287,GBIF,,Manuel Vargas,,10.163889,-83.938889,"Estacion Quebrada Gonzalez, Rio Sucio. Sendero Palmas.",2000.0,1,1,1,,WGS84,2019,Luis Diego Vargas
11124,PRESERVED_SPECIMEN,Marila podantha,4191288,GBIF,,Manuel Vargas,,10.163889,-83.938889,"Estacion Quebrada Gonzalez, Rio Sucio. Sendero Palmas.",2000.0,1,1,1,,WGS84,2019,Luis Diego Vargas
11488,PRESERVED_SPECIMEN,Marila podantha,4224378,GBIF,,Manuel Vargas,,10.162917,-83.938861,"Send. El Ceibo, Sector Quebrada González",2009.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
11489,PRESERVED_SPECIMEN,Marila podantha,4224379,GBIF,,Manuel Vargas,,10.162917,-83.938861,"Send. El Ceibo, Sector Quebrada González",2009.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
11492,PRESERVED_SPECIMEN,Marila podantha,4224380,GBIF,,Manuel Vargas,,10.162917,-83.938861,"Send. El Ceibo, Sector Quebrada González",2009.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
12244,PRESERVED_SPECIMEN,Marila podantha,4319108,GBIF,,Manuel Vargas,,8.665361,-83.203528,"Puntarenas, Golfito. Refugio Nacional de Vida Silvestre Golfito, Fila La Gamba, por la antigua trocha que baja.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Guillermo Villalobos ; Soo-Yong Kim
12245,PRESERVED_SPECIMEN,Marila podantha,4319109,GBIF,,Manuel Vargas,,8.665361,-83.203528,"Puntarenas, Golfito. Refugio Nacional de Vida Silvestre Golfito, Fila La Gamba, por la antigua trocha que baja.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Guillermo Villalobos ; Soo-Yong Kim
12246,PRESERVED_SPECIMEN,Marila podantha,4319110,GBIF,,Manuel Vargas,,8.665361,-83.203528,"Puntarenas, Golfito. Refugio Nacional de Vida Silvestre Golfito, Fila La Gamba, por la antigua trocha que baja.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Guillermo Villalobos ; Soo-Yong Kim
12247,PRESERVED_SPECIMEN,Marila podantha,4319107,GBIF,,Manuel Vargas,,8.665361,-83.203528,"Puntarenas, Golfito. Refugio Nacional de Vida Silvestre Golfito, Fila La Gamba, por la antigua trocha que baja.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Guillermo Villalobos ; Soo-Yong Kim
15747,PRESERVED_SPECIMEN,Marila podantha,3101449,GBIF,Hoover 3807,Manuel Vargas,,1.11666,-78.61666,"Ascending Río Palaví near Awá encampment, forest along banks of river.",1988.0,1,1,1,,WGS84,2019,W. Scott Hoover
15748,PRESERVED_SPECIMEN,Marila podantha,3101880,GBIF,Cornejo Sotomayor 6433,Manuel Vargas,,0.5,-79.05,El Silencio. Bosque muy húmedo tropical. Secundario.,1998.0,1,1,1,,WGS84,2019,Xavier Cornejo S.|Carmen Bonifaz B.
16843,PRESERVED_SPECIMEN,Marila podantha,3468836,GBIF,Vargas Ramírez 1152,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Sendero: SR 40m. A orillas del Río Sarapiquí.,2005.0,1,1,1,,WGS84,2019,Orlando Vargas
16884,PRESERVED_SPECIMEN,Marila podantha,3477838,GBIF,Rodríguez González 5499,Manuel Vargas,,10.2,-83.86388000000001,"No protegida. Cuenca del Sarapiquí. Finca Bosque Lluvioso, propiedad del INBio, entrando por camino a mano derecha dele río Costa Rica.",1999.0,1,1,1,,WGS84,2019,Alexánder Rodríguez|Víctor H. Ramírez|Luis Acosta
16888,PRESERVED_SPECIMEN,Marila podantha,3477933,GBIF,Acosta Vargas 1658,Manuel Vargas,,8.6725,-83.24416,P.N. Piedras Blancas. Serranías de Golfito. Sobre Fila Golfito.,2000.0,1,1,1,,WGS84,2019,Luis Acosta|Víctor H. Ramírez|Gerardo Soto|Geovanny Sancho|Edgar Mora Castro
16950,PRESERVED_SPECIMEN,Marila podantha,3578591,GBIF,Homeier 3662,Manuel Vargas,,-0.8283299999999999,-77.53666,"Parque Nacional Sumaco-Galeras, Cordillera Galleras, lower montane rain forest",2008.0,1,1,1,,WGS84,2019,Jürgen Homeier|M.A. Chinchero|E. Jaramillo|D. Simba|M. Unger
17222,PRESERVED_SPECIMEN,Marila podantha,405225,GBIF,Quesada Quesada 306,Manuel Vargas,,8.630278,-83.43305600000001,Alrededores de la toma de Agua. Rancho Quemado. Rincón.,1990.0,1,1,1,,WGS84,2019,F. J. Quesada
