,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
114,PRESERVED_SPECIMEN,Miconia aurantiaca,454496,GBIF,2892,Manuel Vargas,,0.35,-79.733333,"Reserva Ecológica Mache-Chindul, Estación Biológica Bilsa, montañas de Mache, 35 km al W de Quinindé, 5 km al W de Santa Isabel.",1996.0,1,1,1,,WGS84,2019,John L. Clark
5566,PRESERVED_SPECIMEN,Miconia aurantiaca,3092009,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
5567,PRESERVED_SPECIMEN,Miconia aurantiaca,3092008,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
5568,PRESERVED_SPECIMEN,Miconia aurantiaca,3092010,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
5569,PRESERVED_SPECIMEN,Miconia aurantiaca,3092007,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
7552,PRESERVED_SPECIMEN,Miconia aurantiaca,3798733,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7554,PRESERVED_SPECIMEN,Miconia aurantiaca,3798732,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7556,PRESERVED_SPECIMEN,Miconia aurantiaca,3798734,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7558,PRESERVED_SPECIMEN,Miconia aurantiaca,3798803,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7563,PRESERVED_SPECIMEN,Miconia aurantiaca,3798804,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7566,PRESERVED_SPECIMEN,Miconia aurantiaca,3798802,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8181,PRESERVED_SPECIMEN,Miconia aurantiaca,3908417,GBIF,,Manuel Vargas,,10.155555999999999,-83.94166700000001,Sendero Las Palmas. Estacion Quebrada Gonzalez.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8182,PRESERVED_SPECIMEN,Miconia aurantiaca,3908418,GBIF,,Manuel Vargas,,10.155555999999999,-83.94166700000001,Sendero Las Palmas. Estacion Quebrada Gonzalez.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8468,PRESERVED_SPECIMEN,Miconia aurantiaca,3920391,GBIF,,Manuel Vargas,,10.164067999999999,-83.940024,"A.C.C.V.C, Pococí, Pque Nal Braulio Carrillo, Est Quebrada González",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8469,PRESERVED_SPECIMEN,Miconia aurantiaca,3920390,GBIF,,Manuel Vargas,,10.164067999999999,-83.940024,"A.C.C.V.C, Pococí, Pque Nal Braulio Carrillo, Est Quebrada González",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8470,PRESERVED_SPECIMEN,Miconia aurantiaca,3920399,GBIF,,Manuel Vargas,,10.164067999999999,-83.940024,"A.C.C.V.C, Pococí, Pque Nal Braulio Carrillo, Est Quebrada González",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8471,PRESERVED_SPECIMEN,Miconia aurantiaca,3920397,GBIF,,Manuel Vargas,,10.164067999999999,-83.940024,"A.C.C.V.C, Pococí, Pque Nal Braulio Carrillo, Est Quebrada González",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8472,PRESERVED_SPECIMEN,Miconia aurantiaca,3920393,GBIF,,Manuel Vargas,,10.164067999999999,-83.940024,"A.C.C.V.C, Pococí, Pque Nal Braulio Carrillo, Est Quebrada González",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8473,PRESERVED_SPECIMEN,Miconia aurantiaca,3920398,GBIF,,Manuel Vargas,,10.164067999999999,-83.940024,"A.C.C.V.C, Pococí, Pque Nal Braulio Carrillo, Est Quebrada González",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8474,PRESERVED_SPECIMEN,Miconia aurantiaca,3920395,GBIF,,Manuel Vargas,,10.164067999999999,-83.940024,"A.C.C.V.C, Pococí, Pque Nal Braulio Carrillo, Est Quebrada González",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8475,PRESERVED_SPECIMEN,Miconia aurantiaca,3920396,GBIF,,Manuel Vargas,,10.164067999999999,-83.940024,"A.C.C.V.C, Pococí, Pque Nal Braulio Carrillo, Est Quebrada González",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8476,PRESERVED_SPECIMEN,Miconia aurantiaca,3920394,GBIF,,Manuel Vargas,,10.164067999999999,-83.940024,"A.C.C.V.C, Pococí, Pque Nal Braulio Carrillo, Est Quebrada González",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8477,PRESERVED_SPECIMEN,Miconia aurantiaca,3920392,GBIF,,Manuel Vargas,,10.164067999999999,-83.940024,"A.C.C.V.C, Pococí, Pque Nal Braulio Carrillo, Est Quebrada González",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
9654,PRESERVED_SPECIMEN,Miconia aurantiaca,4083760,GBIF,,Manuel Vargas,,10.704605,-84.99231,Estación Pilon,2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jose González
9655,PRESERVED_SPECIMEN,Miconia aurantiaca,4083757,GBIF,,Manuel Vargas,,10.704605,-84.99231,Estación Pilon,2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jose González
9656,PRESERVED_SPECIMEN,Miconia aurantiaca,4083758,GBIF,,Manuel Vargas,,10.704605,-84.99231,Estación Pilon,2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jose González
9657,PRESERVED_SPECIMEN,Miconia aurantiaca,4083756,GBIF,,Manuel Vargas,,10.704605,-84.99231,Estación Pilon,2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jose González
9658,PRESERVED_SPECIMEN,Miconia aurantiaca,4083759,GBIF,,Manuel Vargas,,10.704605,-84.99231,Estación Pilon,2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jose González
9659,PRESERVED_SPECIMEN,Miconia aurantiaca,4083761,GBIF,,Manuel Vargas,,10.704605,-84.99231,Estación Pilon,2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jose González
10384,PRESERVED_SPECIMEN,Miconia aurantiaca,4128837,GBIF,,Manuel Vargas,,10.720833,-84.99583299999999,"El Pilon, Cerro La Carmela entre Rio Celeste y cabeceras del Rio Chimurria. Bijagua.",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel
10385,PRESERVED_SPECIMEN,Miconia aurantiaca,4128843,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
10386,PRESERVED_SPECIMEN,Miconia aurantiaca,4128842,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
