,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
330,PRESERVED_SPECIMEN,Miconia carnea,1519881,GBIF,,Manuel Vargas,,8.904935,-82.751079,"Coto Brus, Sabalito, Z.P. Las Tablas, Mellizas, La Quijada del Diablo.",1997.0,1,1,1,,WGS84,2019,Enia Navarro; Annia Picado
331,PRESERVED_SPECIMEN,Miconia carnea,1519882,GBIF,,Manuel Vargas,,8.904935,-82.751079,"Coto Brus, Sabalito, Z.P. Las Tablas, Mellizas, La Quijada del Diablo.",1997.0,1,1,1,,WGS84,2019,Enia Navarro; Annia Picado
332,PRESERVED_SPECIMEN,Miconia carnea,1519880,GBIF,,Manuel Vargas,,8.904935,-82.751079,"Coto Brus, Sabalito, Z.P. Las Tablas, Mellizas, La Quijada del Diablo.",1997.0,1,1,1,,WGS84,2019,Enia Navarro; Annia Picado
333,PRESERVED_SPECIMEN,Miconia carnea,1519959,GBIF,,Manuel Vargas,,8.904935,-82.751079,"Coto Brus, Sabalito, Z.P. Las Tablas, Mellizas, La Quijada del Diablo.",1997.0,1,1,1,,WGS84,2019,Enia Navarro; Annia Picado
334,PRESERVED_SPECIMEN,Miconia carnea,1519960,GBIF,,Manuel Vargas,,8.904935,-82.751079,"Coto Brus, Sabalito, Z.P. Las Tablas, Mellizas, La Quijada del Diablo.",1997.0,1,1,1,,WGS84,2019,Enia Navarro; Annia Picado
335,PRESERVED_SPECIMEN,Miconia carnea,1519958,GBIF,,Manuel Vargas,,8.904935,-82.751079,"Coto Brus, Sabalito, Z.P. Las Tablas, Mellizas, La Quijada del Diablo.",1997.0,1,1,1,,WGS84,2019,Enia Navarro; Annia Picado
827,PRESERVED_SPECIMEN,Miconia carnea,1533764,GBIF,,Manuel Vargas,,9.139566,-82.947008,Valle del Silencio,1997.0,1,1,1,,WGS84,2019,Javier Quesada; Carlos Mario Rodriguez ; Oscar Esquivel
828,PRESERVED_SPECIMEN,Miconia carnea,1533765,GBIF,,Manuel Vargas,,9.139566,-82.947008,Valle del Silencio,1997.0,1,1,1,,WGS84,2019,Javier Quesada; Carlos Mario Rodriguez ; Oscar Esquivel
829,PRESERVED_SPECIMEN,Miconia carnea,1533766,GBIF,,Manuel Vargas,,9.139566,-82.947008,Valle del Silencio,1997.0,1,1,1,,WGS84,2019,Javier Quesada; Carlos Mario Rodriguez ; Oscar Esquivel
836,PRESERVED_SPECIMEN,Miconia carnea,1533837,GBIF,,Manuel Vargas,,9.120833,-82.965278,Valle del Silencio. Cerro Asidbeta. Bosque Primario.,1997.0,1,1,1,,WGS84,2019,Javier Quesada; Oscar Esquivel ; Carlos Mario Rodriguez ; Billen Gamboa R. ; Ronald Villalobos
838,PRESERVED_SPECIMEN,Miconia carnea,1533836,GBIF,,Manuel Vargas,,9.120833,-82.965278,Valle del Silencio. Cerro Asidbeta. Bosque Primario.,1997.0,1,1,1,,WGS84,2019,Javier Quesada; Oscar Esquivel ; Carlos Mario Rodriguez ; Billen Gamboa R. ; Ronald Villalobos
950,PRESERVED_SPECIMEN,Miconia carnea,1511218,GBIF,,Manuel Vargas,,9.575,-83.686111,"Finca El Sitio, Sendero La Catarata, bosque primario.",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.
1682,PRESERVED_SPECIMEN,Miconia carnea,1562185,GBIF,,Manuel Vargas,,10.283333,-84.783334,"Sendero Brillante, division continental.",1989.0,1,1,1,,WGS84,2019,William Haber
2109,PRESERVED_SPECIMEN,Miconia carnea,1576719,GBIF,,Manuel Vargas,,9.338889,-83.231944,Quebrada Kuisa. Al paso del Sendero entre Ujarras y San Jose Cabecar.,1993.0,1,1,1,,WGS84,2019,Alvaro Fernandez
2699,PRESERVED_SPECIMEN,Miconia carnea,1597971,GBIF,,Manuel Vargas,,9.395833,-83.156944,"Flanco SE Cerro Biricuacua, Rio Dapari. Entre Ujarras y San Jose Cabecar.",1993.0,1,1,1,,WGS84,2019,Gerardo Herrera
2701,PRESERVED_SPECIMEN,Miconia carnea,1597979,GBIF,,Manuel Vargas,,9.340278,-83.229167,Bosque achaparrado entre Quebrada Kuisa y Rio Lori. Camino de Ujarras a San Jose Cabecar.,1993.0,1,1,1,,WGS84,2019,Gerardo Herrera
2900,PRESERVED_SPECIMEN,Miconia carnea,1603415,GBIF,,Manuel Vargas,,9.338889,-83.231944,"Quebrada Kuisa, primary rainforest, camp in the trail Ujarras-San Jose Cabecar, cloud forest near by the camp.",1993.0,1,1,1,,WGS84,2019,Jens Bittner
3570,PRESERVED_SPECIMEN,Miconia carnea,2825653,GBIF,,Manuel Vargas,,8.949224000000001,-82.74369399999999,Las Tablas,1997.0,1,1,1,,WGS84,2019,Enia Navarro
3571,PRESERVED_SPECIMEN,Miconia carnea,2825654,GBIF,,Manuel Vargas,,8.949224000000001,-82.74369399999999,Las Tablas,1997.0,1,1,1,,WGS84,2019,Enia Navarro
3572,PRESERVED_SPECIMEN,Miconia carnea,2825655,GBIF,,Manuel Vargas,,8.949224000000001,-82.74369399999999,Las Tablas,1997.0,1,1,1,,WGS84,2019,Enia Navarro
5264,PRESERVED_SPECIMEN,Miconia carnea,2908890,GBIF,,Manuel Vargas,,10.138333,-84.111111,"Upper Volcan Barva. 0.5 km below main trail to Lag. Barva, descending via old  Sendero Transecto .    -Treeplot 2750-2",1992.0,1,1,1,,WGS84,2019,Brad Boyle
9479,PRESERVED_SPECIMEN,Miconia carnea,4075661,GBIF,,Manuel Vargas,,9.356111,-83.230278,Entre quebrada Kuisa y Río Lari.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; A. K. Monro ; Marcos Moraga ; Billen Gamboa R.
9481,PRESERVED_SPECIMEN,Miconia carnea,4075662,GBIF,,Manuel Vargas,,9.356111,-83.230278,Entre quebrada Kuisa y Río Lari.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; A. K. Monro ; Marcos Moraga ; Billen Gamboa R.
9485,PRESERVED_SPECIMEN,Miconia carnea,4075663,GBIF,,Manuel Vargas,,9.356111,-83.230278,Entre quebrada Kuisa y Río Lari.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; A. K. Monro ; Marcos Moraga ; Billen Gamboa R.
9487,PRESERVED_SPECIMEN,Miconia carnea,4075664,GBIF,,Manuel Vargas,,9.356111,-83.230278,Entre quebrada Kuisa y Río Lari.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; A. K. Monro ; Marcos Moraga ; Billen Gamboa R.
9531,PRESERVED_SPECIMEN,Miconia carnea,4076879,GBIF,,Manuel Vargas,,9.383056,-83.21333299999999,Camp. 2: Río Coén,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría
9534,PRESERVED_SPECIMEN,Miconia carnea,4076877,GBIF,,Manuel Vargas,,9.383056,-83.21333299999999,Camp. 2: Río Coén,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría
9535,PRESERVED_SPECIMEN,Miconia carnea,4076876,GBIF,,Manuel Vargas,,9.383056,-83.21333299999999,Camp. 2: Río Coén,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría
9537,PRESERVED_SPECIMEN,Miconia carnea,4076878,GBIF,,Manuel Vargas,,9.383056,-83.21333299999999,Camp. 2: Río Coén,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría
9715,PRESERVED_SPECIMEN,Miconia carnea,4086958,GBIF,,Manuel Vargas,,9.357611,-83.229028,"Parque Interncional La Amistad: Camp 1, Rio Lori, secondary forest adjacent to abandoned hut.",2007.0,1,1,1,,WGS84,2019,A. K. Monro; Daniel Santamaría
9717,PRESERVED_SPECIMEN,Miconia carnea,4086957,GBIF,,Manuel Vargas,,9.357611,-83.229028,"Parque Interncional La Amistad: Camp 1, Rio Lori, secondary forest adjacent to abandoned hut.",2007.0,1,1,1,,WGS84,2019,A. K. Monro; Daniel Santamaría
9726,PRESERVED_SPECIMEN,Miconia carnea,4087528,GBIF,,Manuel Vargas,,9.520306,-83.208639,"Parque Interncional La Amistad: Camp 1, Rio Lori, secondary forest adjacent to abandoned hut. Secondary forest (ca 20 years old), canopy 20-30 m, dbh range 30-50 cm, dominant trees Cecropia, Sapium, Cedrela tonduzii, Inga oerstediana.",2007.0,1,1,1,,WGS84,2019,A. K. Monro; Daniel Santamaría
9728,PRESERVED_SPECIMEN,Miconia carnea,4087526,GBIF,,Manuel Vargas,,9.520306,-83.208639,"Parque Interncional La Amistad: Camp 1, Rio Lori, secondary forest adjacent to abandoned hut. Secondary forest (ca 20 years old), canopy 20-30 m, dbh range 30-50 cm, dominant trees Cecropia, Sapium, Cedrela tonduzii, Inga oerstediana.",2007.0,1,1,1,,WGS84,2019,A. K. Monro; Daniel Santamaría
9729,PRESERVED_SPECIMEN,Miconia carnea,4087527,GBIF,,Manuel Vargas,,9.520306,-83.208639,"Parque Interncional La Amistad: Camp 1, Rio Lori, secondary forest adjacent to abandoned hut. Secondary forest (ca 20 years old), canopy 20-30 m, dbh range 30-50 cm, dominant trees Cecropia, Sapium, Cedrela tonduzii, Inga oerstediana.",2007.0,1,1,1,,WGS84,2019,A. K. Monro; Daniel Santamaría
