,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2703,PRESERVED_SPECIMEN,Miconia chiriquiensis,1597962,GBIF,,Manuel Vargas,,9.4,-83.177778,Cerro Carguicacha a Cerro Biricuacua. Entre Ujarras y San Jose Cabecar.,1993.0,1,1,1,,WGS84,2019,Gerardo Herrera
2714,PRESERVED_SPECIMEN,Miconia chiriquiensis,1598098,GBIF,,Manuel Vargas,,10.333333,-84.7,"Finca Fernando Villalobos. Quebrada Gata, Rio Penas Blancas.",1990.0,1,1,1,,WGS84,2019,Erick Bello
2716,PRESERVED_SPECIMEN,Miconia chiriquiensis,1598071,GBIF,,Manuel Vargas,,9.340278,-83.229167,Bosque achaparrado entre Quebrada Kuisa y Rio Lori. Camino de Ujarras a San Jose Cabecar.,1993.0,1,1,1,,WGS84,2019,Gerardo Herrera
2869,PRESERVED_SPECIMEN,Miconia chiriquiensis,1602147,GBIF,,Manuel Vargas,,9.341667,-83.225,"N flank of Cerro Casma, along Ujarras- San Jose Cabecar trail.",1993.0,1,1,1,,WGS84,2019,Michael H. Grayum
2915,PRESERVED_SPECIMEN,Miconia chiriquiensis,1603494,GBIF,,Manuel Vargas,,9.338889,-83.231945,"Quebrada Kuisa. Trail up of camp, ca. 500 m. Paramo.",1993.0,1,1,1,,WGS84,2019,Jens Bittner
3730,PRESERVED_SPECIMEN,Miconia chiriquiensis,2820587,GBIF,,Manuel Vargas,,9.713889,-83.836111,"Rio Queveri, camino a el ICE.",1998.0,1,1,1,,WGS84,2019,Evelio Alfaro
3731,PRESERVED_SPECIMEN,Miconia chiriquiensis,2820589,GBIF,,Manuel Vargas,,9.713889,-83.836111,"Rio Queveri, camino a el ICE.",1998.0,1,1,1,,WGS84,2019,Evelio Alfaro
3732,PRESERVED_SPECIMEN,Miconia chiriquiensis,2820588,GBIF,,Manuel Vargas,,9.713889,-83.836111,"Rio Queveri, camino a el ICE.",1998.0,1,1,1,,WGS84,2019,Evelio Alfaro
5070,PRESERVED_SPECIMEN,Miconia chiriquiensis,2925604,GBIF,,Manuel Vargas,,9.120833,-82.965278,"Valle del Silencio, Sendero Silencio a Jardines, Bosque Primario.",1996.0,1,1,1,,WGS84,2019,Marcos Moraga
6049,PRESERVED_SPECIMEN,Miconia chiriquiensis,3175465,GBIF,,Manuel Vargas,,9.920833,-83.398611,"Moravia. Grano de Oro. Cumbre de Cerro Tigre. Cabeceras de quebradas innominadas, cuenca superior de lago Ayil.",2001.0,1,1,1,,WGS84,2019,Edgar Mora
6050,PRESERVED_SPECIMEN,Miconia chiriquiensis,3175464,GBIF,,Manuel Vargas,,9.920833,-83.398611,"Moravia. Grano de Oro. Cumbre de Cerro Tigre. Cabeceras de quebradas innominadas, cuenca superior de lago Ayil.",2001.0,1,1,1,,WGS84,2019,Edgar Mora
6051,PRESERVED_SPECIMEN,Miconia chiriquiensis,3175463,GBIF,,Manuel Vargas,,9.920833,-83.398611,"Moravia. Grano de Oro. Cumbre de Cerro Tigre. Cabeceras de quebradas innominadas, cuenca superior de lago Ayil.",2001.0,1,1,1,,WGS84,2019,Edgar Mora
