,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1277,PRESERVED_SPECIMEN,Miconia commutata,1556322,GBIF,,Manuel Vargas,,10.405,-84.05833299999999,Estacion Magsasay.,1994.0,1,1,1,,WGS84,2019,Barry Hammel
5403,PRESERVED_SPECIMEN,Miconia commutata,2912186,GBIF,,Manuel Vargas,,8.625,-83.68055600000001,Los Planes. Bosque comunal La Gloria A orillas de Rio Claro.,1991.0,1,1,1,,WGS84,2019,Geovanny Cordero
8237,PRESERVED_SPECIMEN,Miconia commutata,3910125,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8837,PRESERVED_SPECIMEN,Miconia commutata,3960060,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8838,PRESERVED_SPECIMEN,Miconia commutata,3960058,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8839,PRESERVED_SPECIMEN,Miconia commutata,3960062,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8841,PRESERVED_SPECIMEN,Miconia commutata,3960066,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8842,PRESERVED_SPECIMEN,Miconia commutata,3960061,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8843,PRESERVED_SPECIMEN,Miconia commutata,3960067,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8844,PRESERVED_SPECIMEN,Miconia commutata,3960059,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8847,PRESERVED_SPECIMEN,Miconia commutata,3960065,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8849,PRESERVED_SPECIMEN,Miconia commutata,3960063,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8850,PRESERVED_SPECIMEN,Miconia commutata,3960057,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8854,PRESERVED_SPECIMEN,Miconia commutata,3960064,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
11356,PRESERVED_SPECIMEN,Miconia commutata,4202343,GBIF,,Manuel Vargas,,10.415556,-84.12138900000001,"La Tirimbina, Sarapiquí.",2009.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jose González
14653,PRESERVED_SPECIMEN,Miconia commutata,2755124,GBIF,Hammel 7940,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1980.0,1,1,1,,WGS84,2019,Barry E. Hammel
15936,PRESERVED_SPECIMEN,Miconia commutata,316527,GBIF,Cordero 277,Manuel Vargas,,8.625,-83.68055,Parque Nacional Corcovado Los Planes. Bosque comunal La Gloria A orillas de Río Claro.,1991.0,1,1,1,,WGS84,2019,Geovanny Cordero
16850,PRESERVED_SPECIMEN,Miconia commutata,3469083,GBIF,Vargas Ramírez 1537,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Sendero: CC 1200m. Izq. Planta recolectada por A. Hurtado.,2006.0,1,1,1,,WGS84,2019,Orlando Vargas
24475,PRESERVED_SPECIMEN,Miconia commutata,179524,GBIF,,Manuel Vargas,,10.4,-84.05,"P.N. Braulio Carrillo Río Peje, estación Magsasay.",1994.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
24486,PRESERVED_SPECIMEN,Miconia commutata,186714,GBIF,,Manuel Vargas,,8.68,-83.21,Bosque de los Austriacos. Primary forest-Research plot-La Gamba.,1994.0,1,1,1,,WGS84,2019,"Huber, Werner"
24520,PRESERVED_SPECIMEN,Miconia commutata,221259,GBIF,,Manuel Vargas,,8.62,-83.68,"P. N. Corcovado  Los Planes, bosque comunal La Gloria a orillas de Río Claro. Península de Osa.",1991.0,1,1,1,,WGS84,2019,"Cordero, Geovanny"
