,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
985,PRESERVED_SPECIMEN,Miconia coriacea,1512294,GBIF,,Manuel Vargas,,10.917222,-85.463889,"Volcan Cacao, sendero hasta la cima del volcan.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2374,PRESERVED_SPECIMEN,Miconia coriacea,1591851,GBIF,,Manuel Vargas,,10.316667,-84.8,"TV towers on Cerro Amigos, Lower montane rain forest.",1993.0,1,1,1,,WGS84,2019,William Haber
3102,PRESERVED_SPECIMEN,Miconia coriacea,1579406,GBIF,,Manuel Vargas,,10.316667,-84.8,Area around TV towers and access road.,1990.0,1,1,1,,WGS84,2019,William Haber
10074,PRESERVED_SPECIMEN,Miconia coriacea,4072519,GBIF,,Manuel Vargas,,9.3401,-83.23048,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2019,Daniel Solano
10076,PRESERVED_SPECIMEN,Miconia coriacea,4072517,GBIF,,Manuel Vargas,,9.3401,-83.23048,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2019,Daniel Solano
10077,PRESERVED_SPECIMEN,Miconia coriacea,4072518,GBIF,,Manuel Vargas,,9.3401,-83.23048,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2019,Daniel Solano
11843,PRESERVED_SPECIMEN,Miconia coriacea,4248576,GBIF,,Manuel Vargas,,10.326889999999999,-84.805824,"Monteverde, San Luis, Cerro Chomogo.",2010.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Manuel Angel Zumbado
12259,PRESERVED_SPECIMEN,Miconia coriacea,4354321,GBIF,,Manuel Vargas,,10.174422999999999,-84.237512,Volcan Poas Nat. Pk,2012.0,1,1,1,,WGS84,2019,Ricardo Kriebel
12260,PRESERVED_SPECIMEN,Miconia coriacea,4354322,GBIF,,Manuel Vargas,,10.174422999999999,-84.237512,Volcan Poas Nat. Pk,2012.0,1,1,1,,WGS84,2019,Ricardo Kriebel
13140,PRESERVED_SPECIMEN,Miconia coriacea,222226,GBIF,1781,Manuel Vargas,,10.184667,-84.238,,2005.0,1,1,1,,WGS84,2019,Darin S. Penneys
19910,PRESERVED_SPECIMEN,Miconia coriacea,2538626,GBIF,1216 C,Manuel Vargas,,15.3649,-61.3271,"Morne Trois Pitons, summit",1964.0,1,1,1,,WGS84,2019,W. R. Ernst
24512,PRESERVED_SPECIMEN,Miconia coriacea,206631,GBIF,,Manuel Vargas,,10.31,-84.8,"R. B. Monteverde Cordillera de Tilarán. TV twers on Cerro Amigos, lower montane rain forest.",1993.0,1,1,1,,WGS84,2019,"Haber, William"
26818,PRESERVED_SPECIMEN,Miconia coriacea,156220,GBIF,s.n.,Manuel Vargas,,-18.906944,-43.431667,Cava do Sapo,2011.0,1,1,1,,WGS84,2019,"Pena, FSR"
26819,PRESERVED_SPECIMEN,Miconia coriacea,156208,GBIF,s.n.,Manuel Vargas,,-18.906944,-43.431667,Cava do Sapo,2011.0,1,1,1,,WGS84,2019,"Pena, FSR"
