,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
15996,PRESERVED_SPECIMEN,Miconia latidecurrens,318075,GBIF,de Nevers 6233,Manuel Vargas,,9.3,-79.266667,Trail from Alto Pacora to Cerro Brewster.,1985.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Andrew J. Henderson|Heraclio Herrera|Gordon McPherson|Lois Brako
16481,PRESERVED_SPECIMEN,Miconia latidecurrens,3358136,GBIF,McPherson 19727,Manuel Vargas,,8.824444999999999,-80.658056,Teck Cominco Petaquilla mining concession. Collected in and near transect C006.,2007.0,1,1,1,,WGS84,2019,Gordon McPherson
18785,PRESERVED_SPECIMEN,Miconia latidecurrens,563432,GBIF,966,Manuel Vargas,,8.8675,-80.6425,"Distrito de Donoso.  Area de concesion Minera Panama, Camino Pionero, Km. 5",2012.0,1,1,1,,WGS84,2019,"Ortiz, O. O.; Rodriguez, Argelis; Sanchez, Elmer"
30050,PRESERVED_SPECIMEN,Miconia latidecurrens,275874,GBIF,3034,Manuel Vargas,,8.819167,-80.786389,"Donoso, Coclé del Norte, Helipad C13, rumbo norte, cerca al río Belencillo.",2012.0,1,1,1,,WGS84,2019,"Zapata, Alvin; Carrión, Juan; Ortiz, Orlando; Sánchez, Elmer D."
30051,PRESERVED_SPECIMEN,Miconia latidecurrens,275875,GBIF,871,Manuel Vargas,,8.807222,-80.718889,"Donoso, Área fuera de la concesión de Minera Panamá. Helipad C10. Área del Río Belencillo",2012.0,1,1,1,,WGS84,2019,"Ortiz, O. Orlando; Sánchez, E.; Martínez, L."
30052,PRESERVED_SPECIMEN,Miconia latidecurrens,275873,GBIF,952,Manuel Vargas,,9.3,-79.266667,Trail from Alto Pacora to Cerro Brewster,2012.0,1,1,1,,WGS84,2019,"Laurencio, Martinez; Ortiz, Orlando; Carrión, Juan; Sánchez, Edgar"
30053,PRESERVED_SPECIMEN,Miconia latidecurrens,275872,GBIF,6233,Manuel Vargas,,9.3,-79.266667,Trail from Alto Pacora to Cerro Brewster,1985.0,1,1,1,,WGS84,2019,"de Nevers, G.; Henderson, A.; Herrera, H.; McPherson, G.; Brako, L."
30069,PRESERVED_SPECIMEN,Miconia latidecurrens,296943,GBIF,880,Manuel Vargas,,8.891111,-80.678333,"Cocle del Norte, Area del Helipad T02A, Romando la ruta Sur, a orilla de una trocha",2012.0,1,1,1,,WGS84,2019,"Martinez, Laurencio"
30070,PRESERVED_SPECIMEN,Miconia latidecurrens,296948,GBIF,5998,Manuel Vargas,,8.905278,-80.688889,"Coclé del Norte, Área del helipad T02A, caminando hacia la ruta norte",2012.0,1,1,1,,WGS84,2019,"Espinosa, Alex; Martínez, Laurencio; Sánchez, Edgar; De Gracia, José"
30071,PRESERVED_SPECIMEN,Miconia latidecurrens,296947,GBIF,4226,Manuel Vargas,,8.941667,-80.6925,"Coclé del Norte, Área del helipad CR10, tomando hacia el sur",2012.0,1,1,1,,WGS84,2019,"Aranda, Jorge; Martínez, Peneli; De Gracia, José"
30072,PRESERVED_SPECIMEN,Miconia latidecurrens,296950,GBIF,21035,Manuel Vargas,,8.965278,-80.699722,Site of proposed copper mine (MPSA),2009.0,1,1,1,,WGS84,2019,"McPherson, Gordon; Merello, Mary"
30073,PRESERVED_SPECIMEN,Miconia latidecurrens,296949,GBIF,6010,Manuel Vargas,,8.899444,-80.690556,"Coclé del Norte, Área del helipad T02A, caminando hacia la ruta Oeste",2012.0,1,1,1,,WGS84,2019,"Espinosa, Alex; Martínez, Laurencio; Sánchez, Edgar"
37586,PRESERVED_SPECIMEN,Miconia latidecurrens,02721408,GBIF,1404,Manuel Vargas,,8.4942,-80.3925,"Donoso, Botija, sendero datrás de vivero, Bosque secundario",2015.0,1,1,1,,WGS84,2019,J. Batista
37843,PRESERVED_SPECIMEN,Miconia latidecurrens,100183836,GBIF,McPherson 20808,Manuel Vargas,,8.974445,-80.706389,"Westernmost part of province, site of proposed copper mine (INMET). Along proposed road to coast. Collected with Jean-Yves Serein.",2009.0,1,1,1,,WGS84,2019,Gordon McPherson
37927,PRESERVED_SPECIMEN,Miconia latidecurrens,100239558,GBIF,McPherson 21035,Manuel Vargas,,8.965278,-80.699722,Site of proposed copper mine (MPSA). Forested slopes. Collected with Mary Merello.,2009.0,1,1,1,,WGS84,2019,Gordon McPherson
38968,PRESERVED_SPECIMEN,Miconia latidecurrens,100528096,GBIF,Martínez 880,Manuel Vargas,,8.888056,-80.673611,"Cocle del Norte, Area del Helipad T02A, Tomando la ruta Sur, a orilla de una trocha.",,1,1,1,,WGS84,2019,Laurencio Martínez
38969,PRESERVED_SPECIMEN,Miconia latidecurrens,100528132,GBIF,Aranda B. 4226,Manuel Vargas,,8.941667,-80.6925,"Cocle del Norte, Area del helipad CR10, tomando hacia el sur.",,1,1,1,,WGS84,2019,Jorge E. Aranda B.
38973,PRESERVED_SPECIMEN,Miconia latidecurrens,100537787,GBIF,Espinosa 6010,Manuel Vargas,,8.893056,-80.681111,"Cocle del Norte, Area del helipad T02A, caminando hacia la ruta Oeste.",,1,1,1,,WGS84,2019,Álex Espinosa
38974,PRESERVED_SPECIMEN,Miconia latidecurrens,100537781,GBIF,Espinosa 5998,Manuel Vargas,,8.896389,-80.68,"Cocle del Norte, Area del helipad T02A, caminando hacia la ruta norte.",,1,1,1,,WGS84,2019,Álex Espinosa
38975,PRESERVED_SPECIMEN,Miconia latidecurrens,100537799,GBIF,Martínez 869,Manuel Vargas,,8.888889,-80.673889,"Cocle del Norte, Area del Helipad T02A. Tomando la ruta Sur, a orilla de una trocha.",,1,1,1,,WGS84,2019,Laurencio Martínez
38976,PRESERVED_SPECIMEN,Miconia latidecurrens,100537794,GBIF,Martínez 889,Manuel Vargas,,8.926389,-80.66888900000001,"Cocle del Norte, Area del helipad Escorpio 02, bosque poco intervenido, cercano a un rio.",,1,1,1,,WGS84,2019,Laurencio Martínez
38977,PRESERVED_SPECIMEN,Miconia latidecurrens,100537810,GBIF,Aranda B. 4205,Manuel Vargas,,8.9425,-80.689444,"Cocle del Norte, area del helipad CR10, tomando hacia el norte.",,1,1,1,,WGS84,2019,Jorge E. Aranda B.
38992,PRESERVED_SPECIMEN,Miconia latidecurrens,100552777,GBIF,Martínez 952,Manuel Vargas,,8.845556,-80.825278,"Cocle del Norte, Cerca al Rio Escribano, area del helipad BL03. Bosque humedo tropical. A orillas de una quebrada afluente del rio. Sobre una pequena pendiente.",,1,1,1,,WGS84,2019,Laurencio Martínez
38993,PRESERVED_SPECIMEN,Miconia latidecurrens,100552762,GBIF,Aranda B. 4327,Manuel Vargas,,8.719722,-80.63,"El Harina, Parque Nacional G.D. Omar Torrijos Herrera. Sendero hacia bajo Tife, saliendo de la comunidad de La Rica (rio Blanco).",,1,1,1,,WGS84,2019,Jorge E. Aranda B.
38994,PRESERVED_SPECIMEN,Miconia latidecurrens,100552706,GBIF,Espinosa 187,Manuel Vargas,,8.817778,-80.7875,"Cocle del Norte, Orilla de quebrada. Area del Helipad C16, rumbo norte, curso superior del rio Boca Chica.",,1,1,1,,WGS84,2019,Hilario Espinosa
38995,PRESERVED_SPECIMEN,Miconia latidecurrens,100552765,GBIF,Zapata 3041,Manuel Vargas,,8.816667,-80.78277800000001,"Cocle del Norte, Helipad C13, rumbo sur, cerca al rio Belencillo. Area boscosa.",,1,1,1,,WGS84,2019,Alvin Zapata
38996,PRESERVED_SPECIMEN,Miconia latidecurrens,100552707,GBIF,Espinosa 191,Manuel Vargas,,8.818056,-80.788611,"Cocle del Norte, Orilla de quebrada. Area del Helipad C16, rumbo norte, curso superior del rio Boca Chica.",,1,1,1,,WGS84,2019,Hilario Espinosa
