,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
19557,PRESERVED_SPECIMEN,Miconia oligotricha,01398018,GBIF,25003,Manuel Vargas,,18.3083,-94.725,"Ridgetop of spur on N side of Volcán San Martín Pajapan, ca. 100 m. below the summit ridge, 6 km. NW of Pajapan, Mun. Mecayapan or Mun. Soteapan.",1982.0,1,1,1,,WGS84,2019,M. H. Nee
20386,PRESERVED_SPECIMEN,Miconia oligotricha,89159,GBIF,,Manuel Vargas,,20.651667,-98.57333299999999,"EJIDO TZINCOATLAN, MPIO. ZACUATILPAN, HGO.",1992.0,1,1,1,,WGS84,2019,J.L. López G.
20387,PRESERVED_SPECIMEN,Miconia oligotricha,89162,GBIF,,Manuel Vargas,,20.268056,-97.958333,2.5 KM AL S DE XICOTEPEC DE JUAREZ (VILLA JUAREZ),1968.0,1,1,1,,WGS84,2019,L. Gutiérrez R.
20388,PRESERVED_SPECIMEN,Miconia oligotricha,89155,GBIF,,Manuel Vargas,,19.815,-97.36,"CASCADA OLIGUI, ENTRE TEZIUTLAN Y TLAPACOYAN, PUE.",1968.0,1,1,1,,WGS84,2019,D. García S.
20389,PRESERVED_SPECIMEN,Miconia oligotricha,89160,GBIF,,Manuel Vargas,,20.728333,-98.628333,"1.5 KM AL SW DEL POBLADO DE SANTA MONICA, Y A 12 KM AL N DE LA CABECERA MUNICIPAL DE ZAPIO. TIANGUISTENGO, HGO.",1992.0,1,1,1,,WGS84,2019,J.L. López G.
20390,PRESERVED_SPECIMEN,Miconia oligotricha,89157,GBIF,,Manuel Vargas,,17.425,-100.241667,"A 11 KM AL SW DE PUERTO DEL GALLO, CAMINO A ATOYAC",1983.0,1,1,1,,WGS84,2019,E.M. Martínez S.; et al.
20391,PRESERVED_SPECIMEN,Miconia oligotricha,89156,GBIF,,Manuel Vargas,,17.533333,-96.553333,"BRECHA 300, TERRENOS DE SAN PABLO MACUILTIANGUIS",1980.0,1,1,1,,WGS84,2019,E. Guízar N.
20392,PRESERVED_SPECIMEN,Miconia oligotricha,89161,GBIF,,Manuel Vargas,,20.806667,-98.69,"3 KM AL S DE JALAMELCO, MPIO. XOCHICOATLAN",1982.0,1,1,1,,WGS84,2019,S. Acosta; M.A. Barrios
20393,PRESERVED_SPECIMEN,Miconia oligotricha,89158,GBIF,,Manuel Vargas,,17.926667000000002,-96.16166700000001,"CERCA DE METATES, 21 KM AL S DE VALLE NACIONAL, SOBRE LA CARR. A OAXACA",1973.0,1,1,1,,WGS84,2019,J. Rzedowski
21278,PRESERVED_SPECIMEN,Miconia oligotricha,9679,GBIF,,Manuel Vargas,,18.058332999999998,-96.875,"Puerto de Soyotitla, sobre el camino Teotitlán-Huautla de Jiménez",1963.0,1,1,1,,WGS84,2019,L. Vela G.
21279,PRESERVED_SPECIMEN,Miconia oligotricha,9685,GBIF,,Manuel Vargas,,19.825,-97.30833299999999,"Ocampo, Xalancingo",1963.0,1,1,1,,WGS84,2019,L. Vela G.
21280,PRESERVED_SPECIMEN,Miconia oligotricha,9686,GBIF,,Manuel Vargas,,21.008333,-98.625,6 Km adelante de Tlanchinol,1961.0,1,1,1,,WGS84,2019,L. Vela G.; X. Madrigal S.
21427,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.3275,-98.210278,"El Damo, 2 km al SE de Tenango de Doria, desviacion a San Nicolas",1993.0,1,1,1,,WGS84,2019,Isolda Luna Vega; Susana Ocegueda Cruz; Othon Alcantara Ayala
21428,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.973056,-98.685278,"Tlanchinol, 5 km al N",1977.0,1,1,1,,WGS84,2019,Francisco Lorea Hernandez
21429,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.324167000000003,-98.212222,"'Agua Fria', aproximadamente 500 m al E de El Damo",1994.0,1,1,1,,WGS84,2019,Othon Alcantara Ayala
21430,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.983056,-98.61555600000001,"Tlanchinol, 5 km al E",1992.0,1,1,1,,WGS84,2019,Susana Ocegueda Cruz; Isolda Luna Vega
21431,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.329167,-98.20916700000001,"Tenango de Doria, 1 km al S, camino a la carretera Metepec-Tenango de Doria",1994.0,1,1,1,,WGS84,2019,Othon Alcantara Ayala
21432,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.983056,-98.61555600000001,"Tlanchinol, 5 km al E, camino a Coatatlan",1976.0,1,1,1,,WGS84,2019,David Flores Martinez
21433,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.991667,-98.608333,"camino a Tierra Colorada, aproximadamente a 6 km al E de Tlanchinol",1992.0,1,1,1,,WGS84,2019,Isolda Luna Vega
21434,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.329167,-98.20916700000001,"Tenango de Doria, 1 km al S, camino a la carretera Metepec-Tenango de Doria",1994.0,1,1,1,,WGS84,2019,Othon Alcantara Ayala
21435,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.991667,-98.608333,"camino a Tierra Colorada, aproximadamente a 6 km al E de Tlanchinol",1992.0,1,1,1,,WGS84,2019,Isolda Luna Vega
21436,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.386667000000003,-98.27833299999999,"Metepec, 20 km al NE",1981.0,1,1,1,,WGS84,2019,Rafael Hernandez Magana; David Rodriguez B.
21437,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.3275,-98.210278,"El Damo, 2 km al SE de Tenango de Doria, desviacion a San Nicolas",1993.0,1,1,1,,WGS84,2019,Isolda Luna Vega; Susana Ocegueda Cruz; Othon Alcantara Ayala
21438,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.326944,-98.246944,"carretera Metepec-Tenango de Doria, kilometro 18",1985.0,1,1,1,,WGS84,2019,P. Vera C.
21439,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.341667,-98.225,"Tenango de Doria, alrededores",1964.0,1,1,1,,WGS84,2019,Lauro Gonzalez Quintero
21440,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.983056,-98.61555600000001,"Tlanchinol, 5 km al E",1992.0,1,1,1,,WGS84,2019,Isolda Luna Vega
21441,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.3025,-98.218889,"El Potrero, aproximadamente 4 km al SO de Tenango de Doria",1994.0,1,1,1,,WGS84,2019,Othon Alcantara Ayala; Enrique Ortiz Bermudez
21442,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.225,-98.175,"camino entre Metepec y Tenango de Doria, 16 a 31.5 km al NE de Tulancingo",1974.0,1,1,1,,WGS84,2019,Stephen D. Koch
21443,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.329167,-98.20916700000001,"Tenango de Doria, 1 km al S, camino a la carretera Metepec-Tenango de Doria",1993.0,1,1,1,,WGS84,2019,Othon Alcantara Ayala; Enrique Ortiz Bermudez
21444,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.295,-98.309722,"Tulancingo, 30 km al NE, carretera Metepec-Tenango de Doria",1978.0,1,1,1,,WGS84,2019,Charles H. Perino; Janice Perino
21445,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.991667,-98.658333,Tlanchinol,1978.0,1,1,1,,WGS84,2019,Miguel Angel Ortiz Olea
21446,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.341667,-98.225,"Tenango de Doria, alrededores",1964.0,1,1,1,,WGS84,2019,Lauro Gonzalez Quintero
21447,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.333333,-98.229722,"Tenango de Doria, aproximadamente 400 m al SO",1994.0,1,1,1,,WGS84,2019,Othon Alcantara Ayala
21448,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.982778,-98.595,"Tlanchinol, 10 km al E",1978.0,1,1,1,,WGS84,2019,Elia Valdovinos Hansen
21449,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.326110999999997,-98.216111,"El Damo, aproximadamente 2 km al E de Tenango de Doria",1993.0,1,1,1,,WGS84,2019,Othon Alcantara Ayala; Enrique Ortiz Bermudez
21566,PRESERVED_SPECIMEN,Miconia oligotricha,26786,GBIF,,Manuel Vargas,,16.741111,-92.488055,Rancho Merced-Bazom,1994.0,1,1,1,,WGS84,2019,M. González E.; M. Martínez I.
21567,PRESERVED_SPECIMEN,Miconia oligotricha,17622,GBIF,,Manuel Vargas,,16.745832999999998,-92.696111,Estación Biológica Huitepec-PRONATURA,1990.0,1,1,1,,WGS84,2019,M. González E.; P. F. Quintana A.
21568,PRESERVED_SPECIMEN,Miconia oligotricha,18641,GBIF,,Manuel Vargas,,16.745832999999998,-92.696111,Estación Biológica Huitepec-PRONATURA,1990.0,1,1,1,,WGS84,2019,M. González E.; P. F. Quintana A.
26700,PRESERVED_SPECIMEN,Miconia oligotricha,226181,GBIF,,Manuel Vargas,,19.960556,-97.596389,"20 km al N de Zacapoaxtla, en la carretera a Cuetzalan.",1977.0,1,1,1,,WGS84,2019,S. D. Koch
26701,PRESERVED_SPECIMEN,Miconia oligotricha,108655,GBIF,,Manuel Vargas,,20.18,-98.056944,"Huauchinango, cabecera municipal.",1945.0,1,1,1,,WGS84,2019,A. J. Sharp
26702,PRESERVED_SPECIMEN,Miconia oligotricha,350284,GBIF,,Manuel Vargas,,19.853889000000002,-97.331389,"4-10 km al NE de Teziutlán, por la carretera a Tlapacoya.",1968.0,1,1,1,,WGS84,2019,A. Pineda R.
26703,PRESERVED_SPECIMEN,Miconia oligotricha,361148,GBIF,,Manuel Vargas,,19.925556,-97.606111,"km 12 de la carretera Zacapoaxtla-Cuetzalan, cañada de Apulco.",1986.0,1,1,1,,WGS84,2019,G. Suárez
26704,PRESERVED_SPECIMEN,Miconia oligotricha,645164,GBIF,,Manuel Vargas,,19.914444,-97.347778,12 km al N de Teziutlán.,1987.0,1,1,1,,WGS84,2019,A. Campos V.
26705,PRESERVED_SPECIMEN,Miconia oligotricha,354064,GBIF,,Manuel Vargas,,20.253611,-97.955833,2.5 km al S de Xicotepec de Juárez.,1968.0,1,1,1,,WGS84,2019,L. Gutiérrez R.
26706,PRESERVED_SPECIMEN,Miconia oligotricha,195758,GBIF,,Manuel Vargas,,19.918889,-97.608333,"Apulco, km 24 de la carretera Zacapoaxtla-Cuetzalan.",1968.0,1,1,1,,WGS84,2019,W. Boege L.
26707,PRESERVED_SPECIMEN,Miconia oligotricha,120361,GBIF,,Manuel Vargas,,20.214167,-98.0,Nuevo Necaxa.,1944.0,1,1,1,,WGS84,2019,F. Miranda
27416,PRESERVED_SPECIMEN,Miconia oligotricha,10202,GBIF,,Manuel Vargas,,15.125,-92.108333,En el volcán Tacaná a 5 km al S de Talquián,1987.0,1,1,1,,WGS84,2019,E. Martínez S.; M. Ramírez
27475,PRESERVED_SPECIMEN,Miconia oligotricha,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.760832999999998,-98.718333,"Acuatitlán, ranchería",1996.0,1,1,1,,WGS84,2019,Rafael Mayorga Saucedo; Othón Alcántara Ayala
27476,PRESERVED_SPECIMEN,Miconia oligotricha,057192,GBIF,,Manuel Vargas,,21.205556,-99.049444,"La Peña, 0.5 km al NO",1997.0,1,1,1,,WGS84,2019,Othón Alcántara Ayala; Rafael Mayorga Saucedo
27477,PRESERVED_SPECIMEN,Miconia oligotricha,062377,GBIF,,Manuel Vargas,,20.638889000000002,-98.62083299999999,"Ejido 'La Mojonera', aproximadamente 5 km al SE de Zacualtipan",1997.0,1,1,1,,WGS84,2019,Rafael Mayorga Saucedo; Othón Alcántara Ayala
27478,PRESERVED_SPECIMEN,Miconia oligotricha,057206,GBIF,,Manuel Vargas,,21.214722000000002,-99.0475,"Agua Zarca, 4.5 km al E",1997.0,1,1,1,,WGS84,2019,Othón Alcántara Ayala; Rafael Mayorga Saucedo
