,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
317,PRESERVED_SPECIMEN,Miconia tonduzii,1519343,GBIF,,Manuel Vargas,,9.550833,-83.71777800000001,"Cerro de la Muerte, Villa Mills, 1 Km SW de la Georgina, camino a las torres ICE.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Jose González
320,PRESERVED_SPECIMEN,Miconia tonduzii,1519344,GBIF,,Manuel Vargas,,9.550833,-83.71777800000001,"Cerro de la Muerte, Villa Mills, 1 Km SW de la Georgina, camino a las torres ICE.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Jose González
323,PRESERVED_SPECIMEN,Miconia tonduzii,1519342,GBIF,,Manuel Vargas,,9.550833,-83.71777800000001,"Cerro de la Muerte, Villa Mills, 1 Km SW de la Georgina, camino a las torres ICE.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Jose González
436,PRESERVED_SPECIMEN,Miconia tonduzii,1524683,GBIF,,Manuel Vargas,,9.618556,-83.816983,"A.C.L.A.P, El Guarco, Reserva Ftal Río Macho, Ojo de Agua, 13 Km al sur de la Pulperia la Trinidad",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.
437,PRESERVED_SPECIMEN,Miconia tonduzii,1524681,GBIF,,Manuel Vargas,,9.618556,-83.816983,"A.C.L.A.P, El Guarco, Reserva Ftal Río Macho, Ojo de Agua, 13 Km al sur de la Pulperia la Trinidad",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.
440,PRESERVED_SPECIMEN,Miconia tonduzii,1524682,GBIF,,Manuel Vargas,,9.618556,-83.816983,"A.C.L.A.P, El Guarco, Reserva Ftal Río Macho, Ojo de Agua, 13 Km al sur de la Pulperia la Trinidad",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.
441,PRESERVED_SPECIMEN,Miconia tonduzii,1524836,GBIF,,Manuel Vargas,,9.618556,-83.816983,"A.C.L.A.P, El Guarco, Reserva Ftal Río Macho, Ojo de Agua, 13 Km al sur de la Pulperia la Trinidad",1997.0,1,1,1,,WGS84,2019,Billen Gamboa R.
442,PRESERVED_SPECIMEN,Miconia tonduzii,1524838,GBIF,,Manuel Vargas,,9.618556,-83.816983,"A.C.L.A.P, El Guarco, Reserva Ftal Río Macho, Ojo de Agua, 13 Km al sur de la Pulperia la Trinidad",1997.0,1,1,1,,WGS84,2019,Billen Gamboa R.
443,PRESERVED_SPECIMEN,Miconia tonduzii,1524837,GBIF,,Manuel Vargas,,9.618556,-83.816983,"A.C.L.A.P, El Guarco, Reserva Ftal Río Macho, Ojo de Agua, 13 Km al sur de la Pulperia la Trinidad",1997.0,1,1,1,,WGS84,2019,Billen Gamboa R.
466,PRESERVED_SPECIMEN,Miconia tonduzii,1525789,GBIF,,Manuel Vargas,,10.086944,-84.07305600000001,Cerro Chompipe.,1997.0,1,1,1,,WGS84,2019,Billen Gamboa R.
