,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
389,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523107,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
390,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523110,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
392,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523109,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
393,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523114,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
394,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523115,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
395,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523112,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
396,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523113,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
397,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523111,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
398,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523108,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
399,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523117,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
400,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1523116,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
2186,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1536483,GBIF,,Manuel Vargas,,9.719444000000001,-84.373611,Mastatal.Altos Fila Cangreja.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; Alejandro Solano
2193,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1536484,GBIF,,Manuel Vargas,,9.719444000000001,-84.373611,Mastatal.Altos Fila Cangreja.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; Alejandro Solano
2196,PRESERVED_SPECIMEN,Mortoniodendron hirsutum,1536485,GBIF,,Manuel Vargas,,9.719444000000001,-84.373611,Mastatal.Altos Fila Cangreja.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; Alejandro Solano
