,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1695,PRESERVED_SPECIMEN,Mouriri cyphocarpa,1562286,GBIF,,Manuel Vargas,,9.697222,-84.395,Santa Rosa de Puriscal. Bosque primario en las margenes del Rio Negro.,1992.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1698,PRESERVED_SPECIMEN,Mouriri cyphocarpa,1562285,GBIF,,Manuel Vargas,,8.6875,-83.554167,Fila montanosa camino a Rancho Quemado.,1992.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1699,PRESERVED_SPECIMEN,Mouriri cyphocarpa,1562287,GBIF,,Manuel Vargas,,9.775,-84.533333,Alrededores del puesto Carara. - N. Zamora & Curso de Botanica,1993.0,1,1,1,,WGS84,2019,Quirico Jiménez
2033,PRESERVED_SPECIMEN,Mouriri cyphocarpa,1573332,GBIF,,Manuel Vargas,,9.702778,-84.391667,Vecindades del Rio Negro.,1994.0,1,1,1,,WGS84,2019,Quirico Jiménez
2053,PRESERVED_SPECIMEN,Mouriri cyphocarpa,1573889,GBIF,,Manuel Vargas,,8.466667,-83.583334,"Sirena. Sendero Pavo, desde inicio hasta 50 msnm",1989.0,1,1,1,,WGS84,2019,C. Kernan
2074,PRESERVED_SPECIMEN,Mouriri cyphocarpa,1574760,GBIF,,Manuel Vargas,,8.683333,-83.541667,"Camino entrando a Baneguitas, a 300 m del camino que va a Rancho Quemado.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3249,PRESERVED_SPECIMEN,Mouriri cyphocarpa,1582551,GBIF,,Manuel Vargas,,8.722222,-83.44166700000001,Los Mogos; Bahia Chal.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3850,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2846592,GBIF,,Manuel Vargas,,8.566664999999999,-83.516648,"A.C.O, Golfito, Pque Nal Corcovado, Estación Los Patos.",1999.0,1,1,1,,WGS84,2019,Priscila Hurtado
3852,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2846593,GBIF,,Manuel Vargas,,8.566664999999999,-83.516648,"A.C.O, Golfito, Pque Nal Corcovado, Estación Los Patos.",1999.0,1,1,1,,WGS84,2019,Priscila Hurtado
4017,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2849837,GBIF,,Manuel Vargas,,9.984308,-83.473748,"A.C.L.A.C, Siquirres, Pque Nal Barbilla, Camino a Valle Escondido, 400 S Río Dantas",1999.0,1,1,1,,WGS84,2019,Elias Rojas
4018,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2849834,GBIF,,Manuel Vargas,,9.984308,-83.473748,"A.C.L.A.C, Siquirres, Pque Nal Barbilla, Camino a Valle Escondido, 400 S Río Dantas",1999.0,1,1,1,,WGS84,2019,Elias Rojas
4019,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2849836,GBIF,,Manuel Vargas,,9.984308,-83.473748,"A.C.L.A.C, Siquirres, Pque Nal Barbilla, Camino a Valle Escondido, 400 S Río Dantas",1999.0,1,1,1,,WGS84,2019,Elias Rojas
4020,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2849835,GBIF,,Manuel Vargas,,9.984308,-83.473748,"A.C.L.A.C, Siquirres, Pque Nal Barbilla, Camino a Valle Escondido, 400 S Río Dantas",1999.0,1,1,1,,WGS84,2019,Elias Rojas
4844,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2918512,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,"Rancho Quemado, ca. 15 km W of Rincon; in bottom of S end of valley along Rio Riyito and Quebrada Quebradon.",1988.0,1,1,1,,WGS84,2019,Barry Hammel
4979,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2921734,GBIF,,Manuel Vargas,,9.497222,-82.986111,Amubri. Camino entre Amubri y Soki. Siguiendo el Rio Nabri hacia Alto Soki.,1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
5022,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2923587,GBIF,,Manuel Vargas,,9.711111,-84.386111,Santa Rosa de Puriscal.,1989.0,1,1,1,,WGS84,2019,Quirico Jiménez
5055,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2924861,GBIF,,Manuel Vargas,,8.466667,-83.583334,"Sirena. Sirena Woods, 1-50 msnm",1989.0,1,1,1,,WGS84,2019,C. Kernan
5057,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2924887,GBIF,,Manuel Vargas,,8.466667,-83.58333499999999,"Sirena. Sendero Pavo, desde inicio hasta 20 msnm",1989.0,1,1,1,,WGS84,2019,C. Kernan
5105,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2926510,GBIF,,Manuel Vargas,,8.75,-83.30833299999999,"Camino entre Chacarita y Rincon. 8 km de Chacarita;, bosque a la par del camino.",1991.0,1,1,1,,WGS84,2019,Molly Nepokroeff
5408,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2912586,GBIF,,Manuel Vargas,,8.466667,-83.58333499999999,"Sirena Lowland wet forest, at about sea level.",1991.0,1,1,1,,WGS84,2019,Piero Delprete
5922,PRESERVED_SPECIMEN,Mouriri cyphocarpa,3111414,GBIF,,Manuel Vargas,,8.558333,-83.502778,Estacion Cerro de Oro. Sendero El Acueducto.,1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
5924,PRESERVED_SPECIMEN,Mouriri cyphocarpa,3111413,GBIF,,Manuel Vargas,,8.558333,-83.502778,Estacion Cerro de Oro. Sendero El Acueducto.,1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
6788,PRESERVED_SPECIMEN,Mouriri cyphocarpa,3413719,GBIF,,Manuel Vargas,,9.631944,-84.311389,Pirris.,2001.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada ; Fabiana Murillo rodríguez ; Julio Bustamante
6789,PRESERVED_SPECIMEN,Mouriri cyphocarpa,3413720,GBIF,,Manuel Vargas,,9.631944,-84.311389,Pirris.,2001.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada ; Fabiana Murillo rodríguez ; Julio Bustamante
7289,PRESERVED_SPECIMEN,Mouriri cyphocarpa,3562316,GBIF,,Manuel Vargas,,9.680556,-84.394444,La Cangreja; en bosque por Río Negro.,1998.0,1,1,1,,WGS84,2019,Barry Hammel; Reinaldo Aguilar ; Lyhn Bohs
7290,PRESERVED_SPECIMEN,Mouriri cyphocarpa,3562315,GBIF,,Manuel Vargas,,9.680556,-84.394444,La Cangreja; en bosque por Río Negro.,1998.0,1,1,1,,WGS84,2019,Barry Hammel; Reinaldo Aguilar ; Lyhn Bohs
7291,PRESERVED_SPECIMEN,Mouriri cyphocarpa,3562317,GBIF,,Manuel Vargas,,9.680556,-84.394444,La Cangreja; en bosque por Río Negro.,1998.0,1,1,1,,WGS84,2019,Barry Hammel; Reinaldo Aguilar ; Lyhn Bohs
12328,PRESERVED_SPECIMEN,Mouriri cyphocarpa,4372244,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Reinaldo Aguilar ; Guillermo Villalobos ; Soo-Yong Kim ; D. Solorzano
12331,PRESERVED_SPECIMEN,Mouriri cyphocarpa,4372246,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Reinaldo Aguilar ; Guillermo Villalobos ; Soo-Yong Kim ; D. Solorzano
12332,PRESERVED_SPECIMEN,Mouriri cyphocarpa,4372245,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Reinaldo Aguilar ; Guillermo Villalobos ; Soo-Yong Kim ; D. Solorzano
15119,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2899528,GBIF,Coronado González 2640,Manuel Vargas,,14.40444,-85.16277,"Municipio de Wiwili, Reserva de Bosawas, Comunidad de Inipuwas, Caño Wayawas",2005.0,1,1,1,,WGS84,2019,I. Coronado G.|M. Barrios|G. Pérez|F. Moncada
15246,PRESERVED_SPECIMEN,Mouriri cyphocarpa,2924876,GBIF,Shank 4693,Manuel Vargas,,11.45,-84.61666,Montaña Esquipulas; bosque lluvioso y breñoso [Molina number series],1951.0,1,1,1,,WGS84,2019,Paul J. Shank|Antonio Molina R.
15629,PRESERVED_SPECIMEN,Mouriri cyphocarpa,3042302,GBIF,Coronado González 3324,Manuel Vargas,,14.333329999999998,-85.13333,"Municipio de Wiwili, Reserva de Bosawas, comunidad de San Andrés, Río Coco;  alrededor del Transecto 13, de cacería (Arilia tingni)",2006.0,1,1,1,,WGS84,2019,I. Coronado G.|M. Barrios|Daniel M. Griffith|A. Chain|D. Fernández|G. Pérez
16006,PRESERVED_SPECIMEN,Mouriri cyphocarpa,318776,GBIF,Hammel 16999,Manuel Vargas,,8.66,-83.56,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; in bottom of S end of valley along Río Riyito and Quebrada Quebradón.",1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|Gerardo Herrera Ch.|María Marta Chavarría
16021,PRESERVED_SPECIMEN,Mouriri cyphocarpa,319140,GBIF,Delprete 5133,Manuel Vargas,,8.46,-83.58,"Parque Nacional Corcovado Sirena Lowland wet forest, at about sea level.",1991.0,1,1,1,,WGS84,2019,Piero G. Delprete
