,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
998,PRESERVED_SPECIMEN,Naucleopsis naga,1512652,GBIF,,Manuel Vargas,,10.163889,-83.958333,Bosque primario. Sendero La Botella.,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1275,PRESERVED_SPECIMEN,Naucleopsis naga,1556336,GBIF,,Manuel Vargas,,10.402778,-84.05833299999999,Estacion Magsasay.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1730,PRESERVED_SPECIMEN,Naucleopsis naga,1563735,GBIF,,Manuel Vargas,,10.433333,-84.01666999999999,"Rio Sarapiqui near Puerto Viejo, tropical wet forest, junction SSO and LOC Trails. Transect 3, 4 y sin transecto.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
1755,PRESERVED_SPECIMEN,Naucleopsis naga,1564672,GBIF,,Manuel Vargas,,10.433333,-84.01666999999999,"Rio Sarapiqui near Puerto Viejo, tropical wet forest, junction SSO and LOC Trails.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
2200,PRESERVED_SPECIMEN,Naucleopsis naga,1536566,GBIF,,Manuel Vargas,,10.401321000000001,-84.136986,"A.C.C.V, Sarapiquí, La Virgen",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2204,PRESERVED_SPECIMEN,Naucleopsis naga,1536568,GBIF,,Manuel Vargas,,10.401321000000001,-84.136986,"A.C.C.V, Sarapiquí, La Virgen",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2205,PRESERVED_SPECIMEN,Naucleopsis naga,1536569,GBIF,,Manuel Vargas,,10.401321000000001,-84.136986,"A.C.C.V, Sarapiquí, La Virgen",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2206,PRESERVED_SPECIMEN,Naucleopsis naga,1536567,GBIF,,Manuel Vargas,,10.401321000000001,-84.136986,"A.C.C.V, Sarapiquí, La Virgen",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3287,PRESERVED_SPECIMEN,Naucleopsis naga,1583411,GBIF,,Manuel Vargas,,10.643889,-83.736112,Sardinas.,1994.0,1,1,1,,WGS84,2019,F. Araya
4973,PRESERVED_SPECIMEN,Naucleopsis naga,2921426,GBIF,,Manuel Vargas,,9.788333,-83.145833,"El Progreso, siguiendo el sendero de la avioneta, por la fila hasta los 1700 m. Fila Matama.",1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
5173,PRESERVED_SPECIMEN,Naucleopsis naga,2930014,GBIF,,Manuel Vargas,,10.283333,-84.033334,"Rara Avis, ca. 15 km al suroeste de Horquetas. Alrededores del Hotel y Quebradita  Charral . Bosque primario y secundario.",1989.0,1,1,1,,WGS84,2019,Orlando Vargas
5323,PRESERVED_SPECIMEN,Naucleopsis naga,2909535,GBIF,,Manuel Vargas,,10.332778,-84.078889,Puesto El Ceibo. Gently sloping area just above the steep rim of the Rio Peje gorge on the west side. Along side path that goes from guard house to water   --,1992.0,1,1,1,,WGS84,2019,Brad Boyle
5344,PRESERVED_SPECIMEN,Naucleopsis naga,2909874,GBIF,,Manuel Vargas,,10.297222,-84.073611,Puesto El Ceibo. On ridge crest 250 m E of Transect Trail. Primary premontane wet forest.,1994.0,1,1,1,,WGS84,2019,Brad Boyle
5348,PRESERVED_SPECIMEN,Naucleopsis naga,2909978,GBIF,,Manuel Vargas,,10.295833,-84.076944,Puesto El Ceibo. On ridge crest 250 m W of Transect Trail. Primary premontane wet forest.,1994.0,1,1,1,,WGS84,2019,Brad Boyle
5350,PRESERVED_SPECIMEN,Naucleopsis naga,2910084,GBIF,,Manuel Vargas,,10.290833000000001,-84.060556,"Est. El Ceibo. 1/4 km W of Rio Guacimo, off trail that runs due E from Transect Trail at 730 m. Primary Premontane Wet Forest.",1994.0,1,1,1,,WGS84,2019,Brad Boyle
5418,PRESERVED_SPECIMEN,Naucleopsis naga,2913079,GBIF,,Manuel Vargas,,10.433333,-84.01666999999999,"Rio Sarapiqui near Puerto Viejo, tropical wet forest, junction SSO and LOC Trails.                Transect 2.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
5419,PRESERVED_SPECIMEN,Naucleopsis naga,2913081,GBIF,,Manuel Vargas,,10.433333,-84.01666999999999,"Rio Sarapiqui near Puerto Viejo, tropical wet forest, junction SSO and LOC Trails. Transect 3, 4 y sin transecto.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
6329,PRESERVED_SPECIMEN,Naucleopsis naga,3393335,GBIF,,Manuel Vargas,,10.19,-83.856944,Finca del Convenio Bosques Tropicales-INBio.,1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; L. Acosta ; Gerardo Soto
6330,PRESERVED_SPECIMEN,Naucleopsis naga,3393336,GBIF,,Manuel Vargas,,10.19,-83.856944,Finca del Convenio Bosques Tropicales-INBio.,1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; L. Acosta ; Gerardo Soto
