,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1749,PRESERVED_SPECIMEN,Ocotea haberi,1564303,GBIF,,Manuel Vargas,,10.333333,-84.81666700000001,"4-5 km NW Monteverde, at and just below Continental Divide, 2-4 km West of Santa Elena between road to Canitas and upper road to Las Nubes.",1992.0,1,1,1,,WGS84,2019,William Haber
2511,PRESERVED_SPECIMEN,Ocotea haberi,1596163,GBIF,,Manuel Vargas,,10.383333,-84.7,"Rio Penas Blancas, Quebrada Gata, riachuelo de Fernando Villalobos.",1990.0,1,1,1,,WGS84,2019,Erick Bello
2561,PRESERVED_SPECIMEN,Ocotea haberi,1596436,GBIF,,Manuel Vargas,,10.3,-84.750001,"Estacion Aleman. Penas Blancas. Lado abajo del inicio del Sendero Zaino, ca. 400 m del camino.",1992.0,1,1,1,,WGS84,2019,Carlos Guindon
2566,PRESERVED_SPECIMEN,Ocotea haberi,1596434,GBIF,,Manuel Vargas,,10.333333,-84.833334,"De Santa Elena hacia La Cruz, bosque de Jim Wolfe. Zona de Monteverde.",1992.0,1,1,1,,WGS84,2019,Carlos Guindon
2571,PRESERVED_SPECIMEN,Ocotea haberi,1596449,GBIF,,Manuel Vargas,,10.3,-84.800007,"Rio Trail, Pacific slope.",1989.0,1,1,1,,WGS84,2019,William Haber
2601,PRESERVED_SPECIMEN,Ocotea haberi,1596512,GBIF,,Manuel Vargas,,10.766667,-85.31666700000001,Del Mirador siguiendo la Fila al Volcan Santa Maria.,1987.0,1,1,1,,WGS84,2019,Gerardo Herrera
2990,PRESERVED_SPECIMEN,Ocotea haberi,1604935,GBIF,,Manuel Vargas,,10.880556,-85.401389,Estacion San Ramon. Dos Rios. Sendero La Tepescuintle.,1993.0,1,1,1,,WGS84,2019,Roberto Espinoza
2994,PRESERVED_SPECIMEN,Ocotea haberi,1605443,GBIF,,Manuel Vargas,,10.35,-84.666667,"Atlantic slope, Rio Penas Blancas valley Laguna Poco Sol.",1992.0,1,1,1,,WGS84,2019,William Haber
3004,PRESERVED_SPECIMEN,Ocotea haberi,1605492,GBIF,,Manuel Vargas,,10.366667,-84.8,"Monteverde. San Gerardo Biological Station. Sendero Congo, 1 km W of Station. Semi-disturbed primary forest. Premontane rain forest.",1995.0,1,1,1,,WGS84,2019,Darin Penneys
6209,PRESERVED_SPECIMEN,Ocotea haberi,3388247,GBIF,,Manuel Vargas,,9.438641,-83.545562,Sendero Río Talari,2000.0,1,1,1,,WGS84,2019,Evelio Alfaro; Mainor Elizondo ; William Chacón
