,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
258,PRESERVED_SPECIMEN,Ocotea mollicella,1518368,GBIF,,Manuel Vargas,,9.718333,-84.181111,"Hcda. Tiquires. Bosque primario, secundario y potreros en el camino a Fila Aguabuena, cabeceras Rio Tiquires.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
261,PRESERVED_SPECIMEN,Ocotea mollicella,1518370,GBIF,,Manuel Vargas,,9.718333,-84.181111,"Hcda. Tiquires. Bosque primario, secundario y potreros en el camino a Fila Aguabuena, cabeceras Rio Tiquires.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
265,PRESERVED_SPECIMEN,Ocotea mollicella,1518369,GBIF,,Manuel Vargas,,9.718333,-84.181111,"Hcda. Tiquires. Bosque primario, secundario y potreros en el camino a Fila Aguabuena, cabeceras Rio Tiquires.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1125,PRESERVED_SPECIMEN,Ocotea mollicella,1515641,GBIF,,Manuel Vargas,,9.034722,-82.933611,"Fila del Cerro Gemelo, cerca Finca Chinchilla.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1215,PRESERVED_SPECIMEN,Ocotea mollicella,1517326,GBIF,,Manuel Vargas,,9.708056,-84.1225,"Fila el Alto, entre Monterrey y Parrita; ca. 13 km de Monterrey.",1996.0,1,1,1,,WGS84,2019,Barry Hammel; Jose González ; Juan Francisco Morales Quirós
1218,PRESERVED_SPECIMEN,Ocotea mollicella,1517327,GBIF,,Manuel Vargas,,9.708056,-84.1225,"Fila el Alto, entre Monterrey y Parrita; ca. 13 km de Monterrey.",1996.0,1,1,1,,WGS84,2019,Barry Hammel; Jose González ; Juan Francisco Morales Quirós
1617,PRESERVED_SPECIMEN,Ocotea mollicella,1561677,GBIF,,Manuel Vargas,,9.844167,-84.112778,Cedral. Falda noreste del Alto Hierba Buena. Cuenca del rio Saurez (Cucubres). Bosque secundario.,1992.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1834,PRESERVED_SPECIMEN,Ocotea mollicella,1567196,GBIF,,Manuel Vargas,,9.845278,-84.105556,La Fila; bosque secundario y potreros en la fila de la calle cuesta de Piedra,1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
7469,PRESERVED_SPECIMEN,Ocotea mollicella,3752713,GBIF,,Manuel Vargas,,9.055102,-82.98946600000001,P.N. La Amistad. Cerro Frantzius.,2002.0,1,1,1,,WGS84,2019,Evelio Alfaro; Milady Alfaro
7472,PRESERVED_SPECIMEN,Ocotea mollicella,3752715,GBIF,,Manuel Vargas,,9.055102,-82.98946600000001,P.N. La Amistad. Cerro Frantzius.,2002.0,1,1,1,,WGS84,2019,Evelio Alfaro; Milady Alfaro
7475,PRESERVED_SPECIMEN,Ocotea mollicella,3752716,GBIF,,Manuel Vargas,,9.055102,-82.98946600000001,P.N. La Amistad. Cerro Frantzius.,2002.0,1,1,1,,WGS84,2019,Evelio Alfaro; Milady Alfaro
7478,PRESERVED_SPECIMEN,Ocotea mollicella,3752712,GBIF,,Manuel Vargas,,9.055102,-82.98946600000001,P.N. La Amistad. Cerro Frantzius.,2002.0,1,1,1,,WGS84,2019,Evelio Alfaro; Milady Alfaro
7480,PRESERVED_SPECIMEN,Ocotea mollicella,3752714,GBIF,,Manuel Vargas,,9.055102,-82.98946600000001,P.N. La Amistad. Cerro Frantzius.,2002.0,1,1,1,,WGS84,2019,Evelio Alfaro; Milady Alfaro
7647,PRESERVED_SPECIMEN,Ocotea mollicella,3835273,GBIF,,Manuel Vargas,,9.877778,-84.15,San Antonio de Escazu.,2003.0,1,1,1,,WGS84,2019,Jose González; Ricardo Kriebel
7648,PRESERVED_SPECIMEN,Ocotea mollicella,3835274,GBIF,,Manuel Vargas,,9.877778,-84.15,San Antonio de Escazu.,2003.0,1,1,1,,WGS84,2019,Jose González; Ricardo Kriebel
7649,PRESERVED_SPECIMEN,Ocotea mollicella,3835275,GBIF,,Manuel Vargas,,9.877778,-84.15,San Antonio de Escazu.,2003.0,1,1,1,,WGS84,2019,Jose González; Ricardo Kriebel
7650,PRESERVED_SPECIMEN,Ocotea mollicella,3835276,GBIF,,Manuel Vargas,,9.877778,-84.15,San Antonio de Escazu.,2003.0,1,1,1,,WGS84,2019,Jose González; Ricardo Kriebel
7651,PRESERVED_SPECIMEN,Ocotea mollicella,3835277,GBIF,,Manuel Vargas,,9.877778,-84.15,San Antonio de Escazu.,2003.0,1,1,1,,WGS84,2019,Jose González; Ricardo Kriebel
8104,PRESERVED_SPECIMEN,Ocotea mollicella,3906457,GBIF,,Manuel Vargas,,9.898624,-84.161008,"A.C.P.C, Santa Ana, Zona Protectora Cerros de Escazú, Alto Tapezco",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8105,PRESERVED_SPECIMEN,Ocotea mollicella,3906458,GBIF,,Manuel Vargas,,9.898624,-84.161008,"A.C.P.C, Santa Ana, Zona Protectora Cerros de Escazú, Alto Tapezco",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8106,PRESERVED_SPECIMEN,Ocotea mollicella,3906455,GBIF,,Manuel Vargas,,9.898624,-84.161008,"A.C.P.C, Santa Ana, Zona Protectora Cerros de Escazú, Alto Tapezco",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8107,PRESERVED_SPECIMEN,Ocotea mollicella,3906456,GBIF,,Manuel Vargas,,9.898624,-84.161008,"A.C.P.C, Santa Ana, Zona Protectora Cerros de Escazú, Alto Tapezco",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8230,PRESERVED_SPECIMEN,Ocotea mollicella,3909928,GBIF,,Manuel Vargas,,9.881111,-84.196667,Entre Santa Ana y Tabarcia por Pabellón,2002.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
8231,PRESERVED_SPECIMEN,Ocotea mollicella,3909929,GBIF,,Manuel Vargas,,9.881111,-84.196667,Entre Santa Ana y Tabarcia por Pabellón,2002.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
8236,PRESERVED_SPECIMEN,Ocotea mollicella,3909927,GBIF,,Manuel Vargas,,9.881111,-84.196667,Entre Santa Ana y Tabarcia por Pabellón,2002.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
8907,PRESERVED_SPECIMEN,Ocotea mollicella,3975727,GBIF,,Manuel Vargas,,9.083342,-82.976941,Valle del Silencio.,2004.0,1,1,1,,WGS84,2019,Luis González; Armando Soto
8909,PRESERVED_SPECIMEN,Ocotea mollicella,3975731,GBIF,,Manuel Vargas,,9.083342,-82.976941,Valle del Silencio.,2004.0,1,1,1,,WGS84,2019,Luis González; Armando Soto
8914,PRESERVED_SPECIMEN,Ocotea mollicella,3975729,GBIF,,Manuel Vargas,,9.083342,-82.976941,Valle del Silencio.,2004.0,1,1,1,,WGS84,2019,Luis González; Armando Soto
8916,PRESERVED_SPECIMEN,Ocotea mollicella,3975730,GBIF,,Manuel Vargas,,9.083342,-82.976941,Valle del Silencio.,2004.0,1,1,1,,WGS84,2019,Luis González; Armando Soto
8917,PRESERVED_SPECIMEN,Ocotea mollicella,3975728,GBIF,,Manuel Vargas,,9.083342,-82.976941,Valle del Silencio.,2004.0,1,1,1,,WGS84,2019,Luis González; Armando Soto
10707,PRESERVED_SPECIMEN,Ocotea mollicella,4136524,GBIF,,Manuel Vargas,,9.135957000000001,-83.083826,"Potrero Grande, La Lucha. Cerro Seno.",2008.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano ; William Gamboa
10818,PRESERVED_SPECIMEN,Ocotea mollicella,4141193,GBIF,,Manuel Vargas,,9.136461,-83.082034,"Potrero Grande, La Lucha. PILA.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; William Gamboa
10819,PRESERVED_SPECIMEN,Ocotea mollicella,4141196,GBIF,,Manuel Vargas,,9.136461,-83.082034,"Potrero Grande, La Lucha. PILA.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; William Gamboa
10820,PRESERVED_SPECIMEN,Ocotea mollicella,4141192,GBIF,,Manuel Vargas,,9.136461,-83.082034,"Potrero Grande, La Lucha. PILA.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; William Gamboa
10821,PRESERVED_SPECIMEN,Ocotea mollicella,4141195,GBIF,,Manuel Vargas,,9.136461,-83.082034,"Potrero Grande, La Lucha. PILA.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; William Gamboa
10822,PRESERVED_SPECIMEN,Ocotea mollicella,4141194,GBIF,,Manuel Vargas,,9.136461,-83.082034,"Potrero Grande, La Lucha. PILA.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; William Gamboa
10823,PRESERVED_SPECIMEN,Ocotea mollicella,4141191,GBIF,,Manuel Vargas,,9.136461,-83.082034,"Potrero Grande, La Lucha. PILA.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; William Gamboa
10979,PRESERVED_SPECIMEN,Ocotea mollicella,4149998,GBIF,,Manuel Vargas,,9.146372999999999,-83.074213,Sector Tres Colinas. Pto 14.,2008.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; William Gamboa ; Hugo Solano Arias ; Carlos Godínez
10981,PRESERVED_SPECIMEN,Ocotea mollicella,4149999,GBIF,,Manuel Vargas,,9.146372999999999,-83.074213,Sector Tres Colinas. Pto 14.,2008.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; William Gamboa ; Hugo Solano Arias ; Carlos Godínez
17461,PRESERVED_SPECIMEN,Ocotea mollicella,48173,GBIF,Davidse 28555,Manuel Vargas,,9.075,-82.975,Cordillera de Talamanca; Cerro Frantzius to Valle de Silencio.,1984.0,1,1,1,,WGS84,2019,Gerrit Davidse|Gerardo Herrera Ch.|Michael H. Grayum
17840,PRESERVED_SPECIMEN,Ocotea mollicella,56126,GBIF,Morales Quirós 244,Manuel Vargas,,9.84,-84.11,Z. P. Cerros de Escazú. Cedral. Falda noreste del Alto Hierba Buena. Cuenca del río Saurez (Cucubres). Bosque secundario.,1992.0,1,1,1,,WGS84,2019,J. F. Morales
24897,PRESERVED_SPECIMEN,Ocotea mollicella,108860,GBIF,,Manuel Vargas,,9.05,-82.96,Cordillera de Talamanca; Cerro Frantzius to Valle de Silencio.,1984.0,1,1,1,,WGS84,2019,"Davidse, Gerrit"
24914,PRESERVED_SPECIMEN,Ocotea mollicella,129500,GBIF,,Manuel Vargas,,9.72,-84.04,"Entre San Antonio y San Cristóbal del Sur, c. 0.5 km al noroeste del puente sobre la Quebrada Piedades.",1986.0,1,1,1,,WGS84,2019,"Kappelle, Maarten"
24915,PRESERVED_SPECIMEN,Ocotea mollicella,129530,GBIF,,Manuel Vargas,,9.53,-83.7,"Macho Mora de Villa Mills, 1 km al E de la carretera Interamericana.",1986.0,1,1,1,,WGS84,2019,"Kappelle, Maarten"
24921,PRESERVED_SPECIMEN,Ocotea mollicella,132623,GBIF,,Manuel Vargas,,9.73,-83.95,"El Empalme, 1 km al E de la Carretera Interamericana.",1986.0,1,1,1,,WGS84,2019,"Kappelle, Maarten"
24932,PRESERVED_SPECIMEN,Ocotea mollicella,144910,GBIF,,Manuel Vargas,,9.56,-83.8,"R.F. Los Santos San Gerardo, c. 1.5 km al N de la Finca Zacatales, al E del río Savegre.",1986.0,1,1,1,,WGS84,2019,"Kappelle, Maarten"
24943,PRESERVED_SPECIMEN,Ocotea mollicella,157041,GBIF,,Manuel Vargas,,9.55,-83.8,"R.F. Los Santos San Gerardo, 1 km SO de Copey.",1992.0,1,1,1,,WGS84,2019,"Sánchez, Julio E."
24985,PRESERVED_SPECIMEN,Ocotea mollicella,181603,GBIF,,Manuel Vargas,,9.48,-83.82,R.F. Los Santos Estribaciones Sureste de Cerro Lira.,,1,1,1,,WGS84,2019,"Martén, Silvana"
24986,PRESERVED_SPECIMEN,Ocotea mollicella,181607,GBIF,,Manuel Vargas,,9.48,-83.82,R.F. Los Santos Estribaciones Sureste de Cerro Lira.,,1,1,1,,WGS84,2019,"Martén, Silvana"
25000,PRESERVED_SPECIMEN,Ocotea mollicella,202120,GBIF,,Manuel Vargas,,9.84,-84.1,Cerros de Escazú. La Fila.Bosque secundario y potreros en la fila de la calle cuesta de Piedra.,1994.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
25009,PRESERVED_SPECIMEN,Ocotea mollicella,212811,GBIF,,Manuel Vargas,,9.71,-84.18,"Cerros de Caraigres, Alto Reflis, camino a Fila Aguabuena.",1997.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
25017,PRESERVED_SPECIMEN,Ocotea mollicella,214893,GBIF,,Manuel Vargas,,9.52,-83.58,P.N. Chirripó Cordillera de Talamanca. Sendero al Cerro Urán.,1995.0,1,1,1,,WGS84,2019,"González, José"
25031,PRESERVED_SPECIMEN,Ocotea mollicella,220989,GBIF,,Manuel Vargas,,9.75,-83.78,"P. N. Tapantí Alto La Perla, cumbre y estribación Sur.",,1,1,1,,WGS84,2019,"Herrera, Gerardo"
25038,PRESERVED_SPECIMEN,Ocotea mollicella,227550,GBIF,,Manuel Vargas,,9.54,-83.81,,2001.0,1,1,1,,WGS84,2019,"Sánchez, Joaquín"
25039,PRESERVED_SPECIMEN,Ocotea mollicella,227586,GBIF,,Manuel Vargas,,9.53,-83.81,R. F. Los Santos Camino entre La Lira y San Gerardo de  Dota.,2001.0,1,1,1,,WGS84,2019,"Estrada, Armando"
25040,PRESERVED_SPECIMEN,Ocotea mollicella,228243,GBIF,,Manuel Vargas,,9.54,-83.86,R. F. Los Santos Providencia,2001.0,1,1,1,,WGS84,2019,"Sánchez, Joaquín"
25041,PRESERVED_SPECIMEN,Ocotea mollicella,228326,GBIF,,Manuel Vargas,,9.5,-83.83,R. F. Los Santos Cerro Lira.,2001.0,1,1,1,,WGS84,2019,"Estrada, Armando"
25054,PRESERVED_SPECIMEN,Ocotea mollicella,238541,GBIF,,Manuel Vargas,,9.97,-83.45,P.N. Barbilla Sendero que lleva a río Danta.,1998.0,1,1,1,,WGS84,2019,"Rodríguez, Alexánder"
34440,PRESERVED_SPECIMEN,Ocotea mollicella,V0061772F,GBIF,11676,Manuel Vargas,,10.0114,-83.9519,,1898.0,1,1,1,,WGS84,2019,A. Tonduz
36437,PRESERVED_SPECIMEN,Ocotea mollicella,889042,GBIF,Morales Quirós 2788,Manuel Vargas,,9.84,-84.1,Cerros Escazú-La Carpintera. La Fila; bosque secundario y potreros en la fila de la calle cuesta de Piedra.,1994.0,1,1,1,,WGS84,2019,J. F. Morales
37966,PRESERVED_SPECIMEN,Ocotea mollicella,100256360,GBIF,Kriebel Haehner 2084,Manuel Vargas,,9.898624,-84.161008,"Z. P. Cerros de Escazú. Cuenca del Tárcoles. Margen del Río San Rafael y alrededores, Cerros de Escazú.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
38062,PRESERVED_SPECIMEN,Ocotea mollicella,100327942,GBIF,Hammel 22659,Manuel Vargas,,9.881111,-84.196667,Z.P. Cerros de Escazú. Cuenca del Pirrís-Damas. Entre Santa Ana y Tabarcia por Pabellón: finca de Miguel Sibaja por Quebrada Barro.,2002.0,1,1,1,,WGS84,2019,Barry E. Hammel
38063,PRESERVED_SPECIMEN,Ocotea mollicella,100327956,GBIF,Solano Peralta 5101,Manuel Vargas,,9.136389,-83.081944,"P.N. La Amistad. Cuenca Térraba-Sierpe. Buenos Aires, Potrero Grande, La Lucha. PILA.",2008.0,1,1,1,,WGS84,2019,Daniel Solano
38452,PRESERVED_SPECIMEN,Ocotea mollicella,100488366,GBIF,Hammel 22659,Manuel Vargas,,9.881111,-84.19667,Entre Santa Ana y Tabarcia por Pabellon: finca de Miguel Sibaja por Quebrada Barro.,2002.0,1,1,1,,WGS84,2019,Barry E. Hammel
38545,PRESERVED_SPECIMEN,Ocotea mollicella,100490770,GBIF,Solano Peralta 5101,Manuel Vargas,,9.136461,-83.08203,"Buenos Aires, Potrero Grande, La Lucha. PILA.Bosque Ralo de 5-25 m. Predominado por Quercus bumelioides, Magnolia sororum, Alfaroa costaricensis, Myrsine coriacea, Drymis granadensis; sotobosque dominado por Chusquea sp.                                                                                                                                                                                                                                                                                      ",2008.0,1,1,1,,WGS84,2019,Daniel Solano
38629,PRESERVED_SPECIMEN,Ocotea mollicella,100493127,GBIF,Kriebel Haehner 2084,Manuel Vargas,,9.898624,-84.16101,"Margen del Rio San Rafael y alrededores, Cerros de Escazu.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
38940,PRESERVED_SPECIMEN,Ocotea mollicella,100524164,GBIF,González Arce 3629,Manuel Vargas,,9.083342,-82.97694,Valle del silecio.,2004.0,1,1,1,,WGS84,2019,Luis A. González
39722,PRESERVED_SPECIMEN,Ocotea mollicella,G-G-272105/2,GBIF,,Manuel Vargas,,9.97028,-84.18806,Costa Rica - Costa Rica: San José: forêts du Copey,,1,1,1,,WGS84,2019,"Tonduz, A. (Coll. Barbey-Boissier)"
39723,PRESERVED_SPECIMEN,Ocotea mollicella,G-G-154428/1,GBIF,,Manuel Vargas,,9.08333,-82.97694,Puntarenas - Puntarenas: Buenos Aires. P. N. La Mistad. Cuenca Térraba-Sierpe. Valle del Silencio/Provincia de Puntarenas,2004.0,1,1,1,,WGS84,2019,"González, L. A. & A. Soto"
39724,PRESERVED_SPECIMEN,Ocotea mollicella,G-G-272105/1,GBIF,,Manuel Vargas,,9.97028,-84.18806,Costa Rica - Costa Rica: San José: forêts du Copey,,1,1,1,,WGS84,2019,"Tonduz, A. (Coll. Delessert 1901)"
39926,PRESERVED_SPECIMEN,Ocotea mollicella,MA-01-00761662,GBIF,3821,Manuel Vargas,,9.055,-82.9894,Puntarenas: Buenos Aires. P.N. La Amistad. Cuenca Térraba-Sierpe. Cerro Frantzius,2002.0,1,1,1,,WGS84,2019,E. Alfaro & M. Alfaro
42408,PRESERVED_SPECIMEN,Ocotea mollicella,V0061773F,GBIF,11676,Manuel Vargas,,10.0114,-83.9519,,1898.0,1,1,1,,WGS84,2019,A. Tonduz
45401,PRESERVED_SPECIMEN,Ocotea mollicella,NO DISPONIBLE,GBIF,,Manuel Vargas,,9.881944,-83.681944,"Florencia Farm, Turrialba, Prov. Cartago",1972.0,1,1,1,,WGS84,2019,L. R. Holdridge
48943,PRESERVED_SPECIMEN,Ocotea mollicella,1247381,GBIF,Poveda Álvarez 455,Manuel Vargas,,9.92,-83.86,Llano Grande,1973.0,1,1,1,,WGS84,2019,Luis J. Poveda Álvarez
48944,PRESERVED_SPECIMEN,Ocotea mollicella,1247380,GBIF,Morales Quirós 244,Manuel Vargas,,9.84,-84.11,Z.P. Cerros de Escazú. Cedral. Falda noreste del Alto Hierba Buena. Cuenca del río Saurez (Cucubres). Bosque secundario.,1992.0,1,1,1,,WGS84,2019,J. F. Morales
48945,PRESERVED_SPECIMEN,Ocotea mollicella,1247383,GBIF,Poveda Álvarez 3994,Manuel Vargas,,10.1,-84.12,Guacalillo-ruta a Sacramento.,1985.0,1,1,1,,WGS84,2019,Luis J. Poveda Álvarez|Óscar Castro
49043,PRESERVED_SPECIMEN,Ocotea mollicella,1256258,GBIF,Morales Quirós 5812,Manuel Vargas,,9.03,-82.93,"P.I. La Amistad. Cordillera de Talamanca. Fila del Cerro Gemelo, cerca Finca Chinchilla.",1996.0,1,1,1,,WGS84,2019,J. F. Morales
49048,PRESERVED_SPECIMEN,Ocotea mollicella,1256408,GBIF,Morales Quirós 5989,Manuel Vargas,,9.71,-84.18,"Cuenca del Pirris-Damas. Cerros de Caraigres, Alto Reflis, camino a Fila Aguabuena.",1997.0,1,1,1,,WGS84,2019,J. F. Morales
52659,PRESERVED_SPECIMEN,Ocotea mollicella,1934651,GBIF,Sánchez-González 1142,Manuel Vargas,,9.549167,-83.81944399999999,Copey. Area no Protegida.,2001.0,1,1,1,,WGS84,2019,Joaquín Sánchez González|Armando Estrada|Javier Solano|et al.
