,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2583,PRESERVED_SPECIMEN,Ocotea patula,1596480,GBIF,,Manuel Vargas,,8.817222000000001,-83.190278,Cabeceras del Rio Piedras Blancas; Cerro Anguciana faldas al Oeste; bosque en roca de cal.,1993.0,1,1,1,,WGS84,2019,Barry Hammel
3361,PRESERVED_SPECIMEN,Ocotea patula,1585518,GBIF,,Manuel Vargas,,8.817222000000001,-83.189722,"Cerro Anguciana, cabeceras del Rio Piedras Blancas. Fila Cruces.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
10795,PRESERVED_SPECIMEN,Ocotea patula,4140891,GBIF,,Manuel Vargas,,9.111616,-83.101718,"Potrero Grande, La Lucha.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; William Gamboa ; Audilio Rivera Cascante
10796,PRESERVED_SPECIMEN,Ocotea patula,4140887,GBIF,,Manuel Vargas,,9.111616,-83.101718,"Potrero Grande, La Lucha.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; William Gamboa ; Audilio Rivera Cascante
10797,PRESERVED_SPECIMEN,Ocotea patula,4140892,GBIF,,Manuel Vargas,,9.111616,-83.101718,"Potrero Grande, La Lucha.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; William Gamboa ; Audilio Rivera Cascante
10798,PRESERVED_SPECIMEN,Ocotea patula,4140888,GBIF,,Manuel Vargas,,9.111616,-83.101718,"Potrero Grande, La Lucha.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; William Gamboa ; Audilio Rivera Cascante
10799,PRESERVED_SPECIMEN,Ocotea patula,4140893,GBIF,,Manuel Vargas,,9.111616,-83.101718,"Potrero Grande, La Lucha.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; William Gamboa ; Audilio Rivera Cascante
10800,PRESERVED_SPECIMEN,Ocotea patula,4140889,GBIF,,Manuel Vargas,,9.111616,-83.101718,"Potrero Grande, La Lucha.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; William Gamboa ; Audilio Rivera Cascante
10801,PRESERVED_SPECIMEN,Ocotea patula,4140890,GBIF,,Manuel Vargas,,9.111616,-83.101718,"Potrero Grande, La Lucha.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; William Gamboa ; Audilio Rivera Cascante
10850,PRESERVED_SPECIMEN,Ocotea patula,4141933,GBIF,,Manuel Vargas,,9.136330000000001,-83.05619200000001,"Potrero Grande, Tres Colinas. 5 km de Tres Colinas desviándose del sendero a Kámuk hacia el río Singri.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Hugo Solano Arias
10851,PRESERVED_SPECIMEN,Ocotea patula,4141934,GBIF,,Manuel Vargas,,9.136330000000001,-83.05619200000001,"Potrero Grande, Tres Colinas. 5 km de Tres Colinas desviándose del sendero a Kámuk hacia el río Singri.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Hugo Solano Arias
10854,PRESERVED_SPECIMEN,Ocotea patula,4141936,GBIF,,Manuel Vargas,,9.136330000000001,-83.05619200000001,"Potrero Grande, Tres Colinas. 5 km de Tres Colinas desviándose del sendero a Kámuk hacia el río Singri.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Hugo Solano Arias
10855,PRESERVED_SPECIMEN,Ocotea patula,4141935,GBIF,,Manuel Vargas,,9.136330000000001,-83.05619200000001,"Potrero Grande, Tres Colinas. 5 km de Tres Colinas desviándose del sendero a Kámuk hacia el río Singri.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Hugo Solano Arias
10856,PRESERVED_SPECIMEN,Ocotea patula,4141937,GBIF,,Manuel Vargas,,9.136330000000001,-83.05619200000001,"Potrero Grande, Tres Colinas. 5 km de Tres Colinas desviándose del sendero a Kámuk hacia el río Singri.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Hugo Solano Arias
11605,PRESERVED_SPECIMEN,Ocotea patula,4233552,GBIF,,Manuel Vargas,,9.114278,-83.083083,"P. N. La Amistad, Tres Colinas. Orillas del Río Guineal.",2010.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos
11606,PRESERVED_SPECIMEN,Ocotea patula,4233549,GBIF,,Manuel Vargas,,9.114278,-83.083083,"P. N. La Amistad, Tres Colinas. Orillas del Río Guineal.",2010.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos
11607,PRESERVED_SPECIMEN,Ocotea patula,4233553,GBIF,,Manuel Vargas,,9.114278,-83.083083,"P. N. La Amistad, Tres Colinas. Orillas del Río Guineal.",2010.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos
11608,PRESERVED_SPECIMEN,Ocotea patula,4233551,GBIF,,Manuel Vargas,,9.114278,-83.083083,"P. N. La Amistad, Tres Colinas. Orillas del Río Guineal.",2010.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos
11609,PRESERVED_SPECIMEN,Ocotea patula,4233550,GBIF,,Manuel Vargas,,9.114278,-83.083083,"P. N. La Amistad, Tres Colinas. Orillas del Río Guineal.",2010.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos
11610,PRESERVED_SPECIMEN,Ocotea patula,4233548,GBIF,,Manuel Vargas,,9.114278,-83.083083,"P. N. La Amistad, Tres Colinas. Orillas del Río Guineal.",2010.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos
13458,UNKNOWN,Ocotea patula,965723,GBIF,,Manuel Vargas,,8.817222000000001,-83.189722,"Fila Costeña, Cerro Anguciana, Cabezera del Río Piedras Blancas. Fila Cruces",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
