,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1321,PRESERVED_SPECIMEN,Ocotea rivularis,1557196,GBIF,,Manuel Vargas,,8.677778,-83.20277800000001,"Entre Golfito y Villa Briceno, a 4.5 Km del Campo de aterrizaje. Camino norte, Quebrada Gamboa.",1992.0,1,1,1,,WGS84,2019,Ulises Chavarría
1620,PRESERVED_SPECIMEN,Ocotea rivularis,1561702,GBIF,,Manuel Vargas,,8.770833,-83.393056,"Los Mogos, cabeceras de Quebrada Taboga.",1991.0,1,1,1,,WGS84,2019,Gerardo Herrera
1631,PRESERVED_SPECIMEN,Ocotea rivularis,1561703,GBIF,,Manuel Vargas,,8.683333,-83.583333,Rancho Quemado. Rincon de Osa.,1992.0,1,1,1,,WGS84,2019,Quirico Jiménez
2560,PRESERVED_SPECIMEN,Ocotea rivularis,1596414,GBIF,,Manuel Vargas,,8.7,-83.516667,Aguabuena oeste a Bajo San Juan.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3008,PRESERVED_SPECIMEN,Ocotea rivularis,1605636,GBIF,,Manuel Vargas,,8.766667,-83.25,"Esquinas, orilla de potrero donde Emilio.",1993.0,1,1,1,,WGS84,2019,Javier Quesada
4832,PRESERVED_SPECIMEN,Ocotea rivularis,2918361,GBIF,,Manuel Vargas,,8.733333,-83.6,Rancho Quemado; in forest on trail to Drake on ridge at N end of valley; on slope leading down to Guerra.,1988.0,1,1,1,,WGS84,2019,Barry Hammel
4837,PRESERVED_SPECIMEN,Ocotea rivularis,2918489,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,"Rancho Quemado, ca. 15 km W of Rincon; in bottom of S end of valley along Rio Riyito.",1988.0,1,1,1,,WGS84,2019,Barry Hammel
5164,PRESERVED_SPECIMEN,Ocotea rivularis,2929411,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,"Rancho Quemado, ca. 15 km W of Rincon. Wet forest. Along Quebrada Quebradona and Ridge above it.",1990.0,1,1,1,,WGS84,2019,James Solomon
5212,PRESERVED_SPECIMEN,Ocotea rivularis,2905736,GBIF,,Manuel Vargas,,8.716667,-83.559722,Rancho Quemado.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
9012,PRESERVED_SPECIMEN,Ocotea rivularis,3991101,GBIF,,Manuel Vargas,,8.691569,-84.047411,Estación Río Bonito.,1998.0,1,1,1,,WGS84,2019,Eida Fletes
9013,PRESERVED_SPECIMEN,Ocotea rivularis,3991100,GBIF,,Manuel Vargas,,8.691569,-84.047411,Estación Río Bonito.,1998.0,1,1,1,,WGS84,2019,Eida Fletes
9014,PRESERVED_SPECIMEN,Ocotea rivularis,3991102,GBIF,,Manuel Vargas,,8.691569,-84.047411,Estación Río Bonito.,1998.0,1,1,1,,WGS84,2019,Eida Fletes
12420,PRESERVED_SPECIMEN,Ocotea rivularis,4374963,GBIF,,Manuel Vargas,,8.759167,-83.5125,"Bajo de San Juan, a 1500 metros al Suroeste del pueblo, Río Chocuaco arriba, finca del estado.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
12423,PRESERVED_SPECIMEN,Ocotea rivularis,4374962,GBIF,,Manuel Vargas,,8.759167,-83.5125,"Bajo de San Juan, a 1500 metros al Suroeste del pueblo, Río Chocuaco arriba, finca del estado.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
12427,PRESERVED_SPECIMEN,Ocotea rivularis,4374961,GBIF,,Manuel Vargas,,8.759167,-83.5125,"Bajo de San Juan, a 1500 metros al Suroeste del pueblo, Río Chocuaco arriba, finca del estado.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
12447,PRESERVED_SPECIMEN,Ocotea rivularis,4358470,GBIF,,Manuel Vargas,,8.781944000000001,-83.476389,"Osa. Bajo de San Juan, junto al Río Chocuaco.",2002.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
17505,PRESERVED_SPECIMEN,Ocotea rivularis,48823,GBIF,Grayum 4069,Manuel Vargas,,8.7,-83.56,"Valley of Laguna Chocuaco, ca. 9 km W of Rincón de Osa. Elev. ca. 200 m. 8º41-43'N, 83º34'W. Collected with Gerardo Herrera, George Schatz, Carlos Valerín & Felipe Chavarría.",1984.0,1,1,1,,WGS84,2019,Michael H. Grayum
17591,PRESERVED_SPECIMEN,Ocotea rivularis,50768,GBIF,Hammel 16972,Manuel Vargas,,8.66,-83.56,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; in bottom of S end of valley along Río Riyito.",1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|Gerardo Herrera Ch.|María Marta Chavarría|Ángel Solís
17614,PRESERVED_SPECIMEN,Ocotea rivularis,51053,GBIF,Hammel 16797,Manuel Vargas,,8.73,-83.6,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado; in forest on trail to Drake on ridge at N end of valley; on slope leading down to Guerra.",1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|Rafael Robles|Juan Marín
17622,PRESERVED_SPECIMEN,Ocotea rivularis,51278,GBIF,Chavarría García 514,Manuel Vargas,,8.677778,-83.20277800000001,"R.N.V.S. Golfito Entre Golfito y Villa Briceño, a 4.5 Km del Campo de aterrizaje. Camino norte, Quebrada Gamboa.",1992.0,1,1,1,,WGS84,2019,Ulises Chavarría|Barry E. Hammel|Cristina Formoso|Nora Martín
17723,PRESERVED_SPECIMEN,Ocotea rivularis,54383,GBIF,Induni Alfaro 271,Manuel Vargas,,8.62,-83.68,Parque Nacional Corcovado Los Planes. Ribera del Río Claro.,1991.0,1,1,1,,WGS84,2019,Gustavo Induni
17728,PRESERVED_SPECIMEN,Ocotea rivularis,54458,GBIF,Jiménez Madrigal 1047,Manuel Vargas,,8.68,-83.58,Cantón de Osa Rancho Quemado. Rincón de Osa.,1992.0,1,1,1,,WGS84,2019,Quírico Jiménez|Víctor H. Ramírez
17736,PRESERVED_SPECIMEN,Ocotea rivularis,54614,GBIF,Aguilar Fernández 1222,Manuel Vargas,,8.7,-83.51,Cantón de Osa Agua Buena,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
17748,PRESERVED_SPECIMEN,Ocotea rivularis,54789,GBIF,Aguilar Fernández 661,Manuel Vargas,,8.69,-83.55,Reserva Forestal Golfo Dulce Rancho Quemado. Rincón de Osa.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
17891,PRESERVED_SPECIMEN,Ocotea rivularis,56862,GBIF,Solomon 19270,Manuel Vargas,,8.66666,-83.56666,"Reserva Forestal Golfo Dulce. Rancho Quemado, ca. 15 km W of Rincón de Osa. Wet forest. Along Quebrada Quebradón and Ridge above it.",1990.0,1,1,1,,WGS84,2019,James C. Solomon
25065,PRESERVED_SPECIMEN,Ocotea rivularis,157790,GBIF,,Manuel Vargas,,8.68,-83.58,Rancho Quemado. Rincón de Osa.,1992.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
25070,PRESERVED_SPECIMEN,Ocotea rivularis,162085,GBIF,,Manuel Vargas,,8.77,-83.39,"R.F. Golfo Dulce Cortés. Los Mogos, cabeceras de Quebrada Taboga.",1991.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
25073,PRESERVED_SPECIMEN,Ocotea rivularis,168718,GBIF,,Manuel Vargas,,8.67,-83.2,"R.V.S. Golfito Entre Golfito y Villa Briceño, a 4.5 km del Campo de aterrizaje. Camino norte, Quebrada Gamboa.",1992.0,1,1,1,,WGS84,2019,"Chavarría, Ulises"
25076,PRESERVED_SPECIMEN,Ocotea rivularis,173436,GBIF,,Manuel Vargas,,8.64,-83.16,R.V.S. Golfito Valle de Coto Colorado. Golfito. Bosque primario en el sendero camino a las torres por B. Bellavista.,1993.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
25077,PRESERVED_SPECIMEN,Ocotea rivularis,173616,GBIF,,Manuel Vargas,,8.76,-83.63,"R.F. Golfo Dulce Rancho Quemado, Fila Guerra. Rincón.Bosque primario.",1991.0,1,1,1,,WGS84,2019,"Quesada, Freddy"
25097,PRESERVED_SPECIMEN,Ocotea rivularis,232880,GBIF,,Manuel Vargas,,8.68,-83.21,"P. N. Piedras Blancas Reserva privada Quebrada Chorro, near la Gamba.",2000.0,1,1,1,,WGS84,2019,"Huber, Werner"
25099,PRESERVED_SPECIMEN,Ocotea rivularis,235724,GBIF,,Manuel Vargas,,8.68,-83.21,"P.N. Piedras Blancas Bosque Esquinas, Quebrada Chorro (near La Gamba).",,1,1,1,,WGS84,2019,"Schaber, Daniel"
29671,UNKNOWN,Ocotea rivularis,100081590,GBIF,,Manuel Vargas,,8.68333,-83.2167,"P.N. Piedras Blancas, near the Biological Station La Gamba on the fila (research plot)",1999.0,1,1,1,,WGS84,2019,"Huber Werner, Weissenhofer Anton"
