,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1622,PRESERVED_SPECIMEN,Ocotea valerioides,1561712,GBIF,,Manuel Vargas,,10.216667,-83.886111,"La Union, Rio Corinto; del puente, carretera a Guapiles, 500 m aguas arriba, margen derecha.",1991.0,1,1,1,,WGS84,2019,Gerardo Herrera
1853,PRESERVED_SPECIMEN,Ocotea valerioides,1567613,GBIF,,Manuel Vargas,,9.425,-83.059722,"Amubri, Alto Lari, Siguiendo la fila entre Rio Dapari y Rio Lari, bajando hasta el cauce del mismo.",1992.0,1,1,1,,WGS84,2019,Gerardo Herrera
1976,PRESERVED_SPECIMEN,Ocotea valerioides,1571316,GBIF,,Manuel Vargas,,10.833333,-85.25,"Colonia La Libertad, Rio Jala Piedras.",1991.0,1,1,1,,WGS84,2019,Gerardo Rivera
2035,PRESERVED_SPECIMEN,Ocotea valerioides,1573391,GBIF,,Manuel Vargas,,10.2,-83.863889,Guapiles. Alrededores Rio Costa Rica. 1.5 Km S. del puente.,1994.0,1,1,1,,WGS84,2019,Quirico Jiménez
2996,PRESERVED_SPECIMEN,Ocotea valerioides,1605450,GBIF,,Manuel Vargas,,9.511667,-82.955556,"Alrededores de Amubri, cacaotal, area de repasto.",1995.0,1,1,1,,WGS84,2019,Angela Mora Maroto
4175,PRESERVED_SPECIMEN,Ocotea valerioides,2853146,GBIF,,Manuel Vargas,,10.570833,-84.913889,Laguna Cote.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
4176,PRESERVED_SPECIMEN,Ocotea valerioides,2853144,GBIF,,Manuel Vargas,,10.570833,-84.913889,Laguna Cote.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
4177,PRESERVED_SPECIMEN,Ocotea valerioides,2853145,GBIF,,Manuel Vargas,,10.570833,-84.913889,Laguna Cote.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
4178,PRESERVED_SPECIMEN,Ocotea valerioides,2853143,GBIF,,Manuel Vargas,,10.570833,-84.913889,Laguna Cote.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
4869,PRESERVED_SPECIMEN,Ocotea valerioides,2919034,GBIF,,Manuel Vargas,,10.2,-83.891667,en la orilla,1990.0,1,1,1,,WGS84,2019,Barry Hammel
5447,PRESERVED_SPECIMEN,Ocotea valerioides,2914465,GBIF,,Manuel Vargas,,10.033333,-83.408333,"Along Quebrada Canabral, from Rio Barbilla to ca. 1.5 km upstream.",1988.0,1,1,1,,WGS84,2019,Michael H. Grayum
6092,PRESERVED_SPECIMEN,Ocotea valerioides,3367821,GBIF,,Manuel Vargas,,10.486111,-83.716667,"Cariari, Palmitos, El traiangulo, Las Brisas. Finca Guillermo Acosta.",2000.0,1,1,1,,WGS84,2019,L. Acosta
6093,PRESERVED_SPECIMEN,Ocotea valerioides,3367820,GBIF,,Manuel Vargas,,10.486111,-83.716667,"Cariari, Palmitos, El traiangulo, Las Brisas. Finca Guillermo Acosta.",2000.0,1,1,1,,WGS84,2019,L. Acosta
9058,PRESERVED_SPECIMEN,Ocotea valerioides,4026337,GBIF,,Manuel Vargas,,10.236388999999999,-84.117778,"9km NE de Vara Blanca, Finca Murillo, Transecto INBio-OET-ALAS.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9059,PRESERVED_SPECIMEN,Ocotea valerioides,4026340,GBIF,,Manuel Vargas,,10.236388999999999,-84.117778,"9km NE de Vara Blanca, Finca Murillo, Transecto INBio-OET-ALAS.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9060,PRESERVED_SPECIMEN,Ocotea valerioides,4026339,GBIF,,Manuel Vargas,,10.236388999999999,-84.117778,"9km NE de Vara Blanca, Finca Murillo, Transecto INBio-OET-ALAS.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9061,PRESERVED_SPECIMEN,Ocotea valerioides,4026338,GBIF,,Manuel Vargas,,10.236388999999999,-84.117778,"9km NE de Vara Blanca, Finca Murillo, Transecto INBio-OET-ALAS.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
