,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1222,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,1554414,GBIF,,Manuel Vargas,,8.723611,-83.580556,Rancho Quemado; Fila Rancho; bosque primario en el sendero a Cerro Brujo.,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1567,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,1561524,GBIF,,Manuel Vargas,,9.713889,-84.391667,"Santa Rosa de Puriscal. Bosque primario en las margenes del Rio Negro, falda S.E de la Fila La Cangreja",1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1812,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,1566397,GBIF,,Manuel Vargas,,10.880556,-85.401389,Estacion San Ramon. La Campana. Dos Rios.,1994.0,1,1,1,,WGS84,2019,Dunia Garcia
1992,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,1572250,GBIF,,Manuel Vargas,,8.716667,-83.580556,"Rancho Quemado, camino por el tanque de agua.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2051,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,1573770,GBIF,,Manuel Vargas,,10.316111,-84.711667,San Ramon. Rio Penas Blancas. Refugio Eladio s. Sendero Eston s.,1992.0,1,1,1,,WGS84,2019,Erick Bello
2322,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,1588774,GBIF,,Manuel Vargas,,8.7,-83.583333,"Forest of Conservation group of Rancho Quemado. W of Rancho Quemado, ridge with cloud forest tendencies.  -- Shonle & Anderson",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
2496,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,1596094,GBIF,,Manuel Vargas,,10.316667,-84.716667,Rio Penas Blancas.,1988.0,1,1,1,,WGS84,2019,Erick Bello
4274,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828217,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4276,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828226,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4277,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828219,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4278,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828218,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4279,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828221,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4280,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828216,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4281,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828222,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4282,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828220,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4283,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828215,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4284,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828214,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4285,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828224,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4286,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828225,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4287,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828223,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4288,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2828227,GBIF,,Manuel Vargas,,10.98,-85.416667,Monte Cele.,1997.0,1,1,1,,WGS84,2019,Jose González; Freddy A. Quesada ; Calixto Moraga ; Petrona Ríos Castro
4792,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2917107,GBIF,,Manuel Vargas,,10.316667,-84.716667,Rio Penas Blancas.,1988.0,1,1,1,,WGS84,2019,William Haber
4893,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2919375,GBIF,,Manuel Vargas,,8.7,-83.594444,"Rancho Quemado, en fila directamente al Oeste del pueblo; tierra del grupo de conservacionistas de Rancho Quemado.",1991.0,1,1,1,,WGS84,2019,Barry Hammel
5240,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2906725,GBIF,,Manuel Vargas,,10.316667,-84.716667,Rio Penas Blancas. Parcela de Badilla,1988.0,1,1,1,,WGS84,2019,Erick Bello
5241,PRESERVED_SPECIMEN,Oreomunnea pterocarpa,2906751,GBIF,,Manuel Vargas,,10.316667,-84.716668,Rio Penas Blancas.,1988.0,1,1,1,,WGS84,2019,Erick Bello
