,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
884,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,1508384,GBIF,,Manuel Vargas,,9.789166999999999,-84.461667,Cerros de Turrubares. Llano Caite. Bosque y tacotales por sendero a Carmona,1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1385,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,1558905,GBIF,,Manuel Vargas,,10.3,-84.800003,"Monteverde, Pacific slope in community.",1990.0,1,1,1,,WGS84,2019,William Haber
2432,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,1594261,GBIF,,Manuel Vargas,,10.3,-84.783333,Vicinity of Finca Penas Blancas. E slope of Cerro Centinelas.,1985.0,1,1,1,,WGS84,2019,Michael H. Grayum
2473,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,1595431,GBIF,,Manuel Vargas,,10.3,-84.80000600000001,"Monteverde, Pacific slope, upper community, lower montane wet forest.",1990.0,1,1,1,,WGS84,2019,William Haber
2771,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,1599362,GBIF,,Manuel Vargas,,10.216667,-84.616667,Campamento Rio San Lorencito.,1989.0,1,1,1,,WGS84,2019,Jorge Gómez Laurito
2959,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,1604316,GBIF,,Manuel Vargas,,10.175,-84.508333,"Cerca a Balsa, ca. 12 Km N. E. de San Ramon.",1995.0,1,1,1,,WGS84,2019,Barry Hammel
2961,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,1604327,GBIF,,Manuel Vargas,,10.880556,-85.408333,Sector San Ramon. Dos Rios. Sendero a Nispero y Argentina.,1995.0,1,1,1,,WGS84,2019,Roberto Espinoza
3153,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,1580646,GBIF,,Manuel Vargas,,10.3,-84.80000600000001,"Monteverde, upper community on Campbell farm. Pacific slope.",1991.0,1,1,1,,WGS84,2019,William Haber
3329,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,1584302,GBIF,,Manuel Vargas,,10.294444,-84.75,"Rio Penas Blancas, Ref. Aleman s.",1992.0,1,1,1,,WGS84,2019,Erick Bello
4728,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,2842717,GBIF,,Manuel Vargas,,9.781449,-83.721761,Rios Tuas y Pejibaye,1999.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Victor Ramírez
6612,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,3428088,GBIF,,Manuel Vargas,,9.019791,-82.96498100000001,"Estación Pittier, Sendero Pittier",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
7208,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,3525093,GBIF,,Manuel Vargas,,9.733333,-84.236111,"Fila del Narajal.  Falda sur.  San Lorenzo, sendero a Tiquiritos.",2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; R. J. Abarca
7210,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,3525094,GBIF,,Manuel Vargas,,9.733333,-84.236111,"Fila del Narajal.  Falda sur.  San Lorenzo, sendero a Tiquiritos.",2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; R. J. Abarca
9187,PRESERVED_SPECIMEN,Oreopanax donnell-smithii,4005909,GBIF,,Manuel Vargas,,10.266667,-84.81666700000001,Camino a San Luis de Monteverde.,2002.0,1,1,1,,WGS84,2019,Leslie Roger Landrum
