,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1389,PRESERVED_SPECIMEN,Oreopanax nubigenus,1558907,GBIF,,Manuel Vargas,,10.35,-84.8,2 km NE Santa Elena on border of Monteverde Reserve. Upper San Gerardo.,1988.0,1,1,1,,WGS84,2019,William Haber
2431,PRESERVED_SPECIMEN,Oreopanax nubigenus,1594262,GBIF,,Manuel Vargas,,10.097222,-84.06666700000001,Along road through wet cloud forest on flat area straddiing continental divide at Alto Roble (N base of Cerro Chompipe),1984.0,1,1,1,,WGS84,2019,Michael H. Grayum
2946,PRESERVED_SPECIMEN,Oreopanax nubigenus,1604293,GBIF,,Manuel Vargas,,10.133333,-84.116667,Estacion Barva.,1995.0,1,1,1,,WGS84,2019,Jose González
3271,PRESERVED_SPECIMEN,Oreopanax nubigenus,1583111,GBIF,,Manuel Vargas,,10.355556,-84.830556,Reserva Biologica del Colegio de Monteverde,1992.0,1,1,1,,WGS84,2019,Erick Bello
3273,PRESERVED_SPECIMEN,Oreopanax nubigenus,1583112,GBIF,,Manuel Vargas,,10.308333,-84.783334,"Sendero Pantanoso, Valle Torre.",1991.0,1,1,1,,WGS84,2019,Erick Bello
4604,PRESERVED_SPECIMEN,Oreopanax nubigenus,2836986,GBIF,,Manuel Vargas,,10.133333,-84.12083299999999,Estacion Barva. Finca colindante al oeste del parque.,1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas
4605,PRESERVED_SPECIMEN,Oreopanax nubigenus,2836988,GBIF,,Manuel Vargas,,10.133333,-84.12083299999999,Estacion Barva. Finca colindante al oeste del parque.,1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas
4607,PRESERVED_SPECIMEN,Oreopanax nubigenus,2836987,GBIF,,Manuel Vargas,,10.133333,-84.12083299999999,Estacion Barva. Finca colindante al oeste del parque.,1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas
4608,PRESERVED_SPECIMEN,Oreopanax nubigenus,2836985,GBIF,,Manuel Vargas,,10.133333,-84.12083299999999,Estacion Barva. Finca colindante al oeste del parque.,1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas
5270,PRESERVED_SPECIMEN,Oreopanax nubigenus,2908927,GBIF,,Manuel Vargas,,10.138333,-84.109167,"Upper Volcan Barva. 0.5 km below main trail to Lag. Barva, via old  Sendero Transecto .           -Treeplot 2750-3",1992.0,1,1,1,,WGS84,2019,Brad Boyle
5288,PRESERVED_SPECIMEN,Oreopanax nubigenus,2909044,GBIF,,Manuel Vargas,,10.168611,-84.113333,"Sendero del Transecto. On flat portion of ridge during descent from Cerro Las Marias to old road from San Rafael, Vara Blanca to refugio at 2070 m. Montane pluvial forest.      Transect 2250-1",1992.0,1,1,1,,WGS84,2019,Brad Boyle
5299,PRESERVED_SPECIMEN,Oreopanax nubigenus,2909146,GBIF,,Manuel Vargas,,10.177222,-84.1075,Sendero del Transecto. In abandoned pasture near refugio at 2070 m.,1992.0,1,1,1,,WGS84,2019,Brad Boyle
6073,PRESERVED_SPECIMEN,Oreopanax nubigenus,3367054,GBIF,,Manuel Vargas,,10.125,-84.119444,"Barva Station, pastures ca. 1 km SE of Station at Park limit.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6896,PRESERVED_SPECIMEN,Oreopanax nubigenus,3493106,GBIF,,Manuel Vargas,,10.753910000000001,-85.129212,Volcán Miravalles,2002.0,1,1,1,,WGS84,2019,Jose Luis Chaves; Celso Alvarado ; Alexander Alvarado Mendez ; Aurelio López ; Isaac López ; Gerardo Carballo
7516,PRESERVED_SPECIMEN,Oreopanax nubigenus,3790262,GBIF,,Manuel Vargas,,10.044444,-84.04083299999999,Concepción Calle Leones.,2003.0,1,1,1,,WGS84,2019,Evelio Alfaro; Jose González
7518,PRESERVED_SPECIMEN,Oreopanax nubigenus,3790260,GBIF,,Manuel Vargas,,10.044444,-84.04083299999999,Concepción Calle Leones.,2003.0,1,1,1,,WGS84,2019,Evelio Alfaro; Jose González
7519,PRESERVED_SPECIMEN,Oreopanax nubigenus,3790261,GBIF,,Manuel Vargas,,10.044444,-84.04083299999999,Concepción Calle Leones.,2003.0,1,1,1,,WGS84,2019,Evelio Alfaro; Jose González
