,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1221,PRESERVED_SPECIMEN,Oreopanax paramicola,1554432,GBIF,,Manuel Vargas,,9.555556,-83.758333,Paramo Buena Vista; paramo alterado en los alrededores de las torres del ICE,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
11876,PRESERVED_SPECIMEN,Oreopanax paramicola,4280775,GBIF,,Manuel Vargas,,9.519167,-84.045,"Faja Costena Quepos. Cerro San Isidro, Falda Sur en el camino hacia Esquipulas.",2010.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
11878,PRESERVED_SPECIMEN,Oreopanax paramicola,4280776,GBIF,,Manuel Vargas,,9.519167,-84.045,"Faja Costena Quepos. Cerro San Isidro, Falda Sur en el camino hacia Esquipulas.",2010.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
11880,PRESERVED_SPECIMEN,Oreopanax paramicola,4280773,GBIF,,Manuel Vargas,,9.519167,-84.045,"Faja Costena Quepos. Cerro San Isidro, Falda Sur en el camino hacia Esquipulas.",2010.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
11882,PRESERVED_SPECIMEN,Oreopanax paramicola,4280774,GBIF,,Manuel Vargas,,9.519167,-84.045,"Faja Costena Quepos. Cerro San Isidro, Falda Sur en el camino hacia Esquipulas.",2010.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
12059,PRESERVED_SPECIMEN,Oreopanax paramicola,4306287,GBIF,,Manuel Vargas,,9.617778,-83.847778,"R. B. Cerro Las Vueltas, Los Quetzales.",2012.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Juan Francisco Morales Quirós
12061,PRESERVED_SPECIMEN,Oreopanax paramicola,4306289,GBIF,,Manuel Vargas,,9.617778,-83.847778,"R. B. Cerro Las Vueltas, Los Quetzales.",2012.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Juan Francisco Morales Quirós
12064,PRESERVED_SPECIMEN,Oreopanax paramicola,4306288,GBIF,,Manuel Vargas,,9.617778,-83.847778,"R. B. Cerro Las Vueltas, Los Quetzales.",2012.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Juan Francisco Morales Quirós
12065,PRESERVED_SPECIMEN,Oreopanax paramicola,4306286,GBIF,,Manuel Vargas,,9.617778,-83.847778,"R. B. Cerro Las Vueltas, Los Quetzales.",2012.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Juan Francisco Morales Quirós
16057,PRESERVED_SPECIMEN,Oreopanax paramicola,3208806,GBIF,Knapp 10011,Manuel Vargas,,9.090216999999999,-82.869867,"12.3 km NE of Estación Pittier, SE slopes of Cerro Itamut, ridge above small quebrada running between Itamut and El Pyramide.",2006.0,1,1,1,,WGS84,2019,Sandy Knapp|Alex K. Monro
16683,PRESERVED_SPECIMEN,Oreopanax paramicola,344181,GBIF,Davidse 23876,Manuel Vargas,,9.025,-82.81666700000001,"Cordillera de Talamanca, upper slopes of Cerro Echandi.",1983.0,1,1,1,,WGS84,2019,Gerrit Davidse|Luis Diego Gómez P.|Alfredo Grijalva P.|Isidro A. Chacón G.|Rafael Chacón|Gerardo Herrera Ch.
