,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
10,PRESERVED_SPECIMEN,Pachira quinata,En proceso de catalogación,GBIF,FC 20078,Manuel Vargas,,10.30095,-74.65726,Las Pavitas Finca Las Pavas,2014.0,1,1,1,,WGS84,2019,Francisco Castro
11,PRESERVED_SPECIMEN,Pachira quinata,En proceso de catalogación,GBIF,MM 078,Manuel Vargas,,10.30095,-74.65726,Las Pavitas Finca Las Pavas,2014.0,1,1,1,,WGS84,2019,Mariana Medrano
20,HUMAN_OBSERVATION,Pachira quinata,9818481,GBIF,,Manuel Vargas,,10.345166,-85.338755,,2011.0,1,1,1,,WGS84,2019,Lena Struwe
21,HUMAN_OBSERVATION,Pachira quinata,9818489,GBIF,,Manuel Vargas,,10.345166,-85.338755,,2011.0,1,1,1,,WGS84,2019,Lena Struwe
920,PRESERVED_SPECIMEN,Pachira quinata,1510008,GBIF,,Manuel Vargas,,10.833333,-85.616668,Estacion Horizontes.,1996.0,1,1,1,,WGS84,2019,Alvaro Fernandez
1344,PRESERVED_SPECIMEN,Pachira quinata,1557887,GBIF,,Manuel Vargas,,9.766667,-84.533333,INBio parataxonomy course.,1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
1408,PRESERVED_SPECIMEN,Pachira quinata,1559318,GBIF,,Manuel Vargas,,10.266667,-84.833333,"Monteverde, road from Santa Elena to village of San Luis and Lagarto. Pacific slope, moist forest.",1990.0,1,1,1,,WGS84,2019,William Haber
1851,PRESERVED_SPECIMEN,Pachira quinata,1567585,GBIF,,Manuel Vargas,,9.858333,-84.625,Camino a Playa Guacalillo.,1993.0,1,1,1,,WGS84,2019,Quirico Jiménez
1930,PRESERVED_SPECIMEN,Pachira quinata,1569916,GBIF,,Manuel Vargas,,9.889444000000001,-85.368889,"Bejuco, Corozalito. Finca de Eduardo Quiros.",1994.0,1,1,1,,WGS84,2019,Armando Estrada
1975,PRESERVED_SPECIMEN,Pachira quinata,1571299,GBIF,,Manuel Vargas,,10.35,-85.35,"Borde de Laguna, Sendero La Venada y Sendero Guayaconcito.",1994.0,1,1,1,,WGS84,2019,Ulises Chavarría
