,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1993,PRESERVED_SPECIMEN,Parathesis acostensis,1572300,GBIF,,Manuel Vargas,,9.722222,-84.279167,"Bosque primario en la fila, cabeceras de Quebrada Colorado.",1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2119,PRESERVED_SPECIMEN,Parathesis acostensis,1577161,GBIF,,Manuel Vargas,,8.7,-83.5,"Aguabuena, 3 Km W of Rincon. One-hectare permanent sample plot 800 m N of the house of Henry Monge in well-drained.",1993.0,1,1,1,,WGS84,2019,Karsten Thomsen
2142,PRESERVED_SPECIMEN,Parathesis acostensis,1578231,GBIF,,Manuel Vargas,,8.683333,-83.594445,"Rancho Quemado, Sector Oeste.",1992.0,1,1,1,,WGS84,2019,Juan Marin
2872,PRESERVED_SPECIMEN,Parathesis acostensis,1602300,GBIF,,Manuel Vargas,,10.05,-83.43333299999999,Along Rio Madre de Dios.,1988.0,1,1,1,,WGS84,2019,Michael H. Grayum
3231,PRESERVED_SPECIMEN,Parathesis acostensis,1582235,GBIF,,Manuel Vargas,,8.616667,-83.733334,Estacion San Pedrillo. Sendero que va al limite,1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3295,PRESERVED_SPECIMEN,Parathesis acostensis,1583537,GBIF,,Manuel Vargas,,8.660833,-83.713889,Playa Campanario o San Josecito. Sierpe. Primary forest.,1993.0,1,1,1,,WGS84,2019,Patrick Harmon
3302,PRESERVED_SPECIMEN,Parathesis acostensis,1583706,GBIF,,Manuel Vargas,,8.566667,-83.516667,"Estacion Los Patos, Cerro Degra.",1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4044,PRESERVED_SPECIMEN,Parathesis acostensis,2850170,GBIF,,Manuel Vargas,,9.693056,-84.37083299999999,Mastatal. Ribera Quebrada Grande. Camino a Alto Concepcion.,1998.0,1,1,1,,WGS84,2019,L. Acosta
4351,PRESERVED_SPECIMEN,Parathesis acostensis,2830495,GBIF,,Manuel Vargas,,9.788889,-84.268056,"Rio Jorco, Quebrada Pablito, cerca Bajo Cardenas.",1998.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
4352,PRESERVED_SPECIMEN,Parathesis acostensis,2830493,GBIF,,Manuel Vargas,,9.788889,-84.268056,"Rio Jorco, Quebrada Pablito, cerca Bajo Cardenas.",1998.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
4353,PRESERVED_SPECIMEN,Parathesis acostensis,2830496,GBIF,,Manuel Vargas,,9.788889,-84.268056,"Rio Jorco, Quebrada Pablito, cerca Bajo Cardenas.",1998.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
4354,PRESERVED_SPECIMEN,Parathesis acostensis,2830494,GBIF,,Manuel Vargas,,9.788889,-84.268056,"Rio Jorco, Quebrada Pablito, cerca Bajo Cardenas.",1998.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
4355,PRESERVED_SPECIMEN,Parathesis acostensis,2830492,GBIF,,Manuel Vargas,,9.788889,-84.268056,"Rio Jorco, Quebrada Pablito, cerca Bajo Cardenas.",1998.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
4388,PRESERVED_SPECIMEN,Parathesis acostensis,2831553,GBIF,,Manuel Vargas,,9.698611,-84.268056,Colorado. Tacotales y bosques residuales cerca del cruce sobre la Quebrada Colorado.,1999.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
