,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2141,PRESERVED_SPECIMEN,Parathesis aeruginosa,1578201,GBIF,,Manuel Vargas,,8.616667,-83.466667,"Trocha La Tarde. 10 Km SO de Rincon, aguas arriba Rio Rincon. Bosque primario",1988.0,1,1,1,,WGS84,2019,Barry Hammel
14671,PRESERVED_SPECIMEN,Parathesis aeruginosa,2761149,GBIF,Coronado González 1921,Manuel Vargas,,14.373332999999999,-85.054722,"Municipio del Cua Bocay, Reserva de Bosawas, comunidad de San Andrés, Caño Susumwas",2005.0,1,1,1,,WGS84,2019,I. Coronado G.|M. Barrios|G. Pérez|M. Mercado
14672,PRESERVED_SPECIMEN,Parathesis aeruginosa,2761166,GBIF,Coronado González 1938,Manuel Vargas,,14.373332999999999,-85.054722,"Municipio del Cua Bocay, Reserva de Bosawas, comunidad de San Andrés, Caño Susumwas",2005.0,1,1,1,,WGS84,2019,I. Coronado G.|M. Barrios|G. Pérez|M. Mercado
14702,PRESERVED_SPECIMEN,Parathesis aeruginosa,2767329,GBIF,Coronado González 1999,Manuel Vargas,,14.366667000000001,-85.05,"Municipio del Cua Bocay, Reserva de Bosawas, comunidad de San Andrés, Caño Susumwas",2005.0,1,1,1,,WGS84,2019,I. Coronado G.|M. Barrios|G. Pérez|M. Mercado
17120,PRESERVED_SPECIMEN,Parathesis aeruginosa,400420,GBIF,Castro C. 2402,Manuel Vargas,,13.016667,-85.783333,"Hacienda La Bonanza, aprox. 20 km de la ciudad de Matagalpa, Quebrada Malacal; bosque de galería",1982.0,1,1,1,,WGS84,2019,D. Castro C.
17163,PRESERVED_SPECIMEN,Parathesis aeruginosa,402472,GBIF,Herrera Chacón 86,Manuel Vargas,,10.079445,-84.44166700000001,San Isidro de San Ramón.,1986.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
17176,PRESERVED_SPECIMEN,Parathesis aeruginosa,402825,GBIF,Soza 444,Manuel Vargas,,12.183333,-84.3,"Estación Experimental El Recreo, ca de 1.5 km al SE de la estación; bosque húmedo tropical",1985.0,1,1,1,,WGS84,2019,D. Soza|Alfredo Grijalva P.|D.E. Ríos|M. Cisneros|F. Morales
17190,PRESERVED_SPECIMEN,Parathesis aeruginosa,403230,GBIF,Sandino 1648,Manuel Vargas,,12.15,-84.283333,"Estación Experimental El Recreo, sureste de Río Mico, sur de Bambuzales",1981.0,1,1,1,,WGS84,2019,J.C. Sandino
29694,UNKNOWN,Parathesis aeruginosa,100080950,GBIF,,Manuel Vargas,,8.68333,-83.2167,"Parque Nacional Esquinas, Sendero Heliconius near the Esquinas Rainforest-Lodge",1998.0,1,1,1,,WGS84,2019,"Huber Werner, Weissenhofer Anton"
29695,UNKNOWN,Parathesis aeruginosa,100080951,GBIF,,Manuel Vargas,,8.68333,-83.2167,"Bosque de Los Austriacos Primary Forest-Research Plot, La Gamba",1993.0,1,1,1,,WGS84,2019,"Huber Werner, Weissenhofer Anton"
33760,PRESERVED_SPECIMEN,Parathesis aeruginosa,V0065918F,GBIF,17659,Manuel Vargas,,10.0114,-83.9519,,1913.0,1,1,1,,WGS84,2019,A. Tonduz
33835,PRESERVED_SPECIMEN,Parathesis aeruginosa,,GBIF,5081,Manuel Vargas,,9.6667,-84.0,,1943.0,1,1,1,,WGS84,2019,A. F. Skutch
34066,PRESERVED_SPECIMEN,Parathesis aeruginosa,V0065917F,GBIF,17659,Manuel Vargas,,10.0114,-83.9519,,1913.0,1,1,1,,WGS84,2019,A. Tonduz
35017,PRESERVED_SPECIMEN,Parathesis aeruginosa,M-0164843 / 555565 / 234518,GBIF,,Manuel Vargas,,10.0,-84.0,Bois de Tremedal près de San Ramon,1913.0,1,1,1,,WGS84,2019,"Tonduz, A. (no. 17659)"
