,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2726,PRESERVED_SPECIMEN,Parathesis glendae,1598477,GBIF,,Manuel Vargas,,9.420833,-82.983333,"Quebrada Crori, Crorina.",1989.0,1,1,1,,WGS84,2019,Abelardo Chacon
6548,PRESERVED_SPECIMEN,Parathesis glendae,3425535,GBIF,,Manuel Vargas,,9.667239,-83.028165,Sendero Espavel,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Geovanny Sancho ; Gerardo Soto
6549,PRESERVED_SPECIMEN,Parathesis glendae,3425534,GBIF,,Manuel Vargas,,9.667239,-83.028165,Sendero Espavel,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Geovanny Sancho ; Gerardo Soto
6553,PRESERVED_SPECIMEN,Parathesis glendae,3425533,GBIF,,Manuel Vargas,,9.667239,-83.028165,Sendero Espavel,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Geovanny Sancho ; Gerardo Soto
9927,PRESERVED_SPECIMEN,Parathesis glendae,4099247,GBIF,,Manuel Vargas,,9.619194,-83.26275,Entre Río Sucio y Laguna Doroteri.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9928,PRESERVED_SPECIMEN,Parathesis glendae,4099248,GBIF,,Manuel Vargas,,9.619194,-83.26275,Entre Río Sucio y Laguna Doroteri.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9930,PRESERVED_SPECIMEN,Parathesis glendae,4099251,GBIF,,Manuel Vargas,,9.619194,-83.26275,Entre Río Sucio y Laguna Doroteri.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9931,PRESERVED_SPECIMEN,Parathesis glendae,4099250,GBIF,,Manuel Vargas,,9.619194,-83.26275,Entre Río Sucio y Laguna Doroteri.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9932,PRESERVED_SPECIMEN,Parathesis glendae,4099249,GBIF,,Manuel Vargas,,9.619194,-83.26275,Entre Río Sucio y Laguna Doroteri.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
17102,PRESERVED_SPECIMEN,Parathesis glendae,399988,GBIF,Chacón Gamboa 240,Manuel Vargas,,9.42,-82.98,"Parque Internacional La Amistad, Quebrada Crori, Croriña.",1989.0,1,1,1,,WGS84,2019,Abelardo Chacón
25168,PRESERVED_SPECIMEN,Parathesis glendae,210425,GBIF,,Manuel Vargas,,9.42,-82.98,"P.I. La Amistad Quebrada Crori, Croriña",1989.0,1,1,1,,WGS84,2019,"Chacón, Abelardo M."
39913,PRESERVED_SPECIMEN,Parathesis glendae,MA-01-00760444,GBIF,2028,Manuel Vargas,,9.6603,-83.0197,Limón: Limón. R.B. Hitoy Cerere. Cuenca del Estrella. Sendero El Espavel,2000.0,1,1,1,,WGS84,2019,L. Acosta & al
45191,PRESERVED_SPECIMEN,Parathesis glendae,122452,GBIF,,Manuel Vargas,,9.420833,-82.983333,"Parque Internac. La Amistad Quebrada Crori, Crorina.",1989.0,1,1,1,,WGS84,2019,A. Chacón
