,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1227,PRESERVED_SPECIMEN,Pentaplaris doroteae,1554999,GBIF,,Manuel Vargas,,8.986111,-83.463889,Palmar Norte; Fila Retinto; bosque primario en las cercanias del tanque.,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1228,PRESERVED_SPECIMEN,Pentaplaris doroteae,1554998,GBIF,,Manuel Vargas,,8.983333,-83.466667,"Fila Retinta; frente a Palmar Norte, Quebrada Benjamin.",1993.0,1,1,1,,WGS84,2019,Barry Hammel
4861,PRESERVED_SPECIMEN,Pentaplaris doroteae,2918924,GBIF,,Manuel Vargas,,8.983333,-83.466667,"fachada sur de Fila Retinta, al norte de Palmar Norte, filas y laderas del canon de la Quebrada Benjamin.",1989.0,1,1,1,,WGS84,2019,Barry Hammel
4863,PRESERVED_SPECIMEN,Pentaplaris doroteae,2918923,GBIF,,Manuel Vargas,,8.983333,-83.466667,"fachada sur de Fila Retinta, al norte de Palmar Norte, filas y laderas del canon de la Quebrada Benjamin.",1989.0,1,1,1,,WGS84,2019,Barry Hammel
4864,PRESERVED_SPECIMEN,Pentaplaris doroteae,2918938,GBIF,,Manuel Vargas,,8.983333,-83.466667,Fila Retinto; cerros justamente al norte de Palmar Norte; a lo largo de Quebrada Benjamin desde la toma de agua para la municipalidad hacia abajo.,1990.0,1,1,1,,WGS84,2019,Barry Hammel
14102,PRESERVED_SPECIMEN,Pentaplaris doroteae,180926,GBIF,222,Manuel Vargas,,8.096781,-76.522442,,2011.0,1,1,1,,WGS84,2019,Suescún D. | García L.
14277,PRESERVED_SPECIMEN,Pentaplaris doroteae,92539,GBIF,551,Manuel Vargas,,8.276667,-76.766667,Resguardo indígena Caimán Nuevo,1993.0,1,1,1,,WGS84,2019,Castaño L. | Márquez S. | López N. | Melendrez J.
16366,PRESERVED_SPECIMEN,Pentaplaris doroteae,3328687,GBIF,Bruijn 1048,Manuel Vargas,,8.25,-74.06666,150 km N of Barrancabermeja. Mico-Ahumado camp Primary forest,1966.0,1,1,1,,WGS84,2019,J. de Bruijn
16479,PRESERVED_SPECIMEN,Pentaplaris doroteae,3358053,GBIF,McPherson 19661,Manuel Vargas,,8.839444,-80.6475,Teck Cominco Petaquilla mining concession. Slope; collected near plot C003.,2007.0,1,1,1,,WGS84,2019,Gordon McPherson
18808,PRESERVED_SPECIMEN,Pentaplaris doroteae,U.1377113,GBIF,,Manuel Vargas,,8.25,-74.06666700000001,150 km N of Barrancabermeja. Mico-Ahumado camp.,1966.0,1,1,1,,WGS84,2019,Bruijn J de
18941,PRESERVED_SPECIMEN,Pentaplaris doroteae,WAG.1392271,GBIF,,Manuel Vargas,,8.25,-74.06666700000001,150 km N of Barrancabermeja. Mico-Ahumado camp.,1966.0,1,1,1,,WGS84,2019,Bruijn J de
18962,PRESERVED_SPECIMEN,Pentaplaris doroteae,WAG0459181,GBIF,,Manuel Vargas,,8.25,-74.06666700000001,150 km N of Barrancabermeja. Mico-Ahumado camp.,1966.0,1,1,1,,WGS84,2019,Bruijn J de
19936,PRESERVED_SPECIMEN,Pentaplaris doroteae,WAG.1392272,GBIF,,Manuel Vargas,,8.25,-74.06666700000001,150 km N of Barrancabermeja. Mico-Ahumado camp.,1966.0,1,1,1,,WGS84,2019,Bruijn J de
25175,PRESERVED_SPECIMEN,Pentaplaris doroteae,149807,GBIF,,Manuel Vargas,,8.98,-83.46,"Fachada Sur, Fila Retinto, cerros justamente al Norte de Palmar Norte, filas y laderas del cañon de la Quebrada Benjamín.",,1,1,1,,WGS84,2019,"Hammel, Barry E."
25176,PRESERVED_SPECIMEN,Pentaplaris doroteae,149893,GBIF,,Manuel Vargas,,8.98,-83.46,"Fachada Sur, Fila Retinto, cerros justamente al Norte de Palmar Norte, filas y laderas del cañon de la Quebrada Benjamín.",,1,1,1,,WGS84,2019,"Hammel, Barry E."
25177,PRESERVED_SPECIMEN,Pentaplaris doroteae,150457,GBIF,,Manuel Vargas,,8.98,-83.96,"Fila Retinto, cerros justamente al Norte de Palmar Norte, a lo largo de Quebrada Benjamín desde  la toma de Agua para la minicipalidad hacia abajo.",1990.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
25179,PRESERVED_SPECIMEN,Pentaplaris doroteae,153571,GBIF,,Manuel Vargas,,8.98,-83.46,"Fachada Sur, Fila Retinto, cerros justamente al Norte de Palmar Norte, filas y laderas del cañon de la Quebrada Benjamín.",,1,1,1,,WGS84,2019,"Hammel, Barry E."
25180,PRESERVED_SPECIMEN,Pentaplaris doroteae,153572,GBIF,,Manuel Vargas,,8.98,-83.46,"Fachada Sur, Fila Retinto, cerros justamente al Norte de Palmar Norte, filas y laderas del cañon de la Quebrada Benjamín.",,1,1,1,,WGS84,2019,"Hammel, Barry E."
25184,PRESERVED_SPECIMEN,Pentaplaris doroteae,173551,GBIF,,Manuel Vargas,,8.98,-83.46,"Fila Retinto, Palmar Norte, bosque primario en las cercanías del tanque.",1993.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
25187,PRESERVED_SPECIMEN,Pentaplaris doroteae,180183,GBIF,,Manuel Vargas,,8.98,-83.46,"Fachada Sur, Fila Retinto, frente a  Palmar Norte  Quebrada Benjamín.",1993.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
27056,PRESERVED_SPECIMEN,Pentaplaris doroteae,3319250,GBIF,17697,Manuel Vargas,,8.9833,-83.4667,"Cantón de Osa fachada sur de Fila Retinta, al N de Palmar Norte, filas y laderas de la Quebrada Benjamín",1989.0,1,1,1,,WGS84,2019,B. E. Hammel & M. H. Grayum
34112,PRESERVED_SPECIMEN,Pentaplaris doroteae,V0073993F,GBIF,6326,Manuel Vargas,,10.0114,-83.9519,,1951.0,1,1,1,,WGS84,2019,P. H. Allen
35820,PRESERVED_SPECIMEN,Pentaplaris doroteae,957383,GBIF,Hammel 17696,Manuel Vargas,,8.98,-83.46,"Valle del Térraba. Fachada sur de Fila Retinta, al norte de Palmar Norte, filas y laderas del cañón de la Quebrada Benjamín.",1989.0,1,1,1,,WGS84,2019,Barry E. Hammel|Michael H. Grayum
35821,PRESERVED_SPECIMEN,Pentaplaris doroteae,957385,GBIF,Hammel 17697,Manuel Vargas,,8.98333,-83.46666,"Fachada sur de Fila Retinta, al N de Palmar Norte, filas y laderas del canon de la Quebrada Benjamin.",1989.0,1,1,1,,WGS84,2019,Barry E. Hammel|Michael H. Grayum
35822,PRESERVED_SPECIMEN,Pentaplaris doroteae,957415,GBIF,Hammel 17715,Manuel Vargas,,8.98,-83.46,Valle del Térraba. Fila Retinto; cerros justamente al norte de Palmar Norte; a lo largo de Quebrada Benjamín desde la toma de agua para la municipalidad hacia abajo.,1990.0,1,1,1,,WGS84,2019,Barry E. Hammel|Abelardo Chacón|Gerardo Herrera Ch.
36376,PRESERVED_SPECIMEN,Pentaplaris doroteae,887704,GBIF,Morales Quirós 2080,Manuel Vargas,,8.98,-83.46,Valle del Térraba. Palmar Norte; Fila Retinto; bosque primario en las cercanías del tanque.,1993.0,1,1,1,,WGS84,2019,J. F. Morales|et al.
36544,PRESERVED_SPECIMEN,Pentaplaris doroteae,891866,GBIF,Hammel 18736,Manuel Vargas,,8.98,-83.46,"Valle del Térraba. Fila Retinta; frente a Palmar Norte, Quebrada Benjamín.",1993.0,1,1,1,,WGS84,2019,Barry E. Hammel|Alwyn H. Gentry|et al.
42066,PRESERVED_SPECIMEN,Pentaplaris doroteae,V0073995F,GBIF,6326,Manuel Vargas,,10.0114,-83.9519,,1951.0,1,1,1,,WGS84,2019,P. H. Allen
42387,PRESERVED_SPECIMEN,Pentaplaris doroteae,V0073994F,GBIF,6326,Manuel Vargas,,10.0114,-83.9519,,1951.0,1,1,1,,WGS84,2019,P. H. Allen
