,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
18589,PRESERVED_SPECIMEN,Pholidostachys pulchra,FMB-48020,GBIF,5174 (ca 22),Manuel Vargas,,4.0,-76.973333,Bajo Calima. Estación Silvicultural San Isidro,1987.0,1,1,1,,WGS84,2019,"Barbosa, César"
18590,PRESERVED_SPECIMEN,Pholidostachys pulchra,FMB-48021,GBIF,5174 (ca22),Manuel Vargas,,4.0,-76.973333,Bajo Calima. Estación Silvicultural San Isidro,1987.0,1,1,1,,WGS84,2019,"Barbosa, César"
18599,PRESERVED_SPECIMEN,Pholidostachys pulchra,FMB-50563,GBIF,5174 (ca 22),Manuel Vargas,,4.0,-76.973333,Bajo Calima. Estación Silvicultural San Isidro,1987.0,1,1,1,,WGS84,2019,"Barbosa, César"
18600,PRESERVED_SPECIMEN,Pholidostachys pulchra,FMB-50608,GBIF,5174 (ca 22),Manuel Vargas,,4.0,-76.973333,Bajo Calima. Estación Silvicultural San Isidro,1987.0,1,1,1,,WGS84,2019,"Barbosa, César"
25231,PRESERVED_SPECIMEN,Pholidostachys pulchra,120828,GBIF,,Manuel Vargas,,10.66,-83.66,"Cero Coronel, E of Río Zapote, along and above near road, disturbed roadside and tall evergreen forest on gentle slopes.",1986.0,1,1,1,,WGS84,2019,"Stevens, Warren D."
25232,PRESERVED_SPECIMEN,Pholidostachys pulchra,122095,GBIF,,Manuel Vargas,,10.68,-83.63,"Cerro Coronel, E of Laguna Danto. Tall evergreen forest on gentle to moderately steep slopes.",1986.0,1,1,1,,WGS84,2019,"Stevens, Warren D."
25233,PRESERVED_SPECIMEN,Pholidostachys pulchra,122380,GBIF,,Manuel Vargas,,10.66,-83.66,hills 2 airline km SSE of Islas Buenavista in the Rìo Colorado. 14 airline km SW of Barra del Colorado.  Premontane wet forest on low hills.,1986.0,1,1,1,,WGS84,2019,"Davidse, Gerrit"
25234,PRESERVED_SPECIMEN,Pholidostachys pulchra,133605,GBIF,,Manuel Vargas,,10.28,-84.06,"P.N. Braulio Carrillo Forest  between Río Peje and Río Sardinalito, Atlantic slope of Volcán  Barva.",1986.0,1,1,1,,WGS84,2019,"Grayum, Michael"
25235,PRESERVED_SPECIMEN,Pholidostachys pulchra,135563,GBIF,,Manuel Vargas,,10.63,-83.75,"R.V.S. Barra del Colorado Forests and pastures between Rìo Chirripocito and Rìo Sardina ("" Sardinal"" on Chirripò Atlàntico quadrangle)",1988.0,1,1,1,,WGS84,2019,"Grayum, Michael"
25236,PRESERVED_SPECIMEN,Pholidostachys pulchra,136448,GBIF,,Manuel Vargas,,10.43,-83.53,"P.N. Tortuguero Estaciòn Agua Frìa, aprox 12 km al Noreste, pasando el rìo Pueblo Nuevo, sobre las Lomas de Sierpe. Bosque primario con pendientes pronunciadas.",1988.0,1,1,1,,WGS84,2019,"Robles, Rafael"
25237,PRESERVED_SPECIMEN,Pholidostachys pulchra,136613,GBIF,,Manuel Vargas,,10.45,-83.56,"P.N. Tortuguero Estación Agua Fría: 6 km al sureste (aproximadamente), sobre los Cerros Azules. Bosque primario.",1988.0,1,1,1,,WGS84,2019,"Robles, Rafael"
25238,PRESERVED_SPECIMEN,Pholidostachys pulchra,144756,GBIF,,Manuel Vargas,,8.55,-83.58,"R.F. Golfo Dulce Osa Penìnsula, Rancho Quemado, ca. 15 km W of Rincòn; on ridge at NW end of valley, near Fila Ganado.",1988.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
25239,PRESERVED_SPECIMEN,Pholidostachys pulchra,169332,GBIF,,Manuel Vargas,,10.15,-83.94,P.N. Braulio Carrillo Sendero Botarrama. Bosque primario en las confluencias de varias quebradas innominadas tributarias de Quebradas Gonzalez.,1993.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
25240,PRESERVED_SPECIMEN,Pholidostachys pulchra,170316,GBIF,,Manuel Vargas,,10.28,-84.04,"Estación El Plático, 15 km de Horquetas, sendero el Tigre.",1994.0,1,1,1,,WGS84,2019,"Sánchez, Joaquín"
25241,PRESERVED_SPECIMEN,Pholidostachys pulchra,210051,GBIF,,Manuel Vargas,,10.5,-83.68,"P.N. Tortuguero Cuatro Esquinas, finca Cantagallo.",1995.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
25242,PRESERVED_SPECIMEN,Pholidostachys pulchra,211972,GBIF,,Manuel Vargas,,8.78,-82.95,E.B. Las Cruces Jardín Botánico Wilson.,1994.0,1,1,1,,WGS84,2019,"Kress, W. John"
47094,PRESERVED_SPECIMEN,Pholidostachys pulchra,3249573,GBIF,6654,Manuel Vargas,,9.3833,-78.85,"San Blas, Trail from Rio Esadi to Cerro Banega",1985.0,1,1,1,,WGS84,2019,G. de Nevers & H. Herrera
