,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2887,PRESERVED_SPECIMEN,Pleurothyrium oblongum,1603040,GBIF,,Manuel Vargas,,9.802778,-82.997222,San Rafael de Pandora.,1995.0,1,1,1,,WGS84,2019,Armando Estrada
7196,PRESERVED_SPECIMEN,Pleurothyrium oblongum,3524447,GBIF,,Manuel Vargas,,9.716667,-82.916667,"Fila Carbn. San Rafael, vereda a Bocuares.",2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
7197,PRESERVED_SPECIMEN,Pleurothyrium oblongum,3524449,GBIF,,Manuel Vargas,,9.716667,-82.916667,"Fila Carbn. San Rafael, vereda a Bocuares.",2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
7198,PRESERVED_SPECIMEN,Pleurothyrium oblongum,3524448,GBIF,,Manuel Vargas,,9.716667,-82.916667,"Fila Carbn. San Rafael, vereda a Bocuares.",2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
25273,PRESERVED_SPECIMEN,Pleurothyrium oblongum,212127,GBIF,,Manuel Vargas,,9.8,-82.99,Faja Costeña. San Rafael de Pandora.,1995.0,1,1,1,,WGS84,2019,"Estrada, Armando"
25279,PRESERVED_SPECIMEN,Pleurothyrium oblongum,221174,GBIF,,Manuel Vargas,,9.8,-82.99,San Rafael de Pandora. Cuebca del  Estrella.,1995.0,1,1,1,,WGS84,2019,"Estrada, Armando"
34400,PRESERVED_SPECIMEN,Pleurothyrium oblongum,V0061796F,GBIF,445,Manuel Vargas,,10.0114,-83.9519,,1995.0,1,1,1,,WGS84,2019,A. Estrada
38055,PRESERVED_SPECIMEN,Pleurothyrium oblongum,100327732,GBIF,Morales Quirós 7996,Manuel Vargas,,9.716667,-82.916667,"No protegida. Puerto Viejo. Fila Carbón, San Rafael, vereda a Bocuares.",2001.0,1,1,1,,WGS84,2019,J. F. Morales
38580,PRESERVED_SPECIMEN,Pleurothyrium oblongum,100491935,GBIF,Morales Quirós 7996,Manuel Vargas,,9.716667,-82.91667,"Fila Carbon, San Rafael, vereda a Bocuares.",2001.0,1,1,1,,WGS84,2019,J. F. Morales
46418,PRESERVED_SPECIMEN,Pleurothyrium oblongum,312022,GBIF,445,Manuel Vargas,,9.8028,-82.9972,Faja costeña de Limón. San Rafael de Pandora,1995.0,1,1,1,,WGS84,2019,A. Estrada
51042,PRESERVED_SPECIMEN,Pleurothyrium oblongum,1504955,GBIF,Estrada Chavarría 445,Manuel Vargas,,9.8,-82.99,Faja Costeña de Limón. San Fafael de Pandora.,1995.0,1,1,1,,WGS84,2019,Armando Estrada
