,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
13791,PRESERVED_SPECIMEN,Protium brenesii,1189236,GBIF,310,Manuel Vargas,,10.9906,-85.4278,Parque Nacional Guanacaste.  Estació Pitilla.  Fila Orosilito y Sendero El Mismo.,1991.0,1,1,1,,WGS84,2019,P. Ríos
19095,PRESERVED_SPECIMEN,Protium brenesii,1189302,GBIF,473,Manuel Vargas,,10.32,-84.72,Reserva Biológica Monteverde.  Río Peñas Blancas.,1988.0,1,1,1,,WGS84,2019,E. Bello
19116,PRESERVED_SPECIMEN,Protium brenesii,1189286,GBIF,7391,Manuel Vargas,,10.3,-84.72,"Reserva Biológica Monteverde.  Río Peñas Blancas, Finca Wilson Salazar.  Vertiente Atlántica.",1987.0,1,1,1,,WGS84,2019,W. A. Haber
19176,PRESERVED_SPECIMEN,Protium brenesii,1189287,GBIF,7691,Manuel Vargas,,10.3,-84.72,"Reserva Biológica Monteverde.  Río Peñas Blancas, Finca Wilson Salazar.",1987.0,1,1,1,,WGS84,2019,W. A. Haber
19601,PRESERVED_SPECIMEN,Protium brenesii,1189235,GBIF,196,Manuel Vargas,,10.8806,-85.4014,Cord. de Guanacaste; Nueva Zelandia; Estación San Ramón.  La Campana.,1994.0,1,1,1,,WGS84,2019,D. García
33906,PRESERVED_SPECIMEN,Protium brenesii,,GBIF,20510,Manuel Vargas,,10.0114,-83.9519,,1935.0,1,1,1,,WGS84,2019,A. M. Brenes
34078,PRESERVED_SPECIMEN,Protium brenesii,V0064127F,GBIF,20510,Manuel Vargas,,10.0114,-83.9519,,1935.0,1,1,1,,WGS84,2019,A. M. Brenes
34776,PRESERVED_SPECIMEN,Protium brenesii,1189288,GBIF,458,Manuel Vargas,,10.32,-84.72,Reserva Biológica Monteverde.  Río Peñas Blancas.,1988.0,1,1,1,,WGS84,2019,E. Bello
34848,PRESERVED_SPECIMEN,Protium brenesii,1189281,GBIF,7169,Manuel Vargas,,10.3,-84.75,"Reserva Biológica Monteverde, Río Peñas Blancas",1987.0,1,1,1,,WGS84,2019,W. A. Haber
36723,PRESERVED_SPECIMEN,Protium brenesii,895801,GBIF,García García 196,Manuel Vargas,,10.880556,-85.401389,"P.N. Guanacaste.  Cord. de Guanacaste; Nueva Zelandia; Estación San Ramón.  La Campana, Dos Ríos.",1994.0,1,1,1,,WGS84,2019,Dunia García
36865,PRESERVED_SPECIMEN,Protium brenesii,899922,GBIF,Bello Carranza 5014,Manuel Vargas,,10.31,-84.72,"Reserva Biológica Monteverde, Cordillera de Tilarán, Río Peñas Blancas",1993.0,1,1,1,,WGS84,2019,Erick Bello C.
37475,PRESERVED_SPECIMEN,Protium brenesii,1189238,GBIF,17495,Manuel Vargas,,11.03,-85.4217,Parque Nacional Guanacaste.  Estación Pitilla; al noroeste de la estación.,1989.0,1,1,1,,WGS84,2019,B. E. Hammel
37488,PRESERVED_SPECIMEN,Protium brenesii,1189285,GBIF,6979,Manuel Vargas,,10.33,-84.72,Reserva Biológica Monteverde.  Río Peñas Blancas.,1987.0,1,1,1,,WGS84,2019,W. A. Haber
37539,PRESERVED_SPECIMEN,Protium brenesii,1189280,GBIF,3862,Manuel Vargas,,10.47,-84.7,N. side Arenal Volcano.,1974.0,1,1,1,,WGS84,2019,R. W. Lent
37609,PRESERVED_SPECIMEN,Protium brenesii,1189307,GBIF,1298,Manuel Vargas,,10.8806,-85.4083,P. N. Guanacaste.  Cordillera de Guanacaste.  Sector San Ramón.  Dos Ríos.  Sendero a Níspero y Argentina.,1995.0,1,1,1,,WGS84,2019,R. Espinoza
37784,PRESERVED_SPECIMEN,Protium brenesii,100157823,GBIF,González Ramírez 2081,Manuel Vargas,,10.161111,-84.658333,Cuenca del Barranca. San Ramon; Barranquilla; Falda Noroeste del Cerro Jabonal. Potreros arbolados y bosques de ladera.,1997.0,1,1,1,,WGS84,2019,José Á. González R.
41639,PRESERVED_SPECIMEN,Protium brenesii,2551048,GBIF,Haber 11232,Manuel Vargas,,10.3,-84.61,"Bosque Eterno De Los Niños, Llanura de San Carlos, 4 km SW of La Tigra de San Carlos, valley of Río La Esperanza, finca Araya Ledezma",1992.0,1,1,1,,WGS84,2019,William A. Haber|Willow Zuchowski|G. Céspedes|J. Chacón
46334,PRESERVED_SPECIMEN,Protium brenesii,1189283,GBIF,7899,Manuel Vargas,,10.32,-84.72,Reserva Biológica Monteverde.  Río Peñas Blancas.,1987.0,1,1,1,,WGS84,2019,W. A. Haber
46609,PRESERVED_SPECIMEN,Protium brenesii,1189237,GBIF,546,Manuel Vargas,,10.7681,-85.2944,"P. Nac. Rincón de la Vieja Sendero de la toma de agua, a 3 km de la estación.",1990.0,1,1,1,,WGS84,2019,G. Rivera
46633,PRESERVED_SPECIMEN,Protium brenesii,1189306,GBIF,1852,Manuel Vargas,,10.82,-84.95,"Bijagua, El Pilón, Cabeceras del Río Celeste",1988.0,1,1,1,,WGS84,2019,G. Herrera C.
46728,PRESERVED_SPECIMEN,Protium brenesii,1189284,GBIF,6801,Manuel Vargas,,10.33,-84.72,"Reserva Biológica Monteverde, Río Peñas Blancas",1987.0,1,1,1,,WGS84,2019,W. A. Haber
46777,PRESERVED_SPECIMEN,Protium brenesii,1189310,GBIF,187,Manuel Vargas,,10.3083,-84.7194,Reserva Biológica Monteverde.  Estación Eladio's.,1990.0,1,1,1,,WGS84,2019,N. Obando
46858,PRESERVED_SPECIMEN,Protium brenesii,1189308,GBIF,995,Manuel Vargas,,10.2986,-84.2056,"Cordillera Central.  Los Angeles, camino de Los Angeles a la Laguna De Hule.",1995.0,1,1,1,,WGS84,2019,J. A. González R.
46882,PRESERVED_SPECIMEN,Protium brenesii,1189301,GBIF,353,Manuel Vargas,,10.32,-84.72,Reserva Biológica Monteverde.  Río Peñas Blancas.,1988.0,1,1,1,,WGS84,2019,E. Bello
46918,PRESERVED_SPECIMEN,Protium brenesii,1189305,GBIF,617,Manuel Vargas,,10.2147,-84.6078,"Reserva Forestal de San Ramón, en filas noroeste de la estación.",1987.0,1,1,1,,WGS84,2019,G. Herrera C.
46946,PRESERVED_SPECIMEN,Protium brenesii,1189309,GBIF,122,Manuel Vargas,,10.33,-84.7,"Reserva Forestal Arenal.  Ríp Peñas Blancas, Quebrada Agua Gata, Finca Francisco.",1990.0,1,1,1,,WGS84,2019,N. Obando
48061,PRESERVED_SPECIMEN,Protium brenesii,100871933,GBIF,Obando Arguedas 187,Manuel Vargas,,10.308333,-84.719444,Reserva Biológica Monteverde.  Estación Eladio's.,1990.0,1,1,1,,WGS84,2019,Norman Obando|Erick Bello C.|Generic González
48578,PRESERVED_SPECIMEN,Protium brenesii,120310,GBIF,Herrera Chacón 1852,Manuel Vargas,,10.81,-84.95,"Bijagua El Pilón, Cabeceras del Río Celeste",1988.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
