,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
251,PRESERVED_SPECIMEN,Quararibea pumila,1517961,GBIF,,Manuel Vargas,,10.495833,-83.533333,"Lomas de Sierpe. Desde la Laguna Tortuguero, 8 o 10 Km subiendo por el Rio Tortuguero. Bosque primario.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Michael H. Grayum
1055,PRESERVED_SPECIMEN,Quararibea pumila,1513545,GBIF,,Manuel Vargas,,10.536944,-84.29083299999999,(Pital). Bosque remanente 1 km N de La Legua.,1996.0,1,1,1,,WGS84,2019,Barry Hammel
9115,PRESERVED_SPECIMEN,Quararibea pumila,4028886,GBIF,,Manuel Vargas,,10.688056,-84.182222,San Jorge.,2006.0,1,1,1,,WGS84,2019,Daniel Solano; Nelson A. Zamora Villalobos
9186,PRESERVED_SPECIMEN,Quararibea pumila,4004201,GBIF,,Manuel Vargas,,10.433333,-84.033333,Estacion Biologica La Selva.,2002.0,1,1,1,,WGS84,2019,Leslie Roger Landrum
16793,PRESERVED_SPECIMEN,Quararibea pumila,3467602,GBIF,Vargas Ramírez 555,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Arboleda placa # 1189.,2000.0,1,1,1,,WGS84,2019,Orlando Vargas
16831,PRESERVED_SPECIMEN,Quararibea pumila,3468373,GBIF,Aguilar Fernández RA008681,Manuel Vargas,,10.43138,-84.00361,"La Selva Biological Station. Cantarrana, alrededor de la estación.",2004.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
25327,PRESERVED_SPECIMEN,Quararibea pumila,128193,GBIF,,Manuel Vargas,,10.43,-84.01,"E.B. La Selva 3 Km S of Puerto Viejo. Tropical wet forest, mean daily temp. ca. 24 ºC, mean annual rainfall ca. 3800 mm. Voucher for population along Quebrada El Salto just N of the South Boundary Trail of Finca La Selva.",1982.0,1,1,1,,WGS84,2019,"Alverson, William S."
25349,PRESERVED_SPECIMEN,Quararibea pumila,144318,GBIF,,Manuel Vargas,,10.43,-84.01,Tropical Wet Forest ( Holdrige Classification) mean daily temp ca. 24º C mean annual rainfall ca. 3800 mm.,1983.0,1,1,1,,WGS84,2019,"Alverson, William S."
25385,PRESERVED_SPECIMEN,Quararibea pumila,210265,GBIF,,Manuel Vargas,,10.52,-84.3,Llanura de San Carlos. Bosque remanente 1 km N de La Lengua.,1996.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
40540,PRESERVED_SPECIMEN,Quararibea pumila,2267472,GBIF,Hammel 8388,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1980.0,1,1,1,,WGS84,2019,Barry E. Hammel
