,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
361,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522093,GBIF,,Manuel Vargas,,8.905833,-82.751111,Cerro Quijada del Diablo.,1996.0,1,1,1,,WGS84,2019,Evelio Alfaro
362,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522095,GBIF,,Manuel Vargas,,8.905833,-82.751111,Cerro Quijada del Diablo.,1996.0,1,1,1,,WGS84,2019,Evelio Alfaro
363,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522094,GBIF,,Manuel Vargas,,8.905833,-82.751111,Cerro Quijada del Diablo.,1996.0,1,1,1,,WGS84,2019,Evelio Alfaro
366,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522556,GBIF,,Manuel Vargas,,9.848611,-84.13194399999999,"Bosque secundario en la cima del Cerro Pico Alto, cabeceras del rio Poas. El Cedral.",1995.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
367,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522553,GBIF,,Manuel Vargas,,9.848611,-84.13194399999999,"Bosque secundario en la cima del Cerro Pico Alto, cabeceras del rio Poas. El Cedral.",1995.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
368,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522552,GBIF,,Manuel Vargas,,9.848611,-84.13194399999999,"Bosque secundario en la cima del Cerro Pico Alto, cabeceras del rio Poas. El Cedral.",1995.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
369,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522554,GBIF,,Manuel Vargas,,9.848611,-84.13194399999999,"Bosque secundario en la cima del Cerro Pico Alto, cabeceras del rio Poas. El Cedral.",1995.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
370,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522549,GBIF,,Manuel Vargas,,9.848611,-84.13194399999999,"Bosque secundario en la cima del Cerro Pico Alto, cabeceras del rio Poas. El Cedral.",1995.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
371,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522555,GBIF,,Manuel Vargas,,9.848611,-84.13194399999999,"Bosque secundario en la cima del Cerro Pico Alto, cabeceras del rio Poas. El Cedral.",1995.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
372,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522551,GBIF,,Manuel Vargas,,9.848611,-84.13194399999999,"Bosque secundario en la cima del Cerro Pico Alto, cabeceras del rio Poas. El Cedral.",1995.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
373,PRESERVED_SPECIMEN,Quetzalia occidentalis,1522550,GBIF,,Manuel Vargas,,9.848611,-84.13194399999999,"Bosque secundario en la cima del Cerro Pico Alto, cabeceras del rio Poas. El Cedral.",1995.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
936,PRESERVED_SPECIMEN,Quetzalia occidentalis,1510653,GBIF,,Manuel Vargas,,9.723611,-84.17222199999999,Hacienda Tiquires. Fila Aguabuena. Bosques camino al Alto La Arana.,1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
994,PRESERVED_SPECIMEN,Quetzalia occidentalis,1512629,GBIF,,Manuel Vargas,,9.717778,-84.05,El Empalme. Bosque secundario alterado.,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
996,PRESERVED_SPECIMEN,Quetzalia occidentalis,1512628,GBIF,,Manuel Vargas,,9.67,-83.872778,Madreselva. Robledales y parches alterados en los alrededores de Trinidad,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1110,PRESERVED_SPECIMEN,Quetzalia occidentalis,1515137,GBIF,,Manuel Vargas,,9.463889,-83.561111,"Sendero a Cerro Chirripo, colecta del limite del parque a Llano Bonito, alrededor del sendero.",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.
1173,PRESERVED_SPECIMEN,Quetzalia occidentalis,1516883,GBIF,,Manuel Vargas,,9.558333,-84.054167,"Faja Costena de Tarrazu. Cerca Cerro Hormiguero, 4 km SW del Basurero, camino a Esquipulas.",1996.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós ; Thomas Bernard Croat
1177,PRESERVED_SPECIMEN,Quetzalia occidentalis,1516882,GBIF,,Manuel Vargas,,9.558333,-84.054167,"Faja Costena de Tarrazu. Cerca Cerro Hormiguero, 4 km SW del Basurero, camino a Esquipulas.",1996.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós ; Thomas Bernard Croat
1178,PRESERVED_SPECIMEN,Quetzalia occidentalis,1516884,GBIF,,Manuel Vargas,,9.558333,-84.054167,"Faja Costena de Tarrazu. Cerca Cerro Hormiguero, 4 km SW del Basurero, camino a Esquipulas.",1996.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós ; Thomas Bernard Croat
1180,PRESERVED_SPECIMEN,Quetzalia occidentalis,1516885,GBIF,,Manuel Vargas,,9.558333,-84.054167,"Faja Costena de Tarrazu. Cerca Cerro Hormiguero, 4 km SW del Basurero, camino a Esquipulas.",1996.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós ; Thomas Bernard Croat
1181,PRESERVED_SPECIMEN,Quetzalia occidentalis,1516886,GBIF,,Manuel Vargas,,9.558333,-84.054167,"Faja Costena de Tarrazu. Cerca Cerro Hormiguero, 4 km SW del Basurero, camino a Esquipulas.",1996.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós ; Thomas Bernard Croat
1184,PRESERVED_SPECIMEN,Quetzalia occidentalis,1516881,GBIF,,Manuel Vargas,,9.558333,-84.054167,"Faja Costena de Tarrazu. Cerca Cerro Hormiguero, 4 km SW del Basurero, camino a Esquipulas.",1996.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós ; Thomas Bernard Croat
1237,PRESERVED_SPECIMEN,Quetzalia occidentalis,1555264,GBIF,,Manuel Vargas,,10.122222,-84.133333,"Cerro Guarani, lado sur.",1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
1254,PRESERVED_SPECIMEN,Quetzalia occidentalis,1555617,GBIF,,Manuel Vargas,,10.116667,-84.122222,"Camino a Carrizal, como a 2 Km de la Estacion Barva.",1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
1260,PRESERVED_SPECIMEN,Quetzalia occidentalis,1555726,GBIF,,Manuel Vargas,,9.870833,-84.097222,"Meson; bosque secundario en la cuenca media del rio Lajas, 4 km aguas arriba.",1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1435,PRESERVED_SPECIMEN,Quetzalia occidentalis,1559772,GBIF,,Manuel Vargas,,9.404167,-83.0875,"Amubri, Alto Lari, Kivut.",1992.0,1,1,1,,WGS84,2019,Gerardo Herrera
1444,PRESERVED_SPECIMEN,Quetzalia occidentalis,1559762,GBIF,,Manuel Vargas,,10.3,-84.80000600000001,"Monteverde, upper community, lower montane wet forest. Tomas Guindon farm.",1992.0,1,1,1,,WGS84,2019,William Haber
1470,PRESERVED_SPECIMEN,Quetzalia occidentalis,1559991,GBIF,,Manuel Vargas,,9.430556,-83.05555600000001,"Alto Lari, siguiendo fila entre Rios Dapari y Lari, bajando hasta su cauce.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1999,PRESERVED_SPECIMEN,Quetzalia occidentalis,1572390,GBIF,,Manuel Vargas,,9.338889,-83.231944,Quebrada Kuisa. Al paso del Sendero entre Ujarras y San Jose Cabecar.,1993.0,1,1,1,,WGS84,2019,Alvaro Fernandez
2079,PRESERVED_SPECIMEN,Quetzalia occidentalis,1574838,GBIF,,Manuel Vargas,,9.395833,-83.205556,Sendero de Rio Coen a Cerro Carguicacha. Entre Ujarras y San Jose Cabecar.,1993.0,1,1,1,,WGS84,2019,Gerardo Herrera
2096,PRESERVED_SPECIMEN,Quetzalia occidentalis,1575637,GBIF,,Manuel Vargas,,9.710556,-84.198611,"Hda. Tiquires, Los Ayarales, bosque primario y potreros en el camino a la Fila innominada frente Sur Rio Tiquires.",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
3539,PRESERVED_SPECIMEN,Quetzalia occidentalis,2824755,GBIF,,Manuel Vargas,,10.113333,-84.103889,"Montana La Isla, 3 Km al Norte de Porrosati. Bosque primario.",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
