,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
14526,PRESERVED_SPECIMEN,Reinhardtia koschnyana,2706139,GBIF,Coronado González 1017,Manuel Vargas,,14.25,-85.17,Protected due to name conservation status,2005.0,1,1,1,,WGS84,2019,I. Coronado G.|M. Barrios|F. Rojas|G. Pérez
14546,PRESERVED_SPECIMEN,Reinhardtia koschnyana,2707647,GBIF,Coronado González 1279,Manuel Vargas,,14.32,-85.1,Protected due to name conservation status,2005.0,1,1,1,,WGS84,2019,I. Coronado G.|M. Barrios|F. Rojas
14547,PRESERVED_SPECIMEN,Reinhardtia koschnyana,2707679,GBIF,Coronado González 1294,Manuel Vargas,,14.32,-85.12,Protected due to name conservation status,2005.0,1,1,1,,WGS84,2019,I. Coronado G.|M. Barrios|F. Rojas
14561,PRESERVED_SPECIMEN,Reinhardtia koschnyana,2709028,GBIF,Coronado González 1559,Manuel Vargas,,14.41,-85.19,Protected due to name conservation status,2005.0,1,1,1,,WGS84,2019,I. Coronado G.|M. Barrios|F. Rojas|G. Pérez
14965,PRESERVED_SPECIMEN,Reinhardtia koschnyana,287372,GBIF,Hammel 15319,Manuel Vargas,,10.5,-84.45,Protected due to name conservation status,1986.0,1,1,1,,WGS84,2019,Barry E. Hammel|Greg C. de Nevers
15002,PRESERVED_SPECIMEN,Reinhardtia koschnyana,2879610,GBIF,Coronado González 1589,Manuel Vargas,,14.41,-85.19,Protected due to name conservation status,2005.0,1,1,1,,WGS84,2019,I. Coronado G.|M. Barrios|F. Rojas|G. Pérez
15004,PRESERVED_SPECIMEN,Reinhardtia koschnyana,287994,GBIF,Churchill 4442,Manuel Vargas,,8.92,-78.52,Protected due to name conservation status,1984.0,1,1,1,,WGS84,2019,H. W. Churchill|Greg C. de Nevers
15140,PRESERVED_SPECIMEN,Reinhardtia koschnyana,290269,GBIF,de Nevers 8252,Manuel Vargas,,8.02,-77.73,Protected due to name conservation status,1987.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Barry E. Hammel|Heraclio Herrera
15196,PRESERVED_SPECIMEN,Reinhardtia koschnyana,291098,GBIF,Miller 1098,Manuel Vargas,,11.67,-84.45,Protected due to name conservation status,1983.0,1,1,1,,WGS84,2019,James S. Miller|J.C. Sandino
15233,PRESERVED_SPECIMEN,Reinhardtia koschnyana,292317,GBIF,Croat 68960,Manuel Vargas,,8.0,-77.8,Protected due to name conservation status,1988.0,1,1,1,,WGS84,2019,Thomas B. Croat
15241,PRESERVED_SPECIMEN,Reinhardtia koschnyana,292498,GBIF,Haber 1863,Manuel Vargas,,10.36,-84.47,Protected due to name conservation status,1985.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.|Barry E. Hammel
15248,PRESERVED_SPECIMEN,Reinhardtia koschnyana,2925357,GBIF,Shank 4972,Manuel Vargas,,11.53,-84.43,Protected due to name conservation status,1951.0,1,1,1,,WGS84,2019,Paul J. Shank|Antonio Molina R.
15308,PRESERVED_SPECIMEN,Reinhardtia koschnyana,293145,GBIF,Croat 77108,Manuel Vargas,,8.02,-77.73,Protected due to name conservation status,1994.0,1,1,1,,WGS84,2019,Thomas B. Croat|Guang Hua Zhu
16352,PRESERVED_SPECIMEN,Reinhardtia koschnyana,3321119,GBIF,Coronado González 3936,Manuel Vargas,,14.4,-85.15,Protected due to name conservation status,2007.0,1,1,1,,WGS84,2019,I. Coronado G.|A. Fernández
18761,PRESERVED_SPECIMEN,Reinhardtia koschnyana,IAvH-CT-14115,GBIF,1214,Manuel Vargas,,6.135555999999999,-75.34083299999999,Jardín Botánico Joaquin Antonio Uribe,2011.0,1,1,1,,WGS84,2019,Cogollo
19354,PRESERVED_SPECIMEN,Reinhardtia koschnyana,275070,GBIF,,Manuel Vargas,,7.63329,-76.9123,"carretera panamericana, 1 km antes de lomas aisladas.",1982.0,1,1,1,,WGS84,2019,"Bernal, R."
