,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
13809,PRESERVED_SPECIMEN,Schefflera minutiflora,03227392,GBIF,1588,Manuel Vargas,,-0.65,-77.52,Parque Nacional Napo-Galeras. Cordillera de Galeras. Sendero hacia Huamaní.,1997.0,1,1,1,,WGS84,2019,A. B. Alvarez
14008,PRESERVED_SPECIMEN,Schefflera minutiflora,131967,GBIF,200,Manuel Vargas,,6.0833330000000005,-75.216667,Vereda El Viao,1999.0,1,1,1,,WGS84,2019,Gíl A. | Duque A. | Flórez J. | García N.
14013,PRESERVED_SPECIMEN,Schefflera minutiflora,139409,GBIF,134,Manuel Vargas,,7.133333,-75.15,"Vereda Santa Gertrudis, finca La Estrella",2002.0,1,1,1,,WGS84,2019,Arias T. | Cuervo A. | Pulgarín P.
14014,PRESERVED_SPECIMEN,Schefflera minutiflora,139410,GBIF,134,Manuel Vargas,,7.133333,-75.15,"Vereda Santa Gertrudis, finca La Estrella",2002.0,1,1,1,,WGS84,2019,Arias T. | Cuervo A. | Pulgarín P.
14027,PRESERVED_SPECIMEN,Schefflera minutiflora,148149,GBIF,1459,Manuel Vargas,,6.4791669999999995,-75.236111,"Vereda La Cejita, cuchilla La Cejita",2000.0,1,1,1,,WGS84,2019,Velásquez C. | Osorio S. | Henao L.
14041,PRESERVED_SPECIMEN,Schefflera minutiflora,154270,GBIF,499,Manuel Vargas,,6.158056,-75.701389,"Vereda El Romeral, hacienda La Argentina",2005.0,1,1,1,,WGS84,2019,Rincón H. | Giraldo F. | Tuberquia D. | Rodríguez W.
14108,PRESERVED_SPECIMEN,Schefflera minutiflora,182872,GBIF,3296,Manuel Vargas,,6.026667,-75.613028,"Vereda La Clara, Reserva Alto San Miguel, sector quebrada Cañada Honda",2011.0,1,1,1,,WGS84,2019,Tuberquia D. | Bolívar L.
14109,PRESERVED_SPECIMEN,Schefflera minutiflora,182871,GBIF,3296,Manuel Vargas,,6.026667,-75.613028,"Vereda La Clara, Reserva Alto San Miguel, sector quebrada Cañada Honda",2011.0,1,1,1,,WGS84,2019,Tuberquia D. | Bolívar L.
14129,PRESERVED_SPECIMEN,Schefflera minutiflora,22133,GBIF,4605,Manuel Vargas,,6.053452,-75.608747,Vereda La Clara,1984.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Vallejo J.
14130,PRESERVED_SPECIMEN,Schefflera minutiflora,22132,GBIF,4605,Manuel Vargas,,6.053452,-75.608747,Vereda La Clara,1984.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Vallejo J.
14131,PRESERVED_SPECIMEN,Schefflera minutiflora,22948,GBIF,4658,Manuel Vargas,,6.053452,-75.608747,Vereda La Clara,1984.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Vallejo J.
14132,PRESERVED_SPECIMEN,Schefflera minutiflora,22949,GBIF,4658,Manuel Vargas,,6.053452,-75.608747,Vereda La Clara,1984.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Vallejo J.
14133,PRESERVED_SPECIMEN,Schefflera minutiflora,23688,GBIF,5019,Manuel Vargas,,6.053452,-75.608747,Vereda La Clara,1985.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Vallejo J.
14134,PRESERVED_SPECIMEN,Schefflera minutiflora,23689,GBIF,5019,Manuel Vargas,,6.053452,-75.608747,Vereda La Clara,1985.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Vallejo J.
14139,PRESERVED_SPECIMEN,Schefflera minutiflora,27307,GBIF,6022,Manuel Vargas,,6.25,-75.166667,"Vereda Santa Rita, finca Montepinar",1985.0,1,1,1,,WGS84,2019,Albert L. | Vallejo J. | Roldán F.
14141,PRESERVED_SPECIMEN,Schefflera minutiflora,27538,GBIF,6169,Manuel Vargas,,6.25,-75.166667,"Vereda Santa Rita, finca Montepinar",1986.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Vallejo J. | Londoño E. | Betancur J. | Marulanda O.
14143,PRESERVED_SPECIMEN,Schefflera minutiflora,28565,GBIF,6731,Manuel Vargas,,6.25,-75.166667,"Vereda Santa Rita, finca Montepinar",1986.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Curso de Ecología Vegetal.
14144,PRESERVED_SPECIMEN,Schefflera minutiflora,28566,GBIF,6731,Manuel Vargas,,6.25,-75.166667,"Vereda Santa Rita, finca Montepinar",1986.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Curso de Ecología Vegetal.
14157,PRESERVED_SPECIMEN,Schefflera minutiflora,32864,GBIF,4407,Manuel Vargas,,6.25,-75.166667,"Vereda Santa Rita, finca Montepinar",1986.0,1,1,1,,WGS84,2019,Zarucchi J.
14158,PRESERVED_SPECIMEN,Schefflera minutiflora,32865,GBIF,4407,Manuel Vargas,,6.25,-75.166667,"Vereda Santa Rita, finca Montepinar",1986.0,1,1,1,,WGS84,2019,Zarucchi J.
14163,PRESERVED_SPECIMEN,Schefflera minutiflora,33943,GBIF,4520,Manuel Vargas,,5.817888,-75.29997900000001,"Km 33 of road Sonsón - La Unión, 23 km from La Unión",1986.0,1,1,1,,WGS84,2019,Zarucchi J.
14164,PRESERVED_SPECIMEN,Schefflera minutiflora,35155,GBIF,4520,Manuel Vargas,,5.817888,-75.29997900000001,"Km 33 of road Sonsón - La Unión, 23 km from La Unión",1986.0,1,1,1,,WGS84,2019,Zarucchi J.
14165,PRESERVED_SPECIMEN,Schefflera minutiflora,33989,GBIF,4516,Manuel Vargas,,5.817888,-75.29997900000001,"Km 33 of road Sonsón - La Unión, 23 km from La Unión",1986.0,1,1,1,,WGS84,2019,Zarucchi J.
14166,PRESERVED_SPECIMEN,Schefflera minutiflora,33990,GBIF,4516,Manuel Vargas,,5.885379,-75.306691,"Km 33 of road Sonsón - La Unión, 23 km from La Unión",1986.0,1,1,1,,WGS84,2019,Zarucchi J. | Bedoya N.
14167,PRESERVED_SPECIMEN,Schefflera minutiflora,35591,GBIF,7742,Manuel Vargas,,6.25,-75.166667,"Vereda Santa Rita, finca Montepinar",1987.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Vallejo J. | Curso de Ecología Vegetal.
14168,PRESERVED_SPECIMEN,Schefflera minutiflora,35590,GBIF,7742,Manuel Vargas,,6.25,-75.166667,"Vereda Santa Rita, finca Montepinar",1987.0,1,1,1,,WGS84,2019,Albert L. | Uribe A. | Vallejo J. | Curso de Ecología Vegetal.
14184,PRESERVED_SPECIMEN,Schefflera minutiflora,47698,GBIF,1572,Manuel Vargas,,6.133333,-76.15,"Road to Pavón, 24 km S of Urrao - Betulia road",1987.0,1,1,1,,WGS84,2019,Brant A. | Betancur J.
14185,PRESERVED_SPECIMEN,Schefflera minutiflora,47697,GBIF,1572,Manuel Vargas,,6.133333,-76.15,"Road to Pavón, 24 km S of Urrao - Betulia road",1987.0,1,1,1,,WGS84,2019,Brant A. | Betancur J.
14194,PRESERVED_SPECIMEN,Schefflera minutiflora,52695,GBIF,6056,Manuel Vargas,,7.079483,-75.46263499999999,"Municipios de Yarumal y Briceño, vereda San Fermín, 1 km de la vía Ventanas, finca San Fermín, propietario Lucio Restrepo",1988.0,1,1,1,,WGS84,2019,Callejas R. | Roldán F. | Arbeláez A. | Cárdenas O.
14195,PRESERVED_SPECIMEN,Schefflera minutiflora,52694,GBIF,6056,Manuel Vargas,,7.079483,-75.46263499999999,"Municipios de Yarumal y Briceño, vereda San Fermín, 1 km de la vía Ventanas, finca San Fermín, propietario Lucio Restrepo",1988.0,1,1,1,,WGS84,2019,Callejas R. | Roldán F. | Arbeláez A. | Cárdenas O.
14217,PRESERVED_SPECIMEN,Schefflera minutiflora,62584,GBIF,4014,Manuel Vargas,,6.95,-75.033333,"Road between Amalfi and Fraguas, near Salazar, km 17.5 - 19.8 from centro of Amalfi",1988.0,1,1,1,,WGS84,2019,MacDougal J.
14218,PRESERVED_SPECIMEN,Schefflera minutiflora,62583,GBIF,4014,Manuel Vargas,,6.95,-75.033333,"Road between Amalfi and Fraguas, near Salazar, km 17.5 - 19.8 from centro of Amalfi",1988.0,1,1,1,,WGS84,2019,MacDougal J.
14219,PRESERVED_SPECIMEN,Schefflera minutiflora,62585,GBIF,4014,Manuel Vargas,,6.95,-75.033333,"Road between Amalfi and Fraguas, near Salazar, km 17.5 - 19.8 from centro of Amalfi",1988.0,1,1,1,,WGS84,2019,MacDougal J.
14300,PRESERVED_SPECIMEN,Schefflera minutiflora,99731,GBIF,325,Manuel Vargas,,6.144356,-75.570475,,1995.0,1,1,1,,WGS84,2019,Giraldo F. | Correa M.
14301,PRESERVED_SPECIMEN,Schefflera minutiflora,99730,GBIF,325,Manuel Vargas,,6.144356,-75.570475,,1995.0,1,1,1,,WGS84,2019,Giraldo F. | Correa M.
14302,PRESERVED_SPECIMEN,Schefflera minutiflora,99840,GBIF,325,Manuel Vargas,,6.144356,-75.570475,,1995.0,1,1,1,,WGS84,2019,Giraldo F. | Correa M.
15066,PRESERVED_SPECIMEN,Schefflera minutiflora,2890661,GBIF,Homeier 1701,Manuel Vargas,,-0.633333,-77.833333,"Cordillera de Guacamayos, ca. 6 km SE of Cosanga, wet montane tropical forest",2005.0,1,1,1,,WGS84,2019,Jürgen Homeier|C. Chicaiza|B. Moreno
