,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1735,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1564003,GBIF,,Manuel Vargas,,10.796944,-83.616667,"Shores of S half of Laguna Pereira; periodically inundated swamp forest, Prioria dominant on W side, Raphia on E side.",1987.0,1,1,1,,WGS84,2019,W. D. Stevens
1736,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1564004,GBIF,,Manuel Vargas,,10.8,-83.633333,"Margin of Laguna de Atras, between Barra del Colorado and the mouth of the Rio San Juan.",1986.0,1,1,1,,WGS84,2019,Gerrit Davidse
1738,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1564006,GBIF,,Manuel Vargas,,10.675,-83.658333,Inundated forest at the northern base of the southweterm-most extension of Cerro Coronel.,1986.0,1,1,1,,WGS84,2019,Gerrit Davidse
1833,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1567155,GBIF,,Manuel Vargas,,11.033333,-85.421667,Estacion Pitilla. Camino al Este de la Estacion. En bosque alterado por un tornado hace ca. 3 anos. - Grupo de Estudiantes de Biodiversidad,1989.0,1,1,1,,WGS84,2019,Barry Hammel
2061,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1574046,GBIF,,Manuel Vargas,,10.4,-83.5,"Lomas de Sierpe, 3 Km al O del puesto del P.N. en el Rio Sierpe. Topografia quebrada con pendientes medianamente pronunciadas. Suelo bien drenado.",1988.0,1,1,1,,WGS84,2019,Rafael Robles
2875,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1602591,GBIF,,Manuel Vargas,,9.745833,-82.81944399999999,Bosque primario y asociaciones costeras cerca de la Punta Cahuita.,1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2962,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1604325,GBIF,,Manuel Vargas,,10.990556,-85.42778,Estacion Pitilla. Sendero Laguna.,1995.0,1,1,1,,WGS84,2019,Calixto Moraga
3138,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1580255,GBIF,,Manuel Vargas,,10.643889,-83.736111,Sardinas.,1992.0,1,1,1,,WGS84,2019,F. Araya
3178,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1581029,GBIF,,Manuel Vargas,,11.033333,-85.408334,Estacion Pitilla. Sendero El Mismo.,1990.0,1,1,1,,WGS84,2019,Petrona Ríos Castro
5669,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3097888,GBIF,,Manuel Vargas,,9.974347999999999,-83.46875899999999,"Pque Nal Barbilla, Camino a Valle Escondido, 1 km S. Río Dantas",2000.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
5670,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3097889,GBIF,,Manuel Vargas,,9.974347999999999,-83.46875899999999,"Pque Nal Barbilla, Camino a Valle Escondido, 1 km S. Río Dantas",2000.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
5953,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3118343,GBIF,,Manuel Vargas,,9.974347999999999,-83.46875899999999,"Pque Nal Barbilla, Camino a Valle Escondido, 1 km S. Río Dantas",2000.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
5954,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3118344,GBIF,,Manuel Vargas,,9.974347999999999,-83.46875899999999,"Pque Nal Barbilla, Camino a Valle Escondido, 1 km S. Río Dantas",2000.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
5955,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3118345,GBIF,,Manuel Vargas,,9.974347999999999,-83.46875899999999,"Pque Nal Barbilla, Camino a Valle Escondido, 1 km S. Río Dantas",2000.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
7241,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3532850,GBIF,,Manuel Vargas,,10.281944000000001,-84.04458299999999,Rara Avis Lodge and reserve.  Atlantic slope of Costa Rica.,2001.0,1,1,1,,WGS84,2019,Alice Boyle; Brad Boyle ; R. Repasky
7242,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3532851,GBIF,,Manuel Vargas,,10.281944000000001,-84.04458299999999,Rara Avis Lodge and reserve.  Atlantic slope of Costa Rica.,2001.0,1,1,1,,WGS84,2019,Alice Boyle; Brad Boyle ; R. Repasky
7243,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3532849,GBIF,,Manuel Vargas,,10.281944000000001,-84.04458299999999,Rara Avis Lodge and reserve.  Atlantic slope of Costa Rica.,2001.0,1,1,1,,WGS84,2019,Alice Boyle; Brad Boyle ; R. Repasky
7244,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3532852,GBIF,,Manuel Vargas,,10.281944000000001,-84.04458299999999,Rara Avis Lodge and reserve.  Atlantic slope of Costa Rica.,2001.0,1,1,1,,WGS84,2019,Alice Boyle; Brad Boyle ; R. Repasky
12276,PRESERVED_SPECIMEN,Schefflera nicaraguensis,4324029,GBIF,,Manuel Vargas,,10.698039,-85.00832,"Alajuela. Área de Conservación Arenal-Tempisque, P. N. Tenorio. El Piedrero Site, at the foothill of Cerro Montezuma.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Alejandro Azofeifa Zúñiga ; Soo-Yong Kim
12278,PRESERVED_SPECIMEN,Schefflera nicaraguensis,4324027,GBIF,,Manuel Vargas,,10.698039,-85.00832,"Alajuela. Área de Conservación Arenal-Tempisque, P. N. Tenorio. El Piedrero Site, at the foothill of Cerro Montezuma.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Alejandro Azofeifa Zúñiga ; Soo-Yong Kim
12282,PRESERVED_SPECIMEN,Schefflera nicaraguensis,4324030,GBIF,,Manuel Vargas,,10.698039,-85.00832,"Alajuela. Área de Conservación Arenal-Tempisque, P. N. Tenorio. El Piedrero Site, at the foothill of Cerro Montezuma.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Alejandro Azofeifa Zúñiga ; Soo-Yong Kim
12289,PRESERVED_SPECIMEN,Schefflera nicaraguensis,4324028,GBIF,,Manuel Vargas,,10.698039,-85.00832,"Alajuela. Área de Conservación Arenal-Tempisque, P. N. Tenorio. El Piedrero Site, at the foothill of Cerro Montezuma.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Alejandro Azofeifa Zúñiga ; Soo-Yong Kim
14686,PRESERVED_SPECIMEN,Schefflera nicaraguensis,2763889,GBIF,Mora Castro 769,Manuel Vargas,,9.97,-83.46,"Parque Nacional Barbilla, Cuenca del Matina, Sendero a Valle Escondido",2000.0,1,1,1,,WGS84,2019,Edgar Mora Castro|Elías Rojas
14697,PRESERVED_SPECIMEN,Schefflera nicaraguensis,2765378,GBIF,Chacón Gamboa 509,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station,1983.0,1,1,1,,WGS84,2019,Isidro A. Chacón G.
14879,PRESERVED_SPECIMEN,Schefflera nicaraguensis,2836526,GBIF,Smith 416,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí. On Pejebaje in grove around A.C. lab, about 8 m. up.",1981.0,1,1,1,,WGS84,2019,Damon A. Smith
14881,PRESERVED_SPECIMEN,Schefflera nicaraguensis,2836608,GBIF,Smith 465,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí. Pejebajes in grove near A.C. lab.",1981.0,1,1,1,,WGS84,2019,Damon A. Smith
15484,PRESERVED_SPECIMEN,Schefflera nicaraguensis,2997410,GBIF,Folsom 9353,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,James P. Folsom
15599,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3023263,GBIF,Folsom 10158,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,James P. Folsom
15600,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3023264,GBIF,Hammel 8304,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1980.0,1,1,1,,WGS84,2019,Barry E. Hammel
16597,PRESERVED_SPECIMEN,Schefflera nicaraguensis,341916,GBIF,Stevens 25166,Manuel Vargas,,10.783333,-83.616667,Shores of S half of Laguna Pereira.,1987.0,1,1,1,,WGS84,2019,W. D. Stevens|Gerardo Herrera Ch.|O.M. Montiel J.
16691,PRESERVED_SPECIMEN,Schefflera nicaraguensis,344281,GBIF,Ríos Castro 117,Manuel Vargas,,11.03333,-85.40833,"Area de Conservación Guanacaste, Estación Pitilla 700 m, Sendero El Mismo.",1990.0,1,1,1,,WGS84,2019,Petrona Ríos Castro|Curso II de Parataxónomos
16692,PRESERVED_SPECIMEN,Schefflera nicaraguensis,344334,GBIF,Davidse 31429,Manuel Vargas,,10.675,-83.658333,Inundated forest at the northern base of the southwestern-most extension of Cerro Coronel.,1986.0,1,1,1,,WGS84,2019,Gerrit Davidse|Gerardo Herrera Ch.
16693,PRESERVED_SPECIMEN,Schefflera nicaraguensis,344349,GBIF,Davidse 31490,Manuel Vargas,,10.8,-83.616667,"MARGIN OF LAGUNA DE ATRAS: between Barra del Colorado and the    mouth of the Río San Juan.    Riverine, lowland, wet forest along    edge of canals.",1986.0,1,1,1,,WGS84,2019,Gerrit Davidse|Gerardo Herrera Ch.
16825,PRESERVED_SPECIMEN,Schefflera nicaraguensis,3468158,GBIF,Aguilar Fernández RA008131,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Sendero: STR 1550m.,2003.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
25410,PRESERVED_SPECIMEN,Schefflera nicaraguensis,143745,GBIF,,Manuel Vargas,,9.97,-83.46,P.N. Barbilla Sendero a Valle Escondido.,2000.0,1,1,1,,WGS84,2019,"Mora, Edgar"
25425,PRESERVED_SPECIMEN,Schefflera nicaraguensis,199876,GBIF,,Manuel Vargas,,10.64,-83.73,R.V.S. Barra del Colorado Llanura de Tortuguero. Sardinas.,1992.0,1,1,1,,WGS84,2019,"Araya, Flor"
25437,PRESERVED_SPECIMEN,Schefflera nicaraguensis,235960,GBIF,,Manuel Vargas,,9.47,-83.86,Fila Jilguero. Sendero a la derecha de cuatro Cruces.,2002.0,1,1,1,,WGS84,2019,"Quesada, Alonso"
25439,PRESERVED_SPECIMEN,Schefflera nicaraguensis,239793,GBIF,,Manuel Vargas,,10.35,-84.1,R. E. Bijagual,2004.0,1,1,1,,WGS84,2019,"Vargas, Orlando"
35687,PRESERVED_SPECIMEN,Schefflera nicaraguensis,931628,GBIF,Rueda 1773,Manuel Vargas,,11.05,-83.83333,A lo largo del Fish y Top House Creeks ramales del Río Indio.,1994.0,1,1,1,,WGS84,2019,R.M. Rueda|B. Hernández|E. Palma
36913,PRESERVED_SPECIMEN,Schefflera nicaraguensis,900699,GBIF,Araya Mena 40,Manuel Vargas,,10.64,-83.73,R.N.F.S. Barra del Colorado; Llanura de Tortuguero. Sardinas.,1992.0,1,1,1,,WGS84,2019,Flor Araya
38812,PRESERVED_SPECIMEN,Schefflera nicaraguensis,100516713,GBIF,Boyle 69,Manuel Vargas,,10.281945,-84.04458299999999,No protegida.  Cuenca del Sarapiquí.  Rara Avis Lodge and reserve.  Atlantic slope of Costa Rica.  (area protegida privada).,2001.0,1,1,1,,WGS84,2019,Alice Boyle|Brad Boyle|R. Repasky
41491,PRESERVED_SPECIMEN,Schefflera nicaraguensis,2490077,GBIF,Smith 416,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,Damon A. Smith
41494,PRESERVED_SPECIMEN,Schefflera nicaraguensis,2502873,GBIF,Smith 465,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,Damon A. Smith
41504,PRESERVED_SPECIMEN,Schefflera nicaraguensis,2513760,GBIF,Smith 596,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,Damon A. Smith
41772,PRESERVED_SPECIMEN,Schefflera nicaraguensis,2599043,GBIF,McDowell 734,Manuel Vargas,,10.431389,-84.00361099999999,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Tim McDowell
48463,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1167432,GBIF,Rueda 4684,Manuel Vargas,,11.03333,-83.9,"Reserva Indio-Maíz, Municipio de San Juan del Norte, caño Negro, ramal del Río Indio.",1996.0,1,1,1,,WGS84,2019,R.M. Rueda|I. Coronado G.|N. Tercero
48532,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1182061,GBIF,Rueda 6050,Manuel Vargas,,11.15,-84.18333,"Reserva Indio-Maíz, Municipio de el Castillo, a lo largo del Caño Chontaleño.",1997.0,1,1,1,,WGS84,2019,R.M. Rueda|I. Coronado G.|O. Aráuz|F. Flores
49047,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1256407,GBIF,Morales Quirós 4933,Manuel Vargas,,9.749444,-82.815556,Bosque primario y asociaciones costeras cerca de la Punta Cahuita.,1995.0,1,1,1,,WGS84,2019,J. F. Morales
50583,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1407622,GBIF,Donahue 8609,Manuel Vargas,,10.5,-83.78,"Hacienda Tapezco-Hda. La Suerte. 29 air kM W of Tortuguero. Primary rainforest in an area being selectively logged. Area of low hills and mounds, a few small streams.",1979.0,1,1,1,,WGS84,2019,Julian Donahue
50584,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1407613,GBIF,Taylor 11664,Manuel Vargas,,10.46,-84.68,"3.5 km west of Fortuna, 2.5 km northwest of new Volcán Arenal along sloping base, stream edge vegetation and adjacent forest",1972.0,1,1,1,,WGS84,2019,"Raymond John Taylor, Jr.|Connie E. S. Taylor"
50900,PRESERVED_SPECIMEN,Schefflera nicaraguensis,1477394,GBIF,Smith 78,Manuel Vargas,,10.91666,-83.7,San Juan del Norte (Greytown),1896.0,1,1,1,,WGS84,2019,Charles L. Smith
