,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2486,PRESERVED_SPECIMEN,Senna cajamarcae,1595608,GBIF,,Manuel Vargas,,10.113333,-84.103889,"Montana La Isla, 3 Km al Norte de Porrosati.",1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
16220,PRESERVED_SPECIMEN,Senna cajamarcae,3263408,GBIF,Rodríguez Caballero 2292,Manuel Vargas,,-7.6,-78.43333299999999,"Cerro Minis, Distrito Unión Agua Blanca. Bosque primario.",2000.0,1,1,1,,WGS84,2019,Rafael Lucas Rodríguez
18263,PRESERVED_SPECIMEN,Senna cajamarcae,74507,GBIF,Rivera Elizondo 223,Manuel Vargas,,10.11333,-84.10388,"Montaña La Isla, 3 Km al Norte de Porrosatí",1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
18421,PRESERVED_SPECIMEN,Senna cajamarcae,78711,GBIF,Gentry 74574,Manuel Vargas,,-6.5,-79.51666,"El Pargo, 42 km E of Llama, ca. 14 km SE of Tunas Pampas, high Andean forest.",1991.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Camilo Díaz S.|Rosa Ortiz
19544,PRESERVED_SPECIMEN,Senna cajamarcae,1730800,GBIF,6371,Manuel Vargas,,-6.4903,-78.6236,"Near Las Palmas, ca. 24 km NE of Chota",1993.0,1,1,1,,WGS84,2019,M. O. Dillon
28144,PRESERVED_SPECIMEN,Senna cajamarcae,3646783,GBIF,5374,Manuel Vargas,,-5.6833,-79.3167,Camino entre El Espino y Tablon. Bosque enano.,1998.0,1,1,1,,WGS84,2019,"J. Campos, C. Díaz & T. Guevara"
33692,PRESERVED_SPECIMEN,Senna cajamarcae,V0113294F,GBIF,,Manuel Vargas,,-1.4628,-78.1869,,,1,1,1,,WGS84,2019,
33722,PRESERVED_SPECIMEN,Senna cajamarcae,V0113293F,GBIF,,Manuel Vargas,,-9.1839,-74.14,,,1,1,1,,WGS84,2019,
33789,PRESERVED_SPECIMEN,Senna cajamarcae,V0113296F,GBIF,6371,Manuel Vargas,,-6.48,-78.62,"near Las Palmas, ca. 24 km NE of Chota",1993.0,1,1,1,,WGS84,2019,M. O. Dillon et al.
33814,PRESERVED_SPECIMEN,Senna cajamarcae,V0113300F,GBIF,,Manuel Vargas,,-9.1839,-74.14,,,1,1,1,,WGS84,2019,
33941,PRESERVED_SPECIMEN,Senna cajamarcae,,GBIF,1590,Manuel Vargas,,-6.25,-78.8333,,1952.0,1,1,1,,WGS84,2019,
34152,PRESERVED_SPECIMEN,Senna cajamarcae,V0113325F,GBIF,,Manuel Vargas,,-9.1839,-74.14,,,1,1,1,,WGS84,2019,
34902,PRESERVED_SPECIMEN,Senna cajamarcae,1582992,GBIF,223,Manuel Vargas,,10.1133,-84.1039,"Cantón de Barva. Montaña La Isla, 3 km al Norte de Porrosatí",1990.0,1,1,1,,WGS84,2019,G. Rivera
37921,PRESERVED_SPECIMEN,Senna cajamarcae,100230536,GBIF,Correa A. 1315,Manuel Vargas,,8.833333,-82.616667,"Camino entre Bambito y La Amenaza, región de Cerro Punta.",1969.0,1,1,1,,WGS84,2019,Mireya D. Correa A.
41493,PRESERVED_SPECIMEN,Senna cajamarcae,2497881,GBIF,Harling 6133,Manuel Vargas,,-3.86666,-79.03333,between San Pedro and Zaruma,1959.0,1,1,1,,WGS84,2019,Gunnar Wilhelm Harling
46713,PRESERVED_SPECIMEN,Senna cajamarcae,1730802,GBIF,5374,Manuel Vargas,,-5.6833,-79.3167,Sallique. Camino entre El Espino y Tablón,1998.0,1,1,1,,WGS84,2019,J. Campos
47559,PRESERVED_SPECIMEN,Senna cajamarcae,K001088819,GBIF,5374,Manuel Vargas,,-5.68,-79.32,Camino entre El Espino y Tablon,1998.0,1,1,1,,WGS84,2019,"Guevara, T.; Campos, J.; Diaz, C."
48128,PRESERVED_SPECIMEN,Senna cajamarcae,102700,GBIF,Harling 14269,Manuel Vargas,,-3.95,-79.51666,"Road Loja-Zaruma, between Chinches and Sambi, dry shrubby woods.",1974.0,1,1,1,,WGS84,2019,Gunnar Wilhelm Harling|Lennart Andersson
50030,PRESERVED_SPECIMEN,Senna cajamarcae,1339068,GBIF,Tyson 5711,Manuel Vargas,,8.783333,-82.65,Nueva California. [As 4000 ft on original label.],1969.0,1,1,1,,WGS84,2019,Edwin L. Tyson
50039,PRESERVED_SPECIMEN,Senna cajamarcae,1340191,GBIF,Burger 11444,Manuel Vargas,,10.11,-84.11,"Evergreen montane rain forest formations on the southwestern slopes of Volcán Barva, above Sacramento at 2200 to 2300 m altitude and along the road to the National Park at ca. 2500 m",1982.0,1,1,1,,WGS84,2019,William C. Burger|Kerry Barringer|Jorge Gómez-Laurito
51160,PRESERVED_SPECIMEN,Senna cajamarcae,1552726,GBIF,Campos de la Cruz 5374,Manuel Vargas,,-5.683330000000001,-79.31666,Sallique. Camino entre El Espino y Tablón. Bosque enano.,1998.0,1,1,1,,WGS84,2019,José Campos de la Cruz|et al.
56262,PRESERVED_SPECIMEN,Senna cajamarcae,1730801,GBIF,5374,Manuel Vargas,,-5.6833,-79.3167,Sallique. Camino entre El Espino y Tablón,1998.0,1,1,1,,WGS84,2019,J. Campos
