,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
252,PRESERVED_SPECIMEN,Senna williamsii,1518194,GBIF,,Manuel Vargas,,9.677778,-84.079167,"Cerros de Caraigres, Falda SE Fila Aguabuena, entre Quebrada Pilas y Quebrada Ceniza.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
253,PRESERVED_SPECIMEN,Senna williamsii,1518197,GBIF,,Manuel Vargas,,9.677778,-84.079167,"Cerros de Caraigres, Falda SE Fila Aguabuena, entre Quebrada Pilas y Quebrada Ceniza.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
254,PRESERVED_SPECIMEN,Senna williamsii,1518195,GBIF,,Manuel Vargas,,9.677778,-84.079167,"Cerros de Caraigres, Falda SE Fila Aguabuena, entre Quebrada Pilas y Quebrada Ceniza.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
255,PRESERVED_SPECIMEN,Senna williamsii,1518196,GBIF,,Manuel Vargas,,9.677778,-84.079167,"Cerros de Caraigres, Falda SE Fila Aguabuena, entre Quebrada Pilas y Quebrada Ceniza.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1033,PRESERVED_SPECIMEN,Senna williamsii,1513126,GBIF,,Manuel Vargas,,9.659722,-84.19111099999999,"Bosques remanentes y potreros, camino a Bajos de Bijagual, por Altos El Aguacate",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2194,PRESERVED_SPECIMEN,Senna williamsii,1536491,GBIF,,Manuel Vargas,,9.972222,-84.094445,"Santo Domingo, camino al Inbio.",1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; Armando Soto
2868,PRESERVED_SPECIMEN,Senna williamsii,1602069,GBIF,,Manuel Vargas,,9.651389,-84.181944,"Bosque secundario entre Altos El Aguacate y La Palma, camino a Bajos de Bijagual.",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
8016,PRESERVED_SPECIMEN,Senna williamsii,3904451,GBIF,,Manuel Vargas,,9.668056,-84.152778,"Ca. 2 km SO de Bajo Venegas, entre Quebrada Chilamate y Quebrada Pilas.",2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
8017,PRESERVED_SPECIMEN,Senna williamsii,3904450,GBIF,,Manuel Vargas,,9.668056,-84.152778,"Ca. 2 km SO de Bajo Venegas, entre Quebrada Chilamate y Quebrada Pilas.",2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
8018,PRESERVED_SPECIMEN,Senna williamsii,3904449,GBIF,,Manuel Vargas,,9.668056,-84.152778,"Ca. 2 km SO de Bajo Venegas, entre Quebrada Chilamate y Quebrada Pilas.",2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
8019,PRESERVED_SPECIMEN,Senna williamsii,3904453,GBIF,,Manuel Vargas,,9.668056,-84.152778,"Ca. 2 km SO de Bajo Venegas, entre Quebrada Chilamate y Quebrada Pilas.",2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
8020,PRESERVED_SPECIMEN,Senna williamsii,3904457,GBIF,,Manuel Vargas,,9.668056,-84.152778,"Ca. 2 km SO de Bajo Venegas, entre Quebrada Chilamate y Quebrada Pilas.",2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
8021,PRESERVED_SPECIMEN,Senna williamsii,3904454,GBIF,,Manuel Vargas,,9.668056,-84.152778,"Ca. 2 km SO de Bajo Venegas, entre Quebrada Chilamate y Quebrada Pilas.",2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
8022,PRESERVED_SPECIMEN,Senna williamsii,3904452,GBIF,,Manuel Vargas,,9.668056,-84.152778,"Ca. 2 km SO de Bajo Venegas, entre Quebrada Chilamate y Quebrada Pilas.",2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
8023,PRESERVED_SPECIMEN,Senna williamsii,3904455,GBIF,,Manuel Vargas,,9.668056,-84.152778,"Ca. 2 km SO de Bajo Venegas, entre Quebrada Chilamate y Quebrada Pilas.",2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
