,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1224,PRESERVED_SPECIMEN,Sloanea garcia-cossioi,1554791,GBIF,,Manuel Vargas,,8.580556,-83.572222,"Rancho Quemado, Sector Sur.",1992.0,1,1,1,,WGS84,2019,Juan Marin
1240,PRESERVED_SPECIMEN,Sloanea garcia-cossioi,1555377,GBIF,,Manuel Vargas,,8.7,-83.525,"Aguabuena, La Cuenca.",1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1332,PRESERVED_SPECIMEN,Sloanea garcia-cossioi,1557565,GBIF,,Manuel Vargas,,8.7,-83.51666800000001,Aguabuena oeste.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1338,PRESERVED_SPECIMEN,Sloanea garcia-cossioi,1557686,GBIF,,Manuel Vargas,,8.694444,-83.54722199999999,"Camino a Rancho Quemado sitio conocido como Baneguitas, en la cuenca de la Quebrada Banegas.",1993.0,1,1,1,,WGS84,2019,Barry Hammel
2219,PRESERVED_SPECIMEN,Sloanea garcia-cossioi,1536855,GBIF,,Manuel Vargas,,8.725616,-83.43855500000001,"Bahia Chal, Los Mogos.",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2220,PRESERVED_SPECIMEN,Sloanea garcia-cossioi,1536853,GBIF,,Manuel Vargas,,8.725616,-83.43855500000001,"Bahia Chal, Los Mogos.",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2221,PRESERVED_SPECIMEN,Sloanea garcia-cossioi,1536857,GBIF,,Manuel Vargas,,8.725616,-83.43855500000001,"Bahia Chal, Los Mogos.",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2222,PRESERVED_SPECIMEN,Sloanea garcia-cossioi,1536854,GBIF,,Manuel Vargas,,8.725616,-83.43855500000001,"Bahia Chal, Los Mogos.",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2223,PRESERVED_SPECIMEN,Sloanea garcia-cossioi,1536852,GBIF,,Manuel Vargas,,8.725616,-83.43855500000001,"Bahia Chal, Los Mogos.",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2224,PRESERVED_SPECIMEN,Sloanea garcia-cossioi,1536856,GBIF,,Manuel Vargas,,8.725616,-83.43855500000001,"Bahia Chal, Los Mogos.",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
