,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1489,PRESERVED_SPECIMEN,Sloanea laevigata,1560452,GBIF,,Manuel Vargas,,10.402778,-84.05833299999999,Estacion Magsasay.,1990.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2813,PRESERVED_SPECIMEN,Sloanea laevigata,1601679,GBIF,,Manuel Vargas,,10.752778,-85.041667,"Flores de Bijagua, camino al Pilon de Upala.",1995.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
6794,PRESERVED_SPECIMEN,Sloanea laevigata,3414053,GBIF,,Manuel Vargas,,9.825,-83.063889,"Fila Matama, Cerro Muchilla, Falda NW. Ro Bananito, Selva Bananito Lodge.",2000.0,1,1,1,,WGS84,2019,Barry Hammel
9838,PRESERVED_SPECIMEN,Sloanea laevigata,4093175,GBIF,,Manuel Vargas,,10.686111,-84.18055600000001,"ca. 7 km NE de Boca Tapada, Laguna del Lagarto Lodge.",2005.0,1,1,1,,WGS84,2019,Daniel Solano; Israel Mena
12953,PRESERVED_SPECIMEN,Sloanea laevigata,BM000648665,GBIF,2650,Manuel Vargas,,9.788333,-83.145833,"El Progreso, entre Cerro Muchilla y Cerro Avioneta, siguiendo las filas que llevan a las cabeceras del Río Suruy. Fila Matama, Valle de la Estrella",1989.0,1,1,1,,WGS84,2019,G. Herrera & A. Chacón
15678,PRESERVED_SPECIMEN,Sloanea laevigata,3059100,GBIF,Smith 1225,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS Field Station on the Rio Puerto Viejo just E of its junciton with the Rio Sarapiqui.",1984.0,1,1,1,,WGS84,2019,Damon A. Smith|Brian Jacobs
16799,PRESERVED_SPECIMEN,Sloanea laevigata,3467694,GBIF,Vargas Ramírez 646,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Sendero: CEN 400m. Izq. 10mt.,2001.0,1,1,1,,WGS84,2019,Orlando Vargas
25500,PRESERVED_SPECIMEN,Sloanea laevigata,145971,GBIF,,Manuel Vargas,,10.72,-84.98,"El Pilón, camino al río Chimurría.",1988.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
25502,PRESERVED_SPECIMEN,Sloanea laevigata,160794,GBIF,,Manuel Vargas,,10.4,-84.05,P.N. Braulio Carrillo Estacion Magsasay.,1990.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
25503,PRESERVED_SPECIMEN,Sloanea laevigata,166405,GBIF,,Manuel Vargas,,9.78,-83.14,"El Progreso, entre Cerro Muchila Y Cerro Avioneta, siguiendo las Filas que llevan a las cabeceras del río Suruy.  Fila Matama",1989.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
25504,PRESERVED_SPECIMEN,Sloanea laevigata,166495,GBIF,,Manuel Vargas,,9.78,-83.14,"El Progreso, entre Cerro Muchilla y Cerro Avioneta, siguiendo las filas que llevan a las cabeceras del Río Suruy, Fila Matama",1989.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
30321,MATERIAL_SAMPLE,Sloanea laevigata,Temp-ACU741,GBIF,HMC20154,Manuel Vargas,,6.585112,-73.575409,"Vereda La Belleza, camino entre la casa del señor Santiago Estrada y la quebrada Cascajales",2018.0,1,1,1,,WGS84,2019,Humberto Mendoza | Angela Celis | Aura Robles
35799,PRESERVED_SPECIMEN,Sloanea laevigata,956342,GBIF,Hammel 11654,Manuel Vargas,,10.431389,-84.00361099999999,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Barry E. Hammel
