,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2483,PRESERVED_SPECIMEN,Sloanea petenensis,1595533,GBIF,,Manuel Vargas,,9.780555999999999,-84.6,Estacion Quebrada Bonita. Bosque primario.,1990.0,1,1,1,,WGS84,2019,Elias Rojas
3124,PRESERVED_SPECIMEN,Sloanea petenensis,1579919,GBIF,,Manuel Vargas,,9.780555999999999,-84.6,Estacion Quebrada Bonita. Bosque primario.,1990.0,1,1,1,,WGS84,2019,Elias Rojas
5623,PRESERVED_SPECIMEN,Sloanea petenensis,3093727,GBIF,,Manuel Vargas,,10.455556,-84.588889,Zona Fluca; ca. 4 Km northeast of San Francisco.,2004.0,1,1,1,,WGS84,2019,M. Josué Castro; Kenji Nishida
6944,PRESERVED_SPECIMEN,Sloanea petenensis,3481178,GBIF,,Manuel Vargas,,10.455556,-84.588889,Zona Fluca; ca. 4 Km northeast of San Francisco.,2004.0,1,1,1,,WGS84,2019,M. Josué Castro; Kenji Nishida
6945,PRESERVED_SPECIMEN,Sloanea petenensis,3481177,GBIF,,Manuel Vargas,,10.455556,-84.588889,Zona Fluca; ca. 4 Km northeast of San Francisco.,2004.0,1,1,1,,WGS84,2019,M. Josué Castro; Kenji Nishida
7716,PRESERVED_SPECIMEN,Sloanea petenensis,3844898,GBIF,,Manuel Vargas,,10.455556,-84.588889,Zona Fluca; ca. 4 Km northeast of San Francisco.,2004.0,1,1,1,,WGS84,2019,M. Josué Castro; Kenji Nishida
11012,PRESERVED_SPECIMEN,Sloanea petenensis,4150742,GBIF,,Manuel Vargas,,10.452778,-84.611111,Entre Zona Fluca y El Burrito. A orilla de la calle.,2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
11013,PRESERVED_SPECIMEN,Sloanea petenensis,4150745,GBIF,,Manuel Vargas,,10.452778,-84.611111,Entre Zona Fluca y El Burrito. A orilla de la calle.,2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
11014,PRESERVED_SPECIMEN,Sloanea petenensis,4150743,GBIF,,Manuel Vargas,,10.452778,-84.611111,Entre Zona Fluca y El Burrito. A orilla de la calle.,2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
11015,PRESERVED_SPECIMEN,Sloanea petenensis,4150744,GBIF,,Manuel Vargas,,10.452778,-84.611111,Entre Zona Fluca y El Burrito. A orilla de la calle.,2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
11152,PRESERVED_SPECIMEN,Sloanea petenensis,4192750,GBIF,,Manuel Vargas,,9.776389,-84.606944,"Tarcoles. Dentro del bosque, por el sendero Quebrada Bonita. Antes de llegar a la quebrada.",2004.0,1,1,1,,WGS84,2019,L. Acosta; Luis Diego Vargas
11175,PRESERVED_SPECIMEN,Sloanea petenensis,4194459,GBIF,,Manuel Vargas,,9.778611,-84.606111,P.N. Carara. Sendero Universal.,2003.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Jorge Blanco
11177,PRESERVED_SPECIMEN,Sloanea petenensis,4194461,GBIF,,Manuel Vargas,,9.778611,-84.606111,P.N. Carara. Sendero Universal.,2003.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Jorge Blanco
11180,PRESERVED_SPECIMEN,Sloanea petenensis,4194460,GBIF,,Manuel Vargas,,9.778611,-84.606111,P.N. Carara. Sendero Universal.,2003.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Jorge Blanco
11181,PRESERVED_SPECIMEN,Sloanea petenensis,4194462,GBIF,,Manuel Vargas,,9.778611,-84.606111,P.N. Carara. Sendero Universal.,2003.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Jorge Blanco
11604,PRESERVED_SPECIMEN,Sloanea petenensis,4233328,GBIF,,Manuel Vargas,,9.775111,-84.606139,P.N. Carara.Alrededores del Sendero para discapacitados,2006.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Diego Castillo
16315,PRESERVED_SPECIMEN,Sloanea petenensis,3303225,GBIF,Camp E-3598,Manuel Vargas,,-2.21666,-79.4,"Coastal plain, in the vicinity of Naranjito.",1945.0,1,1,1,,WGS84,2019,Wendell H. Camp
20090,PRESERVED_SPECIMEN,Sloanea petenensis,48975,GBIF,,Manuel Vargas,,18.448332999999998,-95.211667,"EJIDO LAGUNA ESCONDIDA MPIO. SAN ANDRES TUXTLA, VER.",1982.0,1,1,1,,WGS84,2019,J. Zavaleta P.; et al.
20091,PRESERVED_SPECIMEN,Sloanea petenensis,48976,GBIF,,Manuel Vargas,,18.585,-95.07,"LOTE 71, ESTACION DE BIOLOGIA TROPICAL LOS TUXTLAS",1987.0,1,1,1,,WGS84,2019,S. Sinaca C.
32235,PRESERVED_SPECIMEN,Sloanea petenensis,620424,GBIF,,Manuel Vargas,,18.601389,-95.0875,"3 Km al NW de la Estación de Biología Los Tuxtlas, Laguna Escondida",1986.0,1,1,1,,WGS84,2019,Santiago Sinaca Colín
32236,PRESERVED_SPECIMEN,Sloanea petenensis,540104,GBIF,,Manuel Vargas,,18.584722,-95.083333,"Estación de Biología Los Tuxtlas, Lote 71",1987.0,1,1,1,,WGS84,2019,Santiago Sinaca Colín
32237,PRESERVED_SPECIMEN,Sloanea petenensis,414430,GBIF,,Manuel Vargas,,18.583889000000003,-95.08416700000001,"Estación de Biología Los Tuxtlas, Lote 67",1984.0,1,1,1,,WGS84,2019,Guillermo Ibarra Manríquez
32238,PRESERVED_SPECIMEN,Sloanea petenensis,419153,GBIF,,Manuel Vargas,,18.58464049069048,-95.08964999794864,Laguna Zacatal,1984.0,1,1,1,,WGS84,2019,Guillermo Ibarra Manríquez
32239,PRESERVED_SPECIMEN,Sloanea petenensis,413919,GBIF,,Manuel Vargas,,18.583889000000003,-95.08416700000001,"Estación de Biología Los Tuxtlas, Lote 67",1985.0,1,1,1,,WGS84,2019,Guillermo Ibarra Manríquez
32240,PRESERVED_SPECIMEN,Sloanea petenensis,757315,GBIF,,Manuel Vargas,,17.517222,-92.902778,"Centro Regional Tropical Puyacatengo, Sierra El Madrigal",1993.0,1,1,1,,WGS84,2019,Ana María Hanan Alipí
32241,PRESERVED_SPECIMEN,Sloanea petenensis,483533,GBIF,,Manuel Vargas,,17.585556,-91.22,"2 Km al N de Arroyo Del Triunfo, 5 Km al E de la carretera W-O",1982.0,1,1,1,,WGS84,2019,Mario Vázquez T.
32242,PRESERVED_SPECIMEN,Sloanea petenensis,429386,GBIF,,Manuel Vargas,,18.575,-95.075,"Estación de Biología Los Tuxtlas, Cerro Lázaro Cárdenas",1986.0,1,1,1,,WGS84,2019,Santiago Sinaca Colín
32243,PRESERVED_SPECIMEN,Sloanea petenensis,428737,GBIF,,Manuel Vargas,,18.575,-95.075,"Estación de Biología Los Tuxtlas, Cerro Lázaro Cárdenas",1986.0,1,1,1,,WGS84,2019,Santiago Sinaca Colín
32244,PRESERVED_SPECIMEN,Sloanea petenensis,23779,GBIF,,Manuel Vargas,,20.703332999999997,-103.58694399999999,"Campamento Lamdin, La Primavera",1975.0,1,1,1,,WGS84,2019,Mario Vázquez T.
32245,PRESERVED_SPECIMEN,Sloanea petenensis,402535,GBIF,,Manuel Vargas,,18.583889000000003,-95.08416700000001,"Estación de Biología Los Tuxtlas, Lote 67",1984.0,1,1,1,,WGS84,2019,Guillermo Ibarra Manríquez
