,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1098,PRESERVED_SPECIMEN,Sloanea rugosa,1514486,GBIF,,Manuel Vargas,,10.879167,-84.311111,"Proyecto Minero Placer-Dome, camino al cerro Las Crucitas. -- & L. Gonzalez.",1996.0,1,1,1,,WGS84,2019,Jose González
1288,PRESERVED_SPECIMEN,Sloanea rugosa,1556661,GBIF,,Manuel Vargas,,10.405,-84.05833299999999,"Estacion Magsasay, Rio Peje.",1990.0,1,1,1,,WGS84,2019,Daniel Acevedo
1372,PRESERVED_SPECIMEN,Sloanea rugosa,1558271,GBIF,,Manuel Vargas,,10.990556,-85.427778,Estacion Pitilla.,1991.0,1,1,1,,WGS84,2019,Calixto Moraga
1492,PRESERVED_SPECIMEN,Sloanea rugosa,1560457,GBIF,,Manuel Vargas,,10.725,-85.008333,"El Pilon, de la interseccion del camino de Arguello (San Miguel) a El Pilon con el Rio Chimurria, aguas arriba, margen izquierda. Bijagua.",1988.0,1,1,1,,WGS84,2019,Gerardo Herrera
1870,PRESERVED_SPECIMEN,Sloanea rugosa,1567880,GBIF,,Manuel Vargas,,10.401111,-84.050833,Estacion Magsasay. Bosque primario.,1990.0,1,1,1,,WGS84,2019,Gerardo Carballo
2068,PRESERVED_SPECIMEN,Sloanea rugosa,1574528,GBIF,,Manuel Vargas,,9.725278,-84.395,"Cerro Pelon, charrales y bosque primario remanente en la cima del cerro y cerca del antiguo camino a Quepos.",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2093,PRESERVED_SPECIMEN,Sloanea rugosa,1575409,GBIF,,Manuel Vargas,,10.990556,-85.427779,Estacion Pitilla.,1991.0,1,1,1,,WGS84,2019,Calixto Moraga
4783,PRESERVED_SPECIMEN,Sloanea rugosa,2843685,GBIF,,Manuel Vargas,,10.422222,-84.022222,"La Selva Biological Station. Beside CC trail at 1200 m. Tropical wet forest, on well-drained upland soils. Tenth hectare transect LS-2.",1998.0,1,1,1,,WGS84,2019,Brad Boyle; Michael H. Grayum ; Barry Hammel
4845,PRESERVED_SPECIMEN,Sloanea rugosa,2918529,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,"Rancho Quemado, ca. 15 km W of Rincon; along Quebrada Quebradon and ridge above it.",1988.0,1,1,1,,WGS84,2019,Barry Hammel
4946,PRESERVED_SPECIMEN,Sloanea rugosa,2920870,GBIF,,Manuel Vargas,,10.866667,-85.283333,Colonia Libertad. 2 Km al Noreste de la Escuela.,1988.0,1,1,1,,WGS84,2019,Gerardo Herrera
15653,PRESERVED_SPECIMEN,Sloanea rugosa,3052867,GBIF,Smith 1226,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS Field Station on the Rio Puerto Viejo just E of its junciton with the Rio Sarapiqui.",1984.0,1,1,1,,WGS84,2019,Damon A. Smith
15679,PRESERVED_SPECIMEN,Sloanea rugosa,3059097,GBIF,Smith 1224,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS Field Station on the Rio Puerto Viejo just E of its junciton with the Rio Sarapiqui.",1984.0,1,1,1,,WGS84,2019,Damon A. Smith|Brian Jacobs
15865,PRESERVED_SPECIMEN,Sloanea rugosa,3150128,GBIF,Valverde Barrantes 1014,Manuel Vargas,,9.541667,-84.022222,San Lorenzo.  Llanos de Santa María.,1998.0,1,1,1,,WGS84,2019,Óscar Valverde|Armando Estrada|E. Volio
16476,PRESERVED_SPECIMEN,Sloanea rugosa,3357532,GBIF,Garrido 3921,Manuel Vargas,,11.12083,-84.35110999999999,"Municipio El Castillo,Comunidad Las Maravillas 1 km al Este",2005.0,1,1,1,,WGS84,2019,W. Garrido
18401,PRESERVED_SPECIMEN,Sloanea rugosa,780983,GBIF,Acevedo Mendoza 142,Manuel Vargas,,10.405,-84.05833,"Parque Nacional Braulio Carrillo Estación Magsasay, Sarapiquí, bosque secundario",1990.0,1,1,1,,WGS84,2019,Daniel Acevedo|Curso II de Parataxónomos
25494,PRESERVED_SPECIMEN,Sloanea rugosa,122174,GBIF,,Manuel Vargas,,10.38,-83.96,Along Río Puerto Viejo ca. 3 km N of Las Horquetas on road to Puerto Viejo de Sarapiquí,1984.0,1,1,1,,WGS84,2019,"Grayum, Michael"
25501,PRESERVED_SPECIMEN,Sloanea rugosa,146738,GBIF,,Manuel Vargas,,8.66,-83.56,"R.F. Golfo Dulce Rancho Quemado, ca. 15 km Wof Rincón, along Quebrada Quebradón",1988.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
25512,PRESERVED_SPECIMEN,Sloanea rugosa,200300,GBIF,,Manuel Vargas,,10.4,-84.05,P.N. Braulio Carrillo Estación Magsasay.,1990.0,1,1,1,,WGS84,2019,"Acevedo, Daniel"
25519,PRESERVED_SPECIMEN,Sloanea rugosa,214715,GBIF,,Manuel Vargas,,10.87,-84.31,llanura de San Carlos.Proyecto Minero Placer-Dome,1996.0,1,1,1,,WGS84,2019,"González, José"
