,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
16611,PRESERVED_SPECIMEN,Stephanopodium gentryi,3426115,GBIF,McPherson 19880,Manuel Vargas,,8.83111,-80.685,Teck Cominco Petaquilla mining concession. Ridgetop forest along road. Collected with H. van der Werff.,2007.0,1,1,1,,WGS84,2019,Gordon McPherson
26271,PRESERVED_SPECIMEN,Stephanopodium gentryi,188897,GBIF,714,Manuel Vargas,,6.0833330000000005,-77.400002,Orillas del Rio Mutata.,1973.0,1,1,1,,WGS84,2019,Enrique Forero González
29452,PRESERVED_SPECIMEN,Stephanopodium gentryi,Temp-AAJ081,GBIF,RG2830,Manuel Vargas,,5.1082220000000005,-76.861694,"Comunidad de Pie de Pepe, asentamiento Bocas de Berrecuy. En bosques secundarios. Al interior de la parcela permanente de 1 ha, establecida por CONIF.",2014.0,1,1,1,,WGS84,2019,R. González M.; M. González; B. Salgado; W. Vargas; M. Mesa; R. Mosquera; A. Castro.
34835,PRESERVED_SPECIMEN,Stephanopodium gentryi,467957,GBIF,714,Manuel Vargas,,6.08,-77.42,Río Mutatá. Orillas del río,1973.0,1,1,1,,WGS84,2019,E. Forero
38143,PRESERVED_SPECIMEN,Stephanopodium gentryi,100397015,GBIF,Araúz Servellón 2003A,Manuel Vargas,,8.848056,-80.695833,Distrito de Donoso Helipad C07. Afluente del río Rinconcito. UTM: E533429; N978091,2009.0,1,1,1,,WGS84,2019,Blanca Araúz|José De Gracia
47299,PRESERVED_SPECIMEN,Stephanopodium gentryi,RB00538296,GBIF,714,Manuel Vargas,,6.0833330000000005,-77.416667,Depto. De Chocó. Rio Mutatá orillas del rio.,1973.0,1,1,1,,WGS84,2019,"Forero, E.; Al Gentry"
49094,PRESERVED_SPECIMEN,Stephanopodium gentryi,1257810,GBIF,Aguilar Fernández 4209,Manuel Vargas,,10.44,-83.78,Finca La Suerte.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
50352,PRESERVED_SPECIMEN,Stephanopodium gentryi,137811,GBIF,de Nevers 5220,Manuel Vargas,,9.316667,-78.916667,"El Llano-Cartí Road, Km 19.1.",1985.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Heraclio Herrera|Susan Charnley
50353,PRESERVED_SPECIMEN,Stephanopodium gentryi,137804,GBIF,de Nevers 4323,Manuel Vargas,,9.3,-78.975,"El Llano-Cartí Road, 19.1 km from Interamerican Hwy.",1984.0,1,1,1,,WGS84,2019,Greg C. de Nevers
50480,PRESERVED_SPECIMEN,Stephanopodium gentryi,1394503,GBIF,Knapp 4661,Manuel Vargas,,8.641667,-77.4,"Trail from Puerto Obaldía to La Bonga, tributary of the Río Armila, ca. 2 hours walk from Puerto Obaldía. [Coordinates on original label: 08º40'N, 077º25'W]",1982.0,1,1,1,,WGS84,2019,Sandy Knapp|Jim Mallet
51243,PRESERVED_SPECIMEN,Stephanopodium gentryi,1595185,GBIF,Sugden 467,Manuel Vargas,,8.808333,-77.675,Studies of evergreen lowland seasonal rainforest on the Aila Terrain (Rio Acla).,1979.0,1,1,1,,WGS84,2019,Andrew M. Sugden
51552,PRESERVED_SPECIMEN,Stephanopodium gentryi,1698030,GBIF,Jiménez Madrigal 1767,Manuel Vargas,,10.5,-83.68,Llanura de Tortuguero. Cariari Cuatro Esquinas. Finca Cantagallo,1995.0,1,1,1,,WGS84,2019,Quírico Jiménez|R. Quesada|Luis Diego Vargas
51563,PRESERVED_SPECIMEN,Stephanopodium gentryi,1698100,GBIF,Forero 714,Manuel Vargas,,6.08333,-77.41666,Río Mutatá. Orillas del río,1973.0,1,1,1,,WGS84,2019,Enrique  Forero|Alwyn H. Gentry
