,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
164,HUMAN_OBSERVATION,Swietenia macrophylla,6092401,GBIF,,Manuel Vargas,,19.463729999999998,-96.576993,,2011.0,1,1,1,,WGS84,2019,Azul
165,PRESERVED_SPECIMEN,Swietenia macrophylla,548555,GBIF,4671,Manuel Vargas,,16.75,-91.133333,"S de la comunidad Maya de Lacanja-chansayab, camino a la laguna",1994.0,1,1,1,,WGS84,2019,"Flores M., Alejandro"
274,PRESERVED_SPECIMEN,Swietenia macrophylla,1518538,GBIF,,Manuel Vargas,,9.7775,-84.258333,Coyolar.,1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel
275,PRESERVED_SPECIMEN,Swietenia macrophylla,1518539,GBIF,,Manuel Vargas,,9.7775,-84.258333,Coyolar.,1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel
276,PRESERVED_SPECIMEN,Swietenia macrophylla,1518537,GBIF,,Manuel Vargas,,9.7775,-84.258333,Coyolar.,1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel
277,PRESERVED_SPECIMEN,Swietenia macrophylla,1518535,GBIF,,Manuel Vargas,,9.7775,-84.258333,Coyolar.,1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel
278,PRESERVED_SPECIMEN,Swietenia macrophylla,1518536,GBIF,,Manuel Vargas,,9.7775,-84.258333,Coyolar.,1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel
279,PRESERVED_SPECIMEN,Swietenia macrophylla,1518533,GBIF,,Manuel Vargas,,9.7775,-84.258333,Coyolar.,1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel
280,PRESERVED_SPECIMEN,Swietenia macrophylla,1518534,GBIF,,Manuel Vargas,,9.7775,-84.258333,Coyolar.,1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel
932,PRESERVED_SPECIMEN,Swietenia macrophylla,1510581,GBIF,,Manuel Vargas,,10.845833,-85.615278,Bosques entre la Casona y el puesto de entrada.,1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1732,PRESERVED_SPECIMEN,Swietenia macrophylla,1563788,GBIF,,Manuel Vargas,,9.891667,-84.469444,"Sitio Cerro Rayos. Entre San Pablo y San Pedro, camino a Llano Bonito.",1991.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga
1977,PRESERVED_SPECIMEN,Swietenia macrophylla,1571388,GBIF,,Manuel Vargas,,10.478333000000001,-85.74583299999999,"Cerros Raspado El Burro, Bosque primario por cuesta Nuevo Colon, Faldas C. Bolsa.",1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1986,PRESERVED_SPECIMEN,Swietenia macrophylla,1572132,GBIF,,Manuel Vargas,,9.842506,-85.361862,"Bejuco, Pilas de Bejuco, finca el Palmar propiedad de la familia Ruiz.",1994.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
