,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1504,PRESERVED_SPECIMEN,Tachigali costaricensis,1560777,GBIF,,Manuel Vargas,,10.336111,-84.1,Entre Estacion El Ceibo y San Ramon de La Virgen de Sarapiqui.,1989.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1703,PRESERVED_SPECIMEN,Tachigali costaricensis,1562395,GBIF,,Manuel Vargas,,11.033333,-85.422223,Estacion Pitilla; 5 km N de la Estacion al lado del camino en remanente de bosque primario; La Pasmompa. - J. Kallunki,1989.0,1,1,1,,WGS84,2019,Barry Hammel
1707,PRESERVED_SPECIMEN,Tachigali costaricensis,1562396,GBIF,,Manuel Vargas,,10.333333,-84.033333,"15 km SW of Horquetas, W of Rara Avis. Between Rio Guacimo & Rio Peje.     - T. Villalobos",1989.0,1,1,1,,WGS84,2019,Barry Hammel
1917,PRESERVED_SPECIMEN,Tachigali costaricensis,1569434,GBIF,,Manuel Vargas,,11.033333,-85.408334,"Estacion Pitilla. Sendero El Mismo, Finca La Pasmompa.",1990.0,1,1,1,,WGS84,2019,Petrona Ríos Castro
2803,PRESERVED_SPECIMEN,Tachigali costaricensis,1601602,GBIF,,Manuel Vargas,,10.883333,-84.486111,El Concho de Poco Sol.,1989.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
4821,PRESERVED_SPECIMEN,Tachigali costaricensis,2918263,GBIF,,Manuel Vargas,,10.216667,-83.916667,"In forest on slopes along small stream ca. 2 km E of lower park Station, Braulio Carrillo; Finca Gonzalez; San Jose-Guapiles Highway.",1988.0,1,1,1,,WGS84,2019,Barry Hammel
5097,PRESERVED_SPECIMEN,Tachigali costaricensis,2926200,GBIF,,Manuel Vargas,,10.990556,-85.427779,Estacion Pitilla. Bosque primario y secundario en las margenes del camino.,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
5322,PRESERVED_SPECIMEN,Tachigali costaricensis,2909511,GBIF,,Manuel Vargas,,10.332778,-84.078889,Puesto El Ceibo. Gently sloping area just above the steep rim of the Rio Peje gorge on the west side. Along side path that goes from guard house to water   --,1992.0,1,1,1,,WGS84,2019,Brad Boyle
9781,PRESERVED_SPECIMEN,Tachigali costaricensis,4089977,GBIF,,Manuel Vargas,,10.686111,-84.18055600000001,"ca. 7 km NE de Boca Tapada, Laguna del Lagarto Lodge.",2005.0,1,1,1,,WGS84,2019,Daniel Solano; Jose Luis Chaves ; Israel Mena
12128,PRESERVED_SPECIMEN,Tachigali costaricensis,4313806,GBIF,,Manuel Vargas,,10.901778,-85.274917,"Alajuela, Aguas Claras. Área de Conservación Guanacaste, Sector Estación Caribe, 2 km después del río Francia.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
12130,PRESERVED_SPECIMEN,Tachigali costaricensis,4313809,GBIF,,Manuel Vargas,,10.901778,-85.274917,"Alajuela, Aguas Claras. Área de Conservación Guanacaste, Sector Estación Caribe, 2 km después del río Francia.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
12131,PRESERVED_SPECIMEN,Tachigali costaricensis,4313807,GBIF,,Manuel Vargas,,10.901778,-85.274917,"Alajuela, Aguas Claras. Área de Conservación Guanacaste, Sector Estación Caribe, 2 km después del río Francia.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
12132,PRESERVED_SPECIMEN,Tachigali costaricensis,4313808,GBIF,,Manuel Vargas,,10.901778,-85.274917,"Alajuela, Aguas Claras. Área de Conservación Guanacaste, Sector Estación Caribe, 2 km después del río Francia.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
12621,PRESERVED_SPECIMEN,Tachigali costaricensis,4439832,GBIF,,Manuel Vargas,,10.846945,-85.326672,"P.N. Rincón de la Vieja, Upala, Send. Crater.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Jie Cai ; Yu Min Shui ; M. Pengfei ; Roberto Espinoza ; Enia Navarro ; Jorge Hernández
12627,PRESERVED_SPECIMEN,Tachigali costaricensis,4439833,GBIF,,Manuel Vargas,,10.846945,-85.326672,"P.N. Rincón de la Vieja, Upala, Send. Crater.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Jie Cai ; Yu Min Shui ; M. Pengfei ; Roberto Espinoza ; Enia Navarro ; Jorge Hernández
12628,PRESERVED_SPECIMEN,Tachigali costaricensis,4439834,GBIF,,Manuel Vargas,,10.846945,-85.326672,"P.N. Rincón de la Vieja, Upala, Send. Crater.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Jie Cai ; Yu Min Shui ; M. Pengfei ; Roberto Espinoza ; Enia Navarro ; Jorge Hernández
12641,PRESERVED_SPECIMEN,Tachigali costaricensis,4440339,GBIF,,Manuel Vargas,,10.965833,-85.321333,"Alajuela, Upala, Dos Ríos, La Jabalina. Área de Conservación Guanacaste, Sector Rincon Rain Forest, Estación Wege.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; Jorge Hernández ; Alejandro Azofeifa Zúñiga ; Carlos Viquez
12643,PRESERVED_SPECIMEN,Tachigali costaricensis,4440340,GBIF,,Manuel Vargas,,10.965833,-85.321333,"Alajuela, Upala, Dos Ríos, La Jabalina. Área de Conservación Guanacaste, Sector Rincon Rain Forest, Estación Wege.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; Jorge Hernández ; Alejandro Azofeifa Zúñiga ; Carlos Viquez
12644,PRESERVED_SPECIMEN,Tachigali costaricensis,4440341,GBIF,,Manuel Vargas,,10.965833,-85.321333,"Alajuela, Upala, Dos Ríos, La Jabalina. Área de Conservación Guanacaste, Sector Rincon Rain Forest, Estación Wege.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; Jorge Hernández ; Alejandro Azofeifa Zúñiga ; Carlos Viquez
