,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
154,UNKNOWN,Tachigali versicolor,100081292,GBIF,,Manuel Vargas,,8.68333,-83.2167,"P.N. Esquinas, near the Biological Station La Gamba, in the field of Don Victor",1999.0,1,1,1,,WGS84,2019,Huber Werner
155,UNKNOWN,Tachigali versicolor,100081293,GBIF,,Manuel Vargas,,8.68333,-83.2167,"P.N. Esquinas, near the Biological Station La Gamba, in the field of Don Victor",1999.0,1,1,1,,WGS84,2019,Huber Werner
1345,PRESERVED_SPECIMEN,Tachigali versicolor,1557870,GBIF,,Manuel Vargas,,9.766667,-84.533333,Mature moist forest Rio Carara near Carara Guard Post. INBio parataxonomy course.,1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry; Nelson A. Zamora Villalobos ; Quirico Jiménez
1510,PRESERVED_SPECIMEN,Tachigali versicolor,1560781,GBIF,,Manuel Vargas,,8.398611,-83.33555600000001,Bosque entre Playa Piro y Quebrada Coyunda,1990.0,1,1,1,,WGS84,2019,Abelardo Chacon
1513,PRESERVED_SPECIMEN,Tachigali versicolor,1560780,GBIF,,Manuel Vargas,,9.75,-84.533333,"Sendero Lalo Barboza, entrando por el Sur. - N. Zamora & Curso de Botanica.",1993.0,1,1,1,,WGS84,2019,Quirico Jiménez
2016,PRESERVED_SPECIMEN,Tachigali versicolor,1572907,GBIF,,Manuel Vargas,,8.627778,-83.45,"La Amapola. Entre La Palma y Rio Conte, sector a 10 msnm",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2318,PRESERVED_SPECIMEN,Tachigali versicolor,1588525,GBIF,,Manuel Vargas,,8.772222,-83.377779,Los Mogos. Punta Pargos.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3106,PRESERVED_SPECIMEN,Tachigali versicolor,1579426,GBIF,,Manuel Vargas,,8.7,-83.486111,Rincon.,1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3177,PRESERVED_SPECIMEN,Tachigali versicolor,1581012,GBIF,,Manuel Vargas,,8.627778,-83.45,"La Amapola. Entre La Palma y Rio Conte, sector a 10 msnm",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3313,PRESERVED_SPECIMEN,Tachigali versicolor,1583880,GBIF,,Manuel Vargas,,8.627778,-83.45,"La Amapola. Entre La Palma y Rio Conte, sector a 10 msnm",1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
