,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
157,UNKNOWN,Tetrorchidium euryphyllum,100081598,GBIF,,Manuel Vargas,,10.3333,-84.3333,"P.N. Braulio Carillo, Rio Sucio",1994.0,1,1,1,,WGS84,2019,"Huber Werner, Weissenhofer Anton"
158,UNKNOWN,Tetrorchidium euryphyllum,100081599,GBIF,,Manuel Vargas,,10.2833,-84.2,"Cariblanco, Bosque del Rio San Fernando",1994.0,1,1,1,,WGS84,2019,"Huber Werner, Weissenhofer Anton"
1369,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1558166,GBIF,,Manuel Vargas,,10.433333,-84.01666999999999,"Rio Sarapiqui near Puerto Viejo, tropical wet forest, junction SSO and LOC Trails.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
1497,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1560707,GBIF,,Manuel Vargas,,10.153333,-83.945833,Sendero Botarrama. Bosque primario en las confluencias de varias quebradas innominadas tributarias de Quebrada Gonzalez.,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1499,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1560708,GBIF,,Manuel Vargas,,10.333333,-84.7,"Rio Penas Blancas, Quebrada Celeste.",1988.0,1,1,1,,WGS84,2019,Erick Bello
1827,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1567096,GBIF,,Manuel Vargas,,10.383333,-84.666667,"San Bosco, Monteverde. Rio Penas Blancas.",1988.0,1,1,1,,WGS84,2019,William Haber
1883,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1568196,GBIF,,Manuel Vargas,,10.058333,-84.016667,"Antigua Estacion Carrillo, Sendero La Botella.",1992.0,1,1,1,,WGS84,2019,Nora Martin
2069,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1574535,GBIF,,Manuel Vargas,,9.590278,-84.068056,"San Marcos, Cerro El Pito, bosques secundarios en el camino a Quepos.",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2100,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1575890,GBIF,,Manuel Vargas,,10.294444,-84.75,"Rio Penas Blancas, Ref. Aleman s.",1992.0,1,1,1,,WGS84,2019,Erick Bello
2328,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1589190,GBIF,,Manuel Vargas,,10.298611,-84.205556,"Los Angeles, camino de Los Angeles a la Laguna De Hule.",1995.0,1,1,1,,WGS84,2019,Jose González
3077,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1608183,GBIF,,Manuel Vargas,,10.272222,-84.175,Camino a la Colonia Virgen del Socorro.,1996.0,1,1,1,,WGS84,2019,Jose González
3232,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1582283,GBIF,,Manuel Vargas,,10.163889,-83.95277800000001,Sitio la antigua Estacion Carillo.,1995.0,1,1,1,,WGS84,2019,Barry Hammel
3251,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1582674,GBIF,,Manuel Vargas,,10.327778,-84.080556,Estacion El Ceibo.,1995.0,1,1,1,,WGS84,2019,Jose González
3428,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,1587164,GBIF,,Manuel Vargas,,10.283333,-84.033334,"Rara Avis, ca. 15 km al suroeste de Horquetas.",1989.0,1,1,1,,WGS84,2019,Orlando Vargas
4542,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,2836193,GBIF,,Manuel Vargas,,10.253889,-84.082778,"Transect trail to left of trail, approx. 45 minute walk above refuge at 1070 m elevation. Mossy wet cloud forest.",1997.0,1,1,1,,WGS84,2019,Brad Boyle; T. Carr ; P. O Hara ; J. Peters
4543,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,2836195,GBIF,,Manuel Vargas,,10.253889,-84.082778,"Transect trail to left of trail, approx. 45 minute walk above refuge at 1070 m elevation. Mossy wet cloud forest.",1997.0,1,1,1,,WGS84,2019,Brad Boyle; T. Carr ; P. O Hara ; J. Peters
4545,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,2836194,GBIF,,Manuel Vargas,,10.253889,-84.082778,"Transect trail to left of trail, approx. 45 minute walk above refuge at 1070 m elevation. Mossy wet cloud forest.",1997.0,1,1,1,,WGS84,2019,Brad Boyle; T. Carr ; P. O Hara ; J. Peters
4549,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,2836192,GBIF,,Manuel Vargas,,10.253889,-84.082778,"Transect trail to left of trail, approx. 45 minute walk above refuge at 1070 m elevation. Mossy wet cloud forest.",1997.0,1,1,1,,WGS84,2019,Brad Boyle; T. Carr ; P. O Hara ; J. Peters
4971,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,2921318,GBIF,,Manuel Vargas,,9.797222,-83.091667,"Cerro Muchilla, Fila Matama.",1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
5201,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,2905526,GBIF,,Manuel Vargas,,10.374722,-84.036111,P. N. Braulio Carrillo. Estación El Ceibo.,1989.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
5343,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,2909841,GBIF,,Manuel Vargas,,10.297222,-84.073611,Puesto El Ceibo. On ridge crest 250 m E of Transect Trail. Primary premontane wet forest.,1994.0,1,1,1,,WGS84,2019,Brad Boyle
5420,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,2913122,GBIF,,Manuel Vargas,,10.433333,-84.01666999999999,"Rio Sarapiqui near Puerto Viejo, tropical wet forest, junction SSO and LOC Trails.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
5514,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,2916831,GBIF,,Manuel Vargas,,10.3,-84.75,Rio Penas Blancas.,1987.0,1,1,1,,WGS84,2019,William Haber
5710,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3100408,GBIF,,Manuel Vargas,,9.770744,-83.801985,Tapanti,2000.0,1,1,1,,WGS84,2019,Evelio Alfaro
5712,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3100407,GBIF,,Manuel Vargas,,9.770744,-83.801985,Tapanti,2000.0,1,1,1,,WGS84,2019,Evelio Alfaro
5713,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3100406,GBIF,,Manuel Vargas,,9.770744,-83.801985,Tapanti,2000.0,1,1,1,,WGS84,2019,Evelio Alfaro
5986,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3157099,GBIF,,Manuel Vargas,,10.19,-83.856944,Finca del Convenio Bosques Tropicales-INBio.,1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Luis Diego Vargas ; L. Acosta
5987,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3157098,GBIF,,Manuel Vargas,,10.19,-83.856944,Finca del Convenio Bosques Tropicales-INBio.,1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Luis Diego Vargas ; L. Acosta
5993,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3161979,GBIF,,Manuel Vargas,,9.972222,-83.45277800000001,"P. N. Barbilla. Sendero Principal, colecta junto al Río Dantas",2001.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
5996,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3161977,GBIF,,Manuel Vargas,,9.972222,-83.45277800000001,"P. N. Barbilla. Sendero Principal, colecta junto al Río Dantas",2001.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
5997,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3161980,GBIF,,Manuel Vargas,,9.972222,-83.45277800000001,"P. N. Barbilla. Sendero Principal, colecta junto al Río Dantas",2001.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
5998,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3161981,GBIF,,Manuel Vargas,,9.972222,-83.45277800000001,"P. N. Barbilla. Sendero Principal, colecta junto al Río Dantas",2001.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
5999,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3161978,GBIF,,Manuel Vargas,,9.972222,-83.45277800000001,"P. N. Barbilla. Sendero Principal, colecta junto al Río Dantas",2001.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
6000,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3162081,GBIF,,Manuel Vargas,,9.972222,-83.45277800000001,"P. N. Barbilla. Sendero Principal, colecta junto al Río Dantas",2001.0,1,1,1,,WGS84,2019,Edgar Mora
6001,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3162079,GBIF,,Manuel Vargas,,9.972222,-83.45277800000001,"P. N. Barbilla. Sendero Principal, colecta junto al Río Dantas",2001.0,1,1,1,,WGS84,2019,Edgar Mora
6002,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3162082,GBIF,,Manuel Vargas,,9.972222,-83.45277800000001,"P. N. Barbilla. Sendero Principal, colecta junto al Río Dantas",2001.0,1,1,1,,WGS84,2019,Edgar Mora
6003,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3162080,GBIF,,Manuel Vargas,,9.972222,-83.45277800000001,"P. N. Barbilla. Sendero Principal, colecta junto al Río Dantas",2001.0,1,1,1,,WGS84,2019,Edgar Mora
6004,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3162083,GBIF,,Manuel Vargas,,9.972222,-83.45277800000001,"P. N. Barbilla. Sendero Principal, colecta junto al Río Dantas",2001.0,1,1,1,,WGS84,2019,Edgar Mora
7090,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3518945,GBIF,,Manuel Vargas,,9.543056,-83.979167,Cerro Nene y fila desde Fila Mona.,2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
7091,PRESERVED_SPECIMEN,Tetrorchidium euryphyllum,3518950,GBIF,,Manuel Vargas,,9.543056,-83.979167,Cerro Nene y fila desde Fila Mona.,2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
