,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1226,PRESERVED_SPECIMEN,Theobroma mammosum,1554885,GBIF,,Manuel Vargas,,10.35,-84.666667,"Poco Sol, Laguna Azul.",1989.0,1,1,1,,WGS84,2019,Erick Bello
1471,PRESERVED_SPECIMEN,Theobroma mammosum,1559973,GBIF,,Manuel Vargas,,9.7,-84.333334,"Mastatal de Puriscal, Bosque primario en la Falda de la Fila La Cangreja.",1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2400,PRESERVED_SPECIMEN,Theobroma mammosum,1593270,GBIF,,Manuel Vargas,,10.45,-84.5,"17 km E of Fortuna, Hacienda Platanar (Hotel La Garza), Tropical moist forest.",1993.0,1,1,1,,WGS84,2019,William Haber
2778,PRESERVED_SPECIMEN,Theobroma mammosum,1600969,GBIF,,Manuel Vargas,,10.643889,-83.736111,Sardinas.,1994.0,1,1,1,,WGS84,2019,F. Araya
4076,PRESERVED_SPECIMEN,Theobroma mammosum,2850544,GBIF,,Manuel Vargas,,10.197778,-83.856667,"Entrada aguas del Rio Costa Rica, ca. 1 Km de la Carretera Interamericana.",1999.0,1,1,1,,WGS84,2019,L. Acosta
4077,PRESERVED_SPECIMEN,Theobroma mammosum,2850545,GBIF,,Manuel Vargas,,10.197778,-83.856667,"Entrada aguas del Rio Costa Rica, ca. 1 Km de la Carretera Interamericana.",1999.0,1,1,1,,WGS84,2019,L. Acosta
4078,PRESERVED_SPECIMEN,Theobroma mammosum,2850547,GBIF,,Manuel Vargas,,10.197778,-83.856667,"Entrada aguas del Rio Costa Rica, ca. 1 Km de la Carretera Interamericana.",1999.0,1,1,1,,WGS84,2019,L. Acosta
4079,PRESERVED_SPECIMEN,Theobroma mammosum,2850546,GBIF,,Manuel Vargas,,10.197778,-83.856667,"Entrada aguas del Rio Costa Rica, ca. 1 Km de la Carretera Interamericana.",1999.0,1,1,1,,WGS84,2019,L. Acosta
4488,PRESERVED_SPECIMEN,Theobroma mammosum,2834283,GBIF,,Manuel Vargas,,9.990278,-83.44166700000001,Sendero Topoyiyo.,1999.0,1,1,1,,WGS84,2019,Edgar Mora
4489,PRESERVED_SPECIMEN,Theobroma mammosum,2834284,GBIF,,Manuel Vargas,,9.990278,-83.44166700000001,Sendero Topoyiyo.,1999.0,1,1,1,,WGS84,2019,Edgar Mora
