,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
182,PRESERVED_SPECIMEN,Tournefortia johnstonii,FR-0113935,GBIF,,Manuel Vargas,,8.893883,-82.615,"Parque Internacional La Amistad, Las Nubes, Sendero La Cascada",,1,1,1,,WGS84,2019,
1412,PRESERVED_SPECIMEN,Tournefortia johnstonii,1559382,GBIF,,Manuel Vargas,,9.745833,-83.79722199999999,"Forest along road, 8-10 km from entrance",1991.0,1,1,1,,WGS84,2019,Paulus J. M. Maas
2966,PRESERVED_SPECIMEN,Tournefortia johnstonii,1604422,GBIF,,Manuel Vargas,,10.783333,-85.283333,"Quebrada Rancho Grande, aguas arriba de la represa.",1991.0,1,1,1,,WGS84,2019,Gerardo Rivera
3188,PRESERVED_SPECIMEN,Tournefortia johnstonii,1581152,GBIF,,Manuel Vargas,,9.755556,-83.783334,"Camino a la Represa Tapanti, en borde de carretera.",1994.0,1,1,1,,WGS84,2019,Quirico Jiménez
4654,PRESERVED_SPECIMEN,Tournefortia johnstonii,2837310,GBIF,,Manuel Vargas,,9.775253999999999,-83.795597,"Tapanti, Rio Grande de Orosi",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
4655,PRESERVED_SPECIMEN,Tournefortia johnstonii,2837312,GBIF,,Manuel Vargas,,9.775253999999999,-83.795597,"Tapanti, Rio Grande de Orosi",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
4656,PRESERVED_SPECIMEN,Tournefortia johnstonii,2837313,GBIF,,Manuel Vargas,,9.775253999999999,-83.795597,"Tapanti, Rio Grande de Orosi",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
4657,PRESERVED_SPECIMEN,Tournefortia johnstonii,2837311,GBIF,,Manuel Vargas,,9.775253999999999,-83.795597,"Tapanti, Rio Grande de Orosi",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
4719,PRESERVED_SPECIMEN,Tournefortia johnstonii,2842541,GBIF,,Manuel Vargas,,9.710593,-83.786596,Camino al túnel del río Humo,1999.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Priscila Hurtado
4720,PRESERVED_SPECIMEN,Tournefortia johnstonii,2842542,GBIF,,Manuel Vargas,,9.710593,-83.786596,Camino al túnel del río Humo,1999.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Priscila Hurtado
4721,PRESERVED_SPECIMEN,Tournefortia johnstonii,2842543,GBIF,,Manuel Vargas,,9.710593,-83.786596,Camino al túnel del río Humo,1999.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Priscila Hurtado
4772,PRESERVED_SPECIMEN,Tournefortia johnstonii,2843412,GBIF,,Manuel Vargas,,9.775253999999999,-83.795597,"Tapanti, Rio Grande de Orosi",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Priscila Hurtado
4773,PRESERVED_SPECIMEN,Tournefortia johnstonii,2843410,GBIF,,Manuel Vargas,,9.775253999999999,-83.795597,"Tapanti, Rio Grande de Orosi",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Priscila Hurtado
4774,PRESERVED_SPECIMEN,Tournefortia johnstonii,2843413,GBIF,,Manuel Vargas,,9.775253999999999,-83.795597,"Tapanti, Rio Grande de Orosi",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Priscila Hurtado
4775,PRESERVED_SPECIMEN,Tournefortia johnstonii,2843411,GBIF,,Manuel Vargas,,9.775253999999999,-83.795597,"Tapanti, Rio Grande de Orosi",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Priscila Hurtado
6399,PRESERVED_SPECIMEN,Tournefortia johnstonii,3403203,GBIF,,Manuel Vargas,,10.058516000000001,-83.986681,Bajo la Hondura,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; L. Acosta
6400,PRESERVED_SPECIMEN,Tournefortia johnstonii,3403202,GBIF,,Manuel Vargas,,10.058516000000001,-83.986681,Bajo la Hondura,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; L. Acosta
6402,PRESERVED_SPECIMEN,Tournefortia johnstonii,3403200,GBIF,,Manuel Vargas,,10.058516000000001,-83.986681,Bajo la Hondura,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; L. Acosta
6403,PRESERVED_SPECIMEN,Tournefortia johnstonii,3403201,GBIF,,Manuel Vargas,,10.058516000000001,-83.986681,Bajo la Hondura,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; L. Acosta
7127,PRESERVED_SPECIMEN,Tournefortia johnstonii,3520280,GBIF,,Manuel Vargas,,9.770833,-83.794444,"Estacion Tapanti, Rio Grande de Orosi.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7129,PRESERVED_SPECIMEN,Tournefortia johnstonii,3520279,GBIF,,Manuel Vargas,,9.770833,-83.794444,"Estacion Tapanti, Rio Grande de Orosi.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7335,PRESERVED_SPECIMEN,Tournefortia johnstonii,3578253,GBIF,,Manuel Vargas,,9.770833,-83.794444,"Estacion Tapanti, Rio Grande de Orosi.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8283,PRESERVED_SPECIMEN,Tournefortia johnstonii,3911113,GBIF,,Manuel Vargas,,10.086944,-84.07305600000001,Cerro Chompipe.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8284,PRESERVED_SPECIMEN,Tournefortia johnstonii,3911114,GBIF,,Manuel Vargas,,10.086944,-84.07305600000001,Cerro Chompipe.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8619,PRESERVED_SPECIMEN,Tournefortia johnstonii,3941027,GBIF,,Manuel Vargas,,10.236667,-84.11416700000001,"Virgen del Socorro, Finca Oscar Murillo.",2005.0,1,1,1,,WGS84,2019,Armando Soto; Frank  Alonso González Brenes
8620,PRESERVED_SPECIMEN,Tournefortia johnstonii,3941028,GBIF,,Manuel Vargas,,10.236667,-84.11416700000001,"Virgen del Socorro, Finca Oscar Murillo.",2005.0,1,1,1,,WGS84,2019,Armando Soto; Frank  Alonso González Brenes
8624,PRESERVED_SPECIMEN,Tournefortia johnstonii,3941029,GBIF,,Manuel Vargas,,10.236667,-84.11416700000001,"Virgen del Socorro, Finca Oscar Murillo.",2005.0,1,1,1,,WGS84,2019,Armando Soto; Frank  Alonso González Brenes
9068,PRESERVED_SPECIMEN,Tournefortia johnstonii,4026771,GBIF,,Manuel Vargas,,10.236388999999999,-84.117778,"9km NE de Vara Blanca, Finca Murillo, Transecto INBio-OET-ALAS.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9069,PRESERVED_SPECIMEN,Tournefortia johnstonii,4026770,GBIF,,Manuel Vargas,,10.236388999999999,-84.117778,"9km NE de Vara Blanca, Finca Murillo, Transecto INBio-OET-ALAS.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9070,PRESERVED_SPECIMEN,Tournefortia johnstonii,4026772,GBIF,,Manuel Vargas,,10.236388999999999,-84.117778,"9km NE de Vara Blanca, Finca Murillo, Transecto INBio-OET-ALAS.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9071,PRESERVED_SPECIMEN,Tournefortia johnstonii,4026769,GBIF,,Manuel Vargas,,10.236388999999999,-84.117778,"9km NE de Vara Blanca, Finca Murillo, Transecto INBio-OET-ALAS.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
9845,PRESERVED_SPECIMEN,Tournefortia johnstonii,4093304,GBIF,,Manuel Vargas,,10.252778,-84.369444,"P.N. Juan Castro Blanco, cuenca alta del Rio La Vieja",2005.0,1,1,1,,WGS84,2019,Daniel Solano; Clare Cerling ; Isabel Pérez ; Barry Hammel
