,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
73,PRESERVED_SPECIMEN,Trattinnickia aspera,403694,GBIF,4340a,Manuel Vargas,,5.6666669999999995,-77.266667,Quebrada Chaquí.,1994.0,1,1,1,,WGS84,2019,G. Galeano | J. Grueso | O. Hurtado | L. Perea
1422,PRESERVED_SPECIMEN,Trattinnickia aspera,1559614,GBIF,,Manuel Vargas,,8.75,-83.3,"De Chacarita 10 Km, camino a Los Mogos.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1858,PRESERVED_SPECIMEN,Trattinnickia aspera,1567653,GBIF,,Manuel Vargas,,8.766667,-83.633333,"Rancho Quemado, Fila Guerra, Rincon. Bosque primario.",1991.0,1,1,1,,WGS84,2019,Javier Quesada
2294,PRESERVED_SPECIMEN,Trattinnickia aspera,1587636,GBIF,,Manuel Vargas,,8.75,-83.380556,Los Mogos.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2364,PRESERVED_SPECIMEN,Trattinnickia aspera,1590927,GBIF,,Manuel Vargas,,8.772222,-83.377779,"Los Mogos, Bahia Chal.",1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3290,PRESERVED_SPECIMEN,Trattinnickia aspera,1583503,GBIF,,Manuel Vargas,,8.660833,-83.713889,Playa Campanario o San Josecito. Sierpe. Primary forest.,1993.0,1,1,1,,WGS84,2019,Patrick Harmon
3683,PRESERVED_SPECIMEN,Trattinnickia aspera,2817245,GBIF,,Manuel Vargas,,9.677778,-83.023611,Hitoy Cerere; alrededores de la estacion.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Soto
3684,PRESERVED_SPECIMEN,Trattinnickia aspera,2817244,GBIF,,Manuel Vargas,,9.677778,-83.023611,Hitoy Cerere; alrededores de la estacion.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Soto
3685,PRESERVED_SPECIMEN,Trattinnickia aspera,2817246,GBIF,,Manuel Vargas,,9.677778,-83.023611,Hitoy Cerere; alrededores de la estacion.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Soto
3686,PRESERVED_SPECIMEN,Trattinnickia aspera,2817247,GBIF,,Manuel Vargas,,9.677778,-83.023611,Hitoy Cerere; alrededores de la estacion.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Soto
4522,PRESERVED_SPECIMEN,Trattinnickia aspera,2835341,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,Rancho Quemado; in forest and forest edges at S end of valley.,1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4523,PRESERVED_SPECIMEN,Trattinnickia aspera,2835339,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,Rancho Quemado; in forest and forest edges at S end of valley.,1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4528,PRESERVED_SPECIMEN,Trattinnickia aspera,2835340,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,Rancho Quemado; in forest and forest edges at S end of valley.,1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4879,PRESERVED_SPECIMEN,Trattinnickia aspera,2919092,GBIF,,Manuel Vargas,,8.722222,-83.591667,"Fila Ganado, entre Rancho Quemado y Drake.",1990.0,1,1,1,,WGS84,2019,Barry Hammel
4887,PRESERVED_SPECIMEN,Trattinnickia aspera,2919243,GBIF,,Manuel Vargas,,9.669444,-82.843056,"Fila Carbon, ca. 6 km Oeste de Home Creek.",1991.0,1,1,1,,WGS84,2019,Barry Hammel
