,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
375,PRESERVED_SPECIMEN,Trophis involucrata,1522697,GBIF,,Manuel Vargas,,10.722222,-84.197222,Boca Tapada. Finca San Jorge.,1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
377,PRESERVED_SPECIMEN,Trophis involucrata,1522695,GBIF,,Manuel Vargas,,10.722222,-84.197222,Boca Tapada. Finca San Jorge.,1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
379,PRESERVED_SPECIMEN,Trophis involucrata,1522694,GBIF,,Manuel Vargas,,10.722222,-84.197222,Boca Tapada. Finca San Jorge.,1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
380,PRESERVED_SPECIMEN,Trophis involucrata,1522696,GBIF,,Manuel Vargas,,10.722222,-84.197222,Boca Tapada. Finca San Jorge.,1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
381,PRESERVED_SPECIMEN,Trophis involucrata,1522698,GBIF,,Manuel Vargas,,10.722222,-84.197222,Boca Tapada. Finca San Jorge.,1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada
529,PRESERVED_SPECIMEN,Trophis involucrata,1526736,GBIF,,Manuel Vargas,,9.641667,-82.688889,R.V.S. Gandoca Manzanillo. Punta Uva.,1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
536,PRESERVED_SPECIMEN,Trophis involucrata,1526745,GBIF,,Manuel Vargas,,9.641667,-82.688889,R.V.S. Gandoca Manzanillo. Punta Uva.,1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
539,PRESERVED_SPECIMEN,Trophis involucrata,1526735,GBIF,,Manuel Vargas,,9.641667,-82.688889,R.V.S. Gandoca Manzanillo. Punta Uva.,1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
541,PRESERVED_SPECIMEN,Trophis involucrata,1526737,GBIF,,Manuel Vargas,,9.641667,-82.688889,R.V.S. Gandoca Manzanillo. Punta Uva.,1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
542,PRESERVED_SPECIMEN,Trophis involucrata,1526744,GBIF,,Manuel Vargas,,9.641667,-82.688889,R.V.S. Gandoca Manzanillo. Punta Uva.,1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
543,PRESERVED_SPECIMEN,Trophis involucrata,1526746,GBIF,,Manuel Vargas,,9.641667,-82.688889,R.V.S. Gandoca Manzanillo. Punta Uva.,1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
546,PRESERVED_SPECIMEN,Trophis involucrata,1526743,GBIF,,Manuel Vargas,,9.641667,-82.688889,R.V.S. Gandoca Manzanillo. Punta Uva.,1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
548,PRESERVED_SPECIMEN,Trophis involucrata,1526738,GBIF,,Manuel Vargas,,9.641667,-82.688889,R.V.S. Gandoca Manzanillo. Punta Uva.,1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1479,PRESERVED_SPECIMEN,Trophis involucrata,1560032,GBIF,,Manuel Vargas,,10.405,-84.05833299999999,Estacion Magsasay.,1994.0,1,1,1,,WGS84,2019,Barry Hammel
1726,PRESERVED_SPECIMEN,Trophis involucrata,1563658,GBIF,,Manuel Vargas,,11.016667,-85.416667,"Road from Santa Cecilia to La Esperanza, wet forest remnants above turnoff to Estacion Pitilla.",1989.0,1,1,1,,WGS84,2019,Roy E. Gereau
1942,PRESERVED_SPECIMEN,Trophis involucrata,1570212,GBIF,,Manuel Vargas,,10.433333,-84.01666999999999,"Rio Sarapiqui near Puerto Viejo, tropical wet forest, junction SSO and LOC Trails.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
2040,PRESERVED_SPECIMEN,Trophis involucrata,1573509,GBIF,,Manuel Vargas,,10.308333,-84.583333,"Bajo Los Rodriguez, Rio La Esperanza, Quebrada Mirasol, Finca Araya.",1993.0,1,1,1,,WGS84,2019,Erick Bello
2290,PRESERVED_SPECIMEN,Trophis involucrata,1587517,GBIF,,Manuel Vargas,,10.990556,-85.427778,Finca Pasmompa 5 km al Sur de Santa Cecilia.,1991.0,1,1,1,,WGS84,2019,Roberto Espinoza
2426,PRESERVED_SPECIMEN,Trophis involucrata,1594209,GBIF,,Manuel Vargas,,10.35,-84.616667,"3-4 km W of La Tigra, ridges between Rio Penas Blancas and Rio La Esperanza.",1993.0,1,1,1,,WGS84,2019,William Haber
2427,PRESERVED_SPECIMEN,Trophis involucrata,1594210,GBIF,,Manuel Vargas,,10.330556,-84.5,2 Km east of Santa Rita. 40 Km north of San Ramon. Primary forest fragment along Quebrada Grande.,1993.0,1,1,1,,WGS84,2019,William Haber
