,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1319,PRESERVED_SPECIMEN,Uribea tamarindoides,1557157,GBIF,,Manuel Vargas,,8.7,-83.55,"Fila before Rancho Quemado, near Rincon.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
1555,PRESERVED_SPECIMEN,Uribea tamarindoides,1561208,GBIF,,Manuel Vargas,,8.727778,-83.575,"Estero Guerra, Sector Norte de Rancho Quemado.",1992.0,1,1,1,,WGS84,2019,Juan Marin
1557,PRESERVED_SPECIMEN,Uribea tamarindoides,1561204,GBIF,,Manuel Vargas,,8.683333,-83.516667,"Rincon, camino de Agua Buena a Rancho Quemado.",1991.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1559,PRESERVED_SPECIMEN,Uribea tamarindoides,1561207,GBIF,,Manuel Vargas,,8.731111,-83.454167,Entrada a Chocuaco. Rincon.,1992.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1773,PRESERVED_SPECIMEN,Uribea tamarindoides,1565494,GBIF,,Manuel Vargas,,8.758333,-83.375,Los Mogos.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2282,PRESERVED_SPECIMEN,Uribea tamarindoides,1587532,GBIF,,Manuel Vargas,,9.781111,-84.602778,Lomas al norte de la union de la Qub. Vindas con la Qub. Bonita.,1994.0,1,1,1,,WGS84,2019,Jose González
3279,PRESERVED_SPECIMEN,Uribea tamarindoides,1583261,GBIF,,Manuel Vargas,,9.8,-84.591667,Camino a Coope Carara.,1995.0,1,1,1,,WGS84,2019,Quirico Jiménez
3376,PRESERVED_SPECIMEN,Uribea tamarindoides,1585761,GBIF,,Manuel Vargas,,8.566667,-83.51666800000001,Cerro de Oro alrededores.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3379,PRESERVED_SPECIMEN,Uribea tamarindoides,1585838,GBIF,,Manuel Vargas,,8.655555999999999,-83.44166700000001,Cerro de Oro.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3848,PRESERVED_SPECIMEN,Uribea tamarindoides,2846570,GBIF,,Manuel Vargas,,8.678611,-83.678611,Camino a Rancho Quemado.,1999.0,1,1,1,,WGS84,2019,Priscila Hurtado
3851,PRESERVED_SPECIMEN,Uribea tamarindoides,2846571,GBIF,,Manuel Vargas,,8.678611,-83.678611,Camino a Rancho Quemado.,1999.0,1,1,1,,WGS84,2019,Priscila Hurtado
4392,PRESERVED_SPECIMEN,Uribea tamarindoides,2831788,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4393,PRESERVED_SPECIMEN,Uribea tamarindoides,2831787,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4827,PRESERVED_SPECIMEN,Uribea tamarindoides,2918329,GBIF,,Manuel Vargas,,8.616667,-83.466667,"Trocha La Tarde. 10 Km SO de Rincon, aguas arriba Rio Rincon. Bosque primario",1988.0,1,1,1,,WGS84,2019,Barry Hammel
5809,PRESERVED_SPECIMEN,Uribea tamarindoides,3107022,GBIF,,Manuel Vargas,,8.531944000000001,-83.409722,Estacion Agujas entre la estacion y hacia el pueblo Rio Tigre.,1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Vanessa Ramirez ; Luis Diego Vargas
5810,PRESERVED_SPECIMEN,Uribea tamarindoides,3107020,GBIF,,Manuel Vargas,,8.531944000000001,-83.409722,Estacion Agujas entre la estacion y hacia el pueblo Rio Tigre.,1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Vanessa Ramirez ; Luis Diego Vargas
5811,PRESERVED_SPECIMEN,Uribea tamarindoides,3107021,GBIF,,Manuel Vargas,,8.531944000000001,-83.409722,Estacion Agujas entre la estacion y hacia el pueblo Rio Tigre.,1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Vanessa Ramirez ; Luis Diego Vargas
5812,PRESERVED_SPECIMEN,Uribea tamarindoides,3107019,GBIF,,Manuel Vargas,,8.531944000000001,-83.409722,Estacion Agujas entre la estacion y hacia el pueblo Rio Tigre.,1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Vanessa Ramirez ; Luis Diego Vargas
6199,PRESERVED_SPECIMEN,Uribea tamarindoides,3387979,GBIF,,Manuel Vargas,,8.534815,-83.42666700000001,"A.C.O. Golfito, Reserva Ftal Golfo Dulce, Est Agujas",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
6470,PRESERVED_SPECIMEN,Uribea tamarindoides,3379589,GBIF,,Manuel Vargas,,9.805556,-84.580556,Camino a Coopecarara RL. Sitio Quebrada Alcantarilla.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6474,PRESERVED_SPECIMEN,Uribea tamarindoides,3380004,GBIF,,Manuel Vargas,,9.8,-84.586111,Sector Camino Coope Carara. Sitio Quebrada Mona.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Geovanny Sancho
6475,PRESERVED_SPECIMEN,Uribea tamarindoides,3380007,GBIF,,Manuel Vargas,,9.8,-84.586111,Sector Camino Coope Carara. Sitio Quebrada Mona.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Geovanny Sancho
6477,PRESERVED_SPECIMEN,Uribea tamarindoides,3380006,GBIF,,Manuel Vargas,,9.8,-84.586111,Sector Camino Coope Carara. Sitio Quebrada Mona.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Geovanny Sancho
6478,PRESERVED_SPECIMEN,Uribea tamarindoides,3380005,GBIF,,Manuel Vargas,,9.8,-84.586111,Sector Camino Coope Carara. Sitio Quebrada Mona.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Geovanny Sancho
6479,PRESERVED_SPECIMEN,Uribea tamarindoides,3380008,GBIF,,Manuel Vargas,,9.8,-84.586111,Sector Camino Coope Carara. Sitio Quebrada Mona.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Geovanny Sancho
11128,PRESERVED_SPECIMEN,Uribea tamarindoides,4191347,GBIF,,Manuel Vargas,,9.8,-84.591667,Camino a Coope Carara.,2000.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Miriam Hernandez
11130,PRESERVED_SPECIMEN,Uribea tamarindoides,4191348,GBIF,,Manuel Vargas,,9.8,-84.591667,Camino a Coope Carara.,2000.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Miriam Hernandez
11154,PRESERVED_SPECIMEN,Uribea tamarindoides,4193004,GBIF,,Manuel Vargas,,9.797778,-84.59222199999999,P. N. Carara. 700 m antes de llegar al cruce de Río Carara hacia Coopecarara.,2004.0,1,1,1,,WGS84,2019,L. Acosta; Luis Diego Vargas
11157,PRESERVED_SPECIMEN,Uribea tamarindoides,4193052,GBIF,,Manuel Vargas,,9.80775,-84.57669399999999,P.N. Carara.Cruce del camino a Coopecarara con el río Carara.,2004.0,1,1,1,,WGS84,2019,L. Acosta; Luis Diego Vargas
11201,PRESERVED_SPECIMEN,Uribea tamarindoides,4194622,GBIF,,Manuel Vargas,,9.8,-84.591667,Camino a Coopecarara.,2004.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Jorge Blanco
11202,PRESERVED_SPECIMEN,Uribea tamarindoides,4194623,GBIF,,Manuel Vargas,,9.8,-84.591667,Camino a Coopecarara.,2004.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Jorge Blanco
11382,PRESERVED_SPECIMEN,Uribea tamarindoides,4203875,GBIF,,Manuel Vargas,,9.807889,-84.577556,"P. N. Carara. 1 km después del cruce con a cuarta quebrada, luego del cruce con el Río Tárcoles. Camino a Coopecarara.",2006.0,1,1,1,,WGS84,2019,Luis Diego Vargas
11383,PRESERVED_SPECIMEN,Uribea tamarindoides,4203874,GBIF,,Manuel Vargas,,9.807889,-84.577556,"P. N. Carara. 1 km después del cruce con a cuarta quebrada, luego del cruce con el Río Tárcoles. Camino a Coopecarara.",2006.0,1,1,1,,WGS84,2019,Luis Diego Vargas
11384,PRESERVED_SPECIMEN,Uribea tamarindoides,4203857,GBIF,,Manuel Vargas,,9.807889,-84.577556,"P. N. Carara. 1 km después del cruce con a cuarta quebrada, luego del cruce con el Río Tárcoles. Camino a Coopecarara.",2006.0,1,1,1,,WGS84,2019,Luis Diego Vargas
11385,PRESERVED_SPECIMEN,Uribea tamarindoides,4203858,GBIF,,Manuel Vargas,,9.807889,-84.577556,"P. N. Carara. 1 km después del cruce con a cuarta quebrada, luego del cruce con el Río Tárcoles. Camino a Coopecarara.",2006.0,1,1,1,,WGS84,2019,Luis Diego Vargas
12382,PRESERVED_SPECIMEN,Uribea tamarindoides,4372904,GBIF,,Manuel Vargas,,8.686667,-83.534444,"Rincón, camino a Rancho Quemado, cruce a Baneguitas, finca de Isidro Guido.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
12384,PRESERVED_SPECIMEN,Uribea tamarindoides,4372906,GBIF,,Manuel Vargas,,8.686667,-83.534444,"Rincón, camino a Rancho Quemado, cruce a Baneguitas, finca de Isidro Guido.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
12391,PRESERVED_SPECIMEN,Uribea tamarindoides,4372905,GBIF,,Manuel Vargas,,8.686667,-83.534444,"Rincón, camino a Rancho Quemado, cruce a Baneguitas, finca de Isidro Guido.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
13990,PRESERVED_SPECIMEN,Uribea tamarindoides,122771,GBIF,1506,Manuel Vargas,,6.477222,-74.35194399999999,Potrero Quito,1999.0,1,1,1,,WGS84,2019,Pérez J. | Benavides J. | Gallego J.
13991,PRESERVED_SPECIMEN,Uribea tamarindoides,122781,GBIF,1064,Manuel Vargas,,6.466056,-74.350944,"Corregimiento Puerto Olaya, hacienda El Bosque, Puerto Arturo",1999.0,1,1,1,,WGS84,2019,Idárraga A. | Benavides J. | Gallego J.
14007,PRESERVED_SPECIMEN,Uribea tamarindoides,131303,GBIF,865,Manuel Vargas,,10.555044,-75.32484699999999,"Bernal, pozo de ataúd, vertiente del arroyo chiquita",2000.0,1,1,1,,WGS84,2019,Cardona F.
14068,PRESERVED_SPECIMEN,Uribea tamarindoides,167750,GBIF,815,Manuel Vargas,,8.616278,-77.328222,"Corregimiento Capurganá, bahía El Aguacate, Reserva Natural El Aguacate",2008.0,1,1,1,,WGS84,2019,Hoyos S. | David H. | Camargo A. | Upegui A.
14071,PRESERVED_SPECIMEN,Uribea tamarindoides,167770,GBIF,939,Manuel Vargas,,8.616278,-77.328222,"Corregimiento Capurganá, bahía El Aguacate, Reserva Natural El Aguacate",2008.0,1,1,1,,WGS84,2019,Hoyos S. | David H. | Molina D. | Upegui A.
14098,PRESERVED_SPECIMEN,Uribea tamarindoides,180140,GBIF,100,Manuel Vargas,,7.948711,-76.608336,,2011.0,1,1,1,,WGS84,2019,López P. | Hernández C.
14315,HUMAN_OBSERVATION,Uribea tamarindoides,IAvH:BICUB:SFFCOLORADOS:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IN050:0187,GBIF,HC6555 (ref),Manuel Vargas,,9.936583,-75.109787,Santuario de Flora y Fauna Los Colorados,2014.0,1,1,1,,WGS84,2019,H. Cuadros
14316,HUMAN_OBSERVATION,Uribea tamarindoides,IAvH:BICUB:SFFCOLORADOS:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IN050:0201,GBIF,HC6555 (ref),Manuel Vargas,,9.936583,-75.109787,Santuario de Flora y Fauna Los Colorados,2014.0,1,1,1,,WGS84,2019,H. Cuadros
14317,PRESERVED_SPECIMEN,Uribea tamarindoides,Temp-AAF073,GBIF,HC6555,Manuel Vargas,,9.936583,-75.109787,Santuario de Flora y Fauna Los Colorados,2014.0,1,1,1,,WGS84,2019,H. Cuadros
14362,HUMAN_OBSERVATION,Uribea tamarindoides,IAvH:BICUB:SFFCOLORADOS:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IN050:2649,GBIF,HC6555 (ref),Manuel Vargas,,9.936583,-75.109787,Santuario de Flora y Fauna Los Colorados,2014.0,1,1,1,,WGS84,2019,H. Cuadros
14363,HUMAN_OBSERVATION,Uribea tamarindoides,IAvH:BICUB:SFFCOLORADOS:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IN050:2683,GBIF,HC6555 (ref),Manuel Vargas,,9.936583,-75.109787,Santuario de Flora y Fauna Los Colorados,2014.0,1,1,1,,WGS84,2019,H. Cuadros
14366,HUMAN_OBSERVATION,Uribea tamarindoides,IAvH:BICUB:SFFCOLORADOS:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IN050:2776,GBIF,HC6555 (ref),Manuel Vargas,,9.936583,-75.109787,Santuario de Flora y Fauna Los Colorados,2014.0,1,1,1,,WGS84,2019,H. Cuadros
14368,HUMAN_OBSERVATION,Uribea tamarindoides,IAvH:BICUB:SFFCOLORADOS:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IN050:2831,GBIF,HC6555 (ref),Manuel Vargas,,9.936583,-75.109787,Santuario de Flora y Fauna Los Colorados,2014.0,1,1,1,,WGS84,2019,H. Cuadros
16277,PRESERVED_SPECIMEN,Uribea tamarindoides,3287190,GBIF,Rodríguez González 4792,Manuel Vargas,,8.531939999999999,-83.40972,R.F. Golfo Dulce. Península de Osa. Dos Brazos de Río Tigre. Trocha madera que va a Parque Nacional Corcovado.,1999.0,1,1,1,,WGS84,2019,Alexánder Rodríguez|Víctor H. Ramírez|Luis Diego Vargas
18880,PRESERVED_SPECIMEN,Uribea tamarindoides,U.1345045,GBIF,,Manuel Vargas,,8.633333,-83.5,"Puntarenas, rd Agua Buena to Rancho Quemado, Osa Peninsula.",1991.0,1,1,1,,WGS84,2019,Pennington TD; Zamora NA
19348,PRESERVED_SPECIMEN,Uribea tamarindoides,87629,GBIF,,Manuel Vargas,,10.4819,-74.3383,"Fundacion en el Km. 17 de la carretera a Pivijay y a 3 Kms. de la carretera, finca Liberia.",1960.0,1,1,1,,WGS84,2019,"Romero C., R."
19349,PRESERVED_SPECIMEN,Uribea tamarindoides,87624,GBIF,,Manuel Vargas,,10.4819,-74.3383,"Fundacion en el Km. 17 de la carretera a Pivijay y a 3 Kms. de la carretera, finca Liberia.",1960.0,1,1,1,,WGS84,2019,"Romero C., R."
19350,PRESERVED_SPECIMEN,Uribea tamarindoides,87626,GBIF,,Manuel Vargas,,10.4819,-74.3383,"Fundacion en el Km. 17 de la carretera a Pivijay y a 3 Kms. de la carretera, finca Liberia.",1960.0,1,1,1,,WGS84,2019,"Romero C., R."
19351,PRESERVED_SPECIMEN,Uribea tamarindoides,87625,GBIF,,Manuel Vargas,,10.4819,-74.3383,"Fundacion en el Km. 17 de la carretera a Pivijay y a 3 Kms. de la carretera, finca Liberia.",1960.0,1,1,1,,WGS84,2019,"Romero C., R."
19352,PRESERVED_SPECIMEN,Uribea tamarindoides,96565,GBIF,,Manuel Vargas,,10.4819,-74.3383,"Fundacion en el Km. 17 de la carretera a Pivijay y a 3 Kms. de la carretera, finca Liberia.",1960.0,1,1,1,,WGS84,2019,"Romero C., R."
19912,PRESERVED_SPECIMEN,Uribea tamarindoides,3629312,GBIF,1588,Manuel Vargas,,8.68,-83.52,,1991.0,1,1,1,,WGS84,2019,N. Zamora & T. D. Pennington
25827,PRESERVED_SPECIMEN,Uribea tamarindoides,147084,GBIF,,Manuel Vargas,,8.61,-83.46,"R. F. Golfo Dulce Osa Península. Trocha de la Tarde road 10 km SW of La Palma, S of Rincón de Osa. Primary forest along red clay soil ridge E of the Río Rincón Valley. Apr.28-30.",1988.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
25828,PRESERVED_SPECIMEN,Uribea tamarindoides,152957,GBIF,,Manuel Vargas,,8.63,-83.5,Road Agua  Buena to Rancho Quemado.Osa Península.Disturbed forested slopes.,1991.0,1,1,1,,WGS84,2019,"Pennington, Terence D."
25829,PRESERVED_SPECIMEN,Uribea tamarindoides,162131,GBIF,,Manuel Vargas,,8.72,-83.57,"Estero Guerra, Sector Norte de Rancho Quemado. Sierpe.",1992.0,1,1,1,,WGS84,2019,"Marín, Juan"
25830,PRESERVED_SPECIMEN,Uribea tamarindoides,169141,GBIF,,Manuel Vargas,,8.68,-83.51,Rincón. Camino de Agua Buena a Rancho Quemado.,1991.0,1,1,1,,WGS84,2019,"Zamora, Nelson"
25831,PRESERVED_SPECIMEN,Uribea tamarindoides,199291,GBIF,,Manuel Vargas,,8.65,-83.44,R. F. Golfo Dulce Península de Osa. Cerro de Oro.,1994.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
25832,PRESERVED_SPECIMEN,Uribea tamarindoides,199460,GBIF,,Manuel Vargas,,8.56,-83.51,P. N. Corcovado Península de Osa. Cerro de Oro alrededores.,1995.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
25833,PRESERVED_SPECIMEN,Uribea tamarindoides,231944,GBIF,,Manuel Vargas,,9.8,-84.58,P.N. Carara Cuenca del Tárcoles. 2.6 km del portón de la entrada al sendero laguna Meandrica. Primer desviación a mano izquierda entrando.,2000.0,1,1,1,,WGS84,2019,"Acosta, Luis"
27083,PRESERVED_SPECIMEN,Uribea tamarindoides,FMB-47426,GBIF,,Manuel Vargas,,9.500919999999999,-75.35044,Estación experimental Coloso,1983.0,1,1,1,,WGS84,2019,J. Hernández; A. Fajardo
35273,HUMAN_OBSERVATION,Uribea tamarindoides,,GBIF,,Manuel Vargas,,5.76401,-74.54586,"Vereda El Guayabo, finca Agua Linda",2015.0,1,1,1,,WGS84,2019,Mateo Hernández Schmidt
35274,HUMAN_OBSERVATION,Uribea tamarindoides,,GBIF,,Manuel Vargas,,5.76401,-74.54586,"Vereda El Guayabo, finca Agua Linda",2015.0,1,1,1,,WGS84,2019,Mateo Hernández Schmidt
35647,PRESERVED_SPECIMEN,Uribea tamarindoides,92469,GBIF,Marín Alpízar 442,Manuel Vargas,,8.72,-83.57,"Estero Guerra, Sector Norte de Rancho Quemado. Sierpe.",1992.0,1,1,1,,WGS84,2019,Juan Marín
36291,PRESERVED_SPECIMEN,Uribea tamarindoides,85163,GBIF,Hammel 16755,Manuel Vargas,,8.616667,-83.466667,"Reserva Forestal Golfo Dulce Osa Península; Trocha de La Tarde rd. 10 km SW of La Palma, S of Rincón de Osa. Primary forest along red clay soil ridge E of the Río Rincón valley. Apr. 28-30.",1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|Rafael Robles
36653,PRESERVED_SPECIMEN,Uribea tamarindoides,894379,GBIF,González Ramírez 239,Manuel Vargas,,9.78,-84.6,R.B. Carara; Valle del Tárcoles. Lomas al norte de la unión de la Qub. Vindas con la Qub. Bonita.,1994.0,1,1,1,,WGS84,2019,José Á. González R.
36926,PRESERVED_SPECIMEN,Uribea tamarindoides,900898,GBIF,Zamora Villalobos 1588,Manuel Vargas,,8.68,-83.51,"R.F. Golfo Dulce; Península de Osa. Rincón, camino de Agua Buena a Rancho Quemado.",1991.0,1,1,1,,WGS84,2019,Nelson Zamora|T. D. Pennington
36966,PRESERVED_SPECIMEN,Uribea tamarindoides,901494,GBIF,Zamora Villalobos 1865,Manuel Vargas,,8.73,-83.45,R.F. Golfo Dulce; Península de Osa. Entrada a Chocuaco. Rincón.,1992.0,1,1,1,,WGS84,2019,Nelson Zamora|Reinaldo Aguilar|Víctor H. Ramírez|Nora Martín
39098,PRESERVED_SPECIMEN,Uribea tamarindoides,100593532,GBIF,Acosta Vargas 819,Manuel Vargas,,9.8,-84.586111,"Parque Nacional Carara, Cuenca del Tárcoles, 2.6 km del portón de la entrada al Sendero Laguna Meandrica, primer desviación a mano izquierda entrando",2000.0,1,1,1,,WGS84,2019,Luis Acosta|Geovanny Sancho
42308,PRESERVED_SPECIMEN,Uribea tamarindoides,V0059964F,GBIF,8519,Manuel Vargas,,3.8811,-72.8667,,1960.0,1,1,1,,WGS84,2019,R. Romero Castañeda
43344,HUMAN_OBSERVATION,Uribea tamarindoides,6682474,GBIF,,Manuel Vargas,,10.354531,-75.428048,,2017.0,1,1,1,,WGS84,2019,Yeison Herrera Medina
