,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2492,PRESERVED_SPECIMEN,Verbesina tapantiana,1595939,GBIF,,Manuel Vargas,,9.477778,-83.690278,Carretera Interamericana Km 117; bosque humedo en pendiente fuerte al lado de la carretera.,1992.0,1,1,1,,WGS84,2019,Barry Hammel
4818,PRESERVED_SPECIMEN,Verbesina tapantiana,2918201,GBIF,,Manuel Vargas,,9.733333,-83.81666700000001,"El Muneco. Roadside, secondary woods and forest remnants in vicinity.",1987.0,1,1,1,,WGS84,2019,Barry Hammel
4860,PRESERVED_SPECIMEN,Verbesina tapantiana,2918918,GBIF,,Manuel Vargas,,9.75,-83.783333,Bosque perturbado por la orilla del Rio Grande de Orosi.,1989.0,1,1,1,,WGS84,2019,Barry Hammel
4862,PRESERVED_SPECIMEN,Verbesina tapantiana,2918917,GBIF,,Manuel Vargas,,9.75,-83.783334,Bosque perturbado por la orilla del Rio Grande de Orosi.,1989.0,1,1,1,,WGS84,2019,Barry Hammel
4876,PRESERVED_SPECIMEN,Verbesina tapantiana,2919079,GBIF,,Manuel Vargas,,9.75,-83.783333,Bosque perturbado por la orilla del Rio Grande de Orosi.,1989.0,1,1,1,,WGS84,2019,Barry Hammel
6133,PRESERVED_SPECIMEN,Verbesina tapantiana,3370091,GBIF,,Manuel Vargas,,9.73635,-83.78062800000001,"A.C.L.A.P, Paraíso, Pque Nal Tapantí, Del Mirador 300 N y 100 S",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
7322,PRESERVED_SPECIMEN,Verbesina tapantiana,3553168,GBIF,,Manuel Vargas,,9.798982,-83.947775,"Carretera Interamericana, 3 km S. San Isidro,2 km E. Cangrejo",1997.0,1,1,1,,WGS84,2019,Barry Hammel
7323,PRESERVED_SPECIMEN,Verbesina tapantiana,3553169,GBIF,,Manuel Vargas,,9.798982,-83.947775,"Carretera Interamericana, 3 km S. San Isidro,2 km E. Cangrejo",1997.0,1,1,1,,WGS84,2019,Barry Hammel
12301,PRESERVED_SPECIMEN,Verbesina tapantiana,4328543,GBIF,,Manuel Vargas,,9.692944,-83.782389,"Cartago. Paraíso, Valle de Orosi, P. N. Tapantí, Río Orosi watershed, main road to El Destierro Planta ICE, Dos Amigos bridge.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Soo-Yong Kim
12302,PRESERVED_SPECIMEN,Verbesina tapantiana,4328546,GBIF,,Manuel Vargas,,9.692944,-83.782389,"Cartago. Paraíso, Valle de Orosi, P. N. Tapantí, Río Orosi watershed, main road to El Destierro Planta ICE, Dos Amigos bridge.",2012.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Soo-Yong Kim
